Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities,Latitude,Longitude
Mali,Kayes,Nioro,MLI,ML0106,ML01,January,1997,0,0,15.155707,-9.7842706
Mali,Segou,Baraoueli,MLI,ML0401,ML04,January,1997,0,0,13.0392584,-6.6388693
Mali,Kayes,Kenieba,MLI,ML0104,ML01,January,1997,0,0,12.7954505,-11.0449971
Mali,Segou,Bla,MLI,ML0402,ML04,January,1997,0,0,12.9210914,-5.819086
Mali,Segou,Tominian,MLI,ML0407,ML04,January,1997,0,0,13.3225835,-4.3810172
Mali,Sikasso,Kolondieba,MLI,ML0303,ML03,January,1997,0,0,10.89129,-6.6537819
Mali,Kayes,Yelimane,MLI,ML0107,ML01,January,1997,0,0,15.034,-10.6419035
Mali,Koulikoro,Kolokani,MLI,ML0205,ML02,January,1997,0,0,13.700245,-8.1181648
Mali,Kidal,Tessalit,MLI,ML0803,ML08,January,1997,0,0,20.2019542,1.0124531
Mali,Gao,Ansongo,MLI,ML0701,ML07,January,1997,0,0,15.896,0.8862144
Mali,Mopti,Mopti,MLI,ML0506,ML05,January,1997,0,0,14.7579679,-4.0325313
Mali,Sikasso,Yanfolila,MLI,ML0306,ML03,January,1997,0,0,10.9297287,-7.9475827
Mali,Mopti,Youwarou,MLI,ML0508,ML05,January,1997,0,0,15.390665,-4.5613117
Mali,Sikasso,Yorosso,MLI,ML0307,ML03,January,1997,0,0,12.3488115,-4.7233925
Mali,Mopti,Djenne,MLI,ML0503,ML05,January,1997,0,0,14.0105066,-4.5953872
Mali,Mopti,Tenenkou,MLI,ML0507,ML05,January,1997,0,0,14.5892092,-4.9581708
Mali,Tombouctou,Dire,MLI,ML0601,ML06,January,1997,0,0,16.35148,-3.3799396
Mali,Gao,Bourem,MLI,ML0702,ML07,January,1997,0,0,17.78715,-0.0866408
Mali,Kayes,Bafoulabe,MLI,ML0101,ML01,January,1997,0,0,13.6785,-10.7247381
Mali,Koulikoro,Banamba,MLI,ML0201,ML02,January,1997,0,0,13.8604158,-7.316735
Mali,Koulikoro,Dioila,MLI,ML0202,ML02,January,1997,0,0,12.3141217,-6.628351
Mali,Tombouctou,Niafunke,MLI,ML0604,ML06,January,1997,0,0,15.931,-3.99
Mali,Sikasso,Sikasso,MLI,ML0305,ML03,January,1997,0,0,11.3165531,-5.6777526
Mali,Sikasso,Bougouni,MLI,ML0301,ML03,January,1997,0,0,11.3005,-7.5741066
Mali,Sikasso,Koutiala,MLI,ML0304,ML03,January,1997,0,0,12.350515,-5.5856742
Mali,Menaka,Inekar,MLI,ML1003,ML10,January,1997,0,0,15.9486791,3.1572826
Mali,Menaka,Menaka,MLI,ML1001,ML10,January,1997,0,0,15.9167,2.4
Mali,Menaka,Tidermene,MLI,ML1004,ML10,January,1997,0,0,16.5923464,2.415028
Mali,Kidal,Abeibara,MLI,ML0801,ML08,January,1997,0,0,19.8281335,2.325717
Mali,Menaka,Anderamboukane,MLI,ML1002,ML10,January,1997,0,0,15.4220566,3.0224703
Mali,Segou,Segou,MLI,ML0406,ML04,January,1997,0,0,13.7502886,-6.1977941
Mali,Koulikoro,Kati,MLI,ML0204,ML02,January,1997,0,0,12.6021318,-8.4255132
