Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities,Latitude,Longitude
Myanmar,Bago-East,Taungoo,MMR,MMR007D002,MMR007,January,2010,0,0,18.8094312,96.2363727
Myanmar,Magway,Gangaw,MMR,MMR009D005,MMR009,January,2010,0,0,21.7957566,94.1575177
Myanmar,Magway,Pakokku,MMR,MMR009D004,MMR009,January,2010,0,0,21.3541862,94.748584
Myanmar,Mon,Mawlamyine,MMR,MMR011D001,MMR011,January,2010,2,1,16.4908026,97.6284825
Myanmar,Sagaing,Hkamti,MMR,MMR005D008,MMR005,January,2010,0,0,25.3975359,95.5969384
Myanmar,Sagaing,Kanbalu,MMR,MMR005D010,MMR005,January,2010,0,0,23.272358,95.4019086
Myanmar,Sagaing,Tamu,MMR,MMR005D006,MMR005,January,2010,0,0,24.1873544,94.3925262
Myanmar,Shan-North,Hopang,MMR,MMR015D006,MMR015,January,2010,0,0,,
Myanmar,Chin,Mindat,MMR,MMR004D002,MMR004,January,2010,0,0,21.2189991,93.8080793
Myanmar,Kayin,Hpa-An,MMR,MMR003D001,MMR003,January,2010,1,0,16.8902634,97.6362745
Myanmar,Kayin,Kawkareik,MMR,MMR003D003,MMR003,January,2010,2,0,16.5279057,98.144273
Myanmar,Rakhine,Mrauk-U,MMR,MMR012D005,MMR012,January,2010,0,0,20.5413409,93.4351556
Myanmar,Sagaing,Yinmarbin,MMR,MMR005D009,MMR005,January,2010,0,0,22.077789,94.900139
Myanmar,Tanintharyi,Myeik,MMR,MMR006D002,MMR006,January,2010,0,0,12.4319552,98.5955711
Myanmar,Yangon,Yangon-East,MMR,MMR013D002,MMR013,January,2010,0,0,16.8911325,96.2414131
Myanmar,Ayeyarwady,Hinthada,MMR,MMR017D002,MMR017,January,2010,0,0,17.586973,95.233272
Myanmar,Chin,Falam,MMR,MMR004D001,MMR004,January,2010,0,0,23.4456156,93.7118004
Myanmar,Kachin,Bhamo,MMR,MMR001D003,MMR001,January,2010,0,0,24.2688897,97.1784703
Myanmar,Kayah,Loikaw,MMR,MMR002D001,MMR002,January,2010,0,0,19.674167,97.2094441
Myanmar,Kayin,Myawaddy,MMR,MMR003D002,MMR003,January,2010,0,0,16.6871674,98.507114
Myanmar,Mandalay,Kyaukse,MMR,MMR010D003,MMR010,January,2010,0,0,21.5782937,96.2736689
Myanmar,Mandalay,Mandalay,MMR,MMR010D001,MMR010,January,2010,0,0,21.9700209,96.1557651
