Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities,Latitude,Longitude
Lebanon,Bekaa,Rashayya,LBN,,,January,2016,0,0,33.502,35.845
Lebanon,Bekaa,Zahle,LBN,,,January,2016,0,0,33.85,35.902
Lebanon,Al Nabatieh,Al Nabatieh,LBN,,,January,2016,0,0,33.377,35.484
Lebanon,Akkar,Akkar,LBN,,,January,2016,0,0,34.5389,36.1327
Lebanon,Mount Lebanon,Baabda,LBN,,,January,2016,0,0,33.834,35.548
Lebanon,North,Al Miniyeh Al Danniyeh,LBN,,,January,2016,0,0,34.46,35.98
Lebanon,Mount Lebanon,Al Matn,LBN,,,January,2016,0,0,33.9,35.6
Lebanon,Al Nabatieh,Bint Jbeil,LBN,,,January,2016,0,0,33.12,35.431
Lebanon,Al Nabatieh,Hasbeiya,LBN,,,January,2016,1,0,33.399,35.685
Lebanon,Mount Lebanon,Keserwan,LBN,,,January,2016,0,0,34.007,35.649
Lebanon,South,Jezzine,LBN,,,January,2016,0,0,33.546,35.577
Lebanon,Baalbek-Hermel,Al Hermel,LBN,,,January,2016,0,0,34.39,36.385
Lebanon,Baalbek-Hermel,Baalbek,LBN,,,January,2016,6,1,34.004,36.218
Lebanon,North,Al Batroun,LBN,,,January,2016,0,0,34.2555,35.6573
Lebanon,North,Bsharri,LBN,,,January,2016,0,0,34.252,36.012
Lebanon,North,Tripoli,LBN,,,January,2016,1,0,34.4367,35.8497
Lebanon,South,Sayda,LBN,,,January,2016,0,0,33.563,35.371
Lebanon,Bekaa,West Bekaa,LBN,,,January,2016,0,0,33.74,35.89
Lebanon,Mount Lebanon,Chouf,LBN,,,January,2016,1,0,33.685,35.559
Lebanon,North,Zgharta,LBN,,,January,2016,0,0,34.398,35.893
Lebanon,North,Al Kura,LBN,,,January,2016,0,0,34.293,35.835
Lebanon,Beirut,Beirut,LBN,,,January,2016,0,0,33.8886,35.4955
Lebanon,Mount Lebanon,Aley,LBN,,,January,2016,0,0,33.81,35.598
Lebanon,Mount Lebanon,Jubayl,LBN,,,January,2016,0,0,34.122,35.652
Lebanon,Al Nabatieh,Marjayoun,LBN,,,January,2016,0,0,33.36,35.592
Lebanon,South,Tyr,LBN,,,January,2016,0,0,33.2705,35.2037
Lebanon,Bekaa,Rashayya,LBN,,,February,2016,0,0,33.502,35.845
Lebanon,Bekaa,Zahle,LBN,,,February,2016,0,0,33.85,35.902
Lebanon,Al Nabatieh,Al Nabatieh,LBN,,,February,2016,0,0,33.377,35.484
Lebanon,Akkar,Akkar,LBN,,,February,2016,1,0,34.5389,36.1327
Lebanon,Mount Lebanon,Baabda,LBN,,,February,2016,0,0,33.834,35.548
Lebanon,North,Al Miniyeh Al Danniyeh,LBN,,,February,2016,1,0,34.46,35.98
Lebanon,Mount Lebanon,Al Matn,LBN,,,February,2016,0,0,33.9,35.6
Lebanon,Al Nabatieh,Bint Jbeil,LBN,,,February,2016,0,0,33.12,35.431
Lebanon,Al Nabatieh,Hasbeiya,LBN,,,February,2016,0,0,33.399,35.685
Lebanon,Mount Lebanon,Keserwan,LBN,,,February,2016,0,0,34.007,35.649
Lebanon,South,Jezzine,LBN,,,February,2016,0,0,33.546,35.577
Lebanon,Baalbek-Hermel,Al Hermel,LBN,,,February,2016,0,0,34.39,36.385
Lebanon,Baalbek-Hermel,Baalbek,LBN,,,February,2016,0,0,34.004,36.218
Lebanon,North,Al Batroun,LBN,,,February,2016,0,0,34.2555,35.6573
Lebanon,North,Bsharri,LBN,,,February,2016,0,0,34.252,36.012
Lebanon,North,Tripoli,LBN,,,February,2016,0,0,34.4367,35.8497
Lebanon,South,Sayda,LBN,,,February,2016,3,0,33.563,35.371
Lebanon,Bekaa,West Bekaa,LBN,,,February,2016,0,0,33.74,35.89
Lebanon,Mount Lebanon,Chouf,LBN,,,February,2016,0,0,33.685,35.559
Lebanon,North,Zgharta,LBN,,,February,2016,0,0,34.398,35.893
Lebanon,North,Al Kura,LBN,,,February,2016,0,0,34.293,35.835
Lebanon,Beirut,Beirut,LBN,,,February,2016,1,0,33.8886,35.4955
Lebanon,Mount Lebanon,Aley,LBN,,,February,2016,0,0,33.81,35.598
Lebanon,Mount Lebanon,Jubayl,LBN,,,February,2016,0,0,34.122,35.652
Lebanon,Al Nabatieh,Marjayoun,LBN,,,February,2016,1,1,33.36,35.592
Lebanon,South,Tyr,LBN,,,February,2016,0,0,33.2705,35.2037
Lebanon,Bekaa,Rashayya,LBN,,,March,2016,0,0,33.502,35.845
Lebanon,Bekaa,Zahle,LBN,,,March,2016,0,0,33.85,35.902
Lebanon,Al Nabatieh,Al Nabatieh,LBN,,,March,2016,0,0,33.377,35.484
Lebanon,Akkar,Akkar,LBN,,,March,2016,2,1,34.5389,36.1327
Lebanon,Mount Lebanon,Baabda,LBN,,,March,2016,0,0,33.834,35.548
Lebanon,North,Al Miniyeh Al Danniyeh,LBN,,,March,2016,0,0,34.46,35.98
Lebanon,Mount Lebanon,Al Matn,LBN,,,March,2016,0,0,33.9,35.6
Lebanon,Al Nabatieh,Bint Jbeil,LBN,,,March,2016,0,0,33.12,35.431
Lebanon,Al Nabatieh,Hasbeiya,LBN,,,March,2016,0,0,33.399,35.685
Lebanon,Mount Lebanon,Keserwan,LBN,,,March,2016,0,0,34.007,35.649
