Country,Month,Year,Events,Fatalities
Algeria,January,1997,33,445
Algeria,February,1997,8,145
Algeria,March,1997,0,0
Algeria,April,1997,11,415
Algeria,May,1997,4,64
Algeria,June,1997,6,123
Algeria,July,1997,17,374
Algeria,August,1997,15,665
Algeria,September,1997,10,346
Algeria,October,1997,12,233
Algeria,November,1997,5,115
Algeria,December,1997,11,634
Algeria,January,1998,7,558
Algeria,February,1998,1,18
Algeria,March,1998,1,6
Algeria,April,1998,5,126
Algeria,May,1998,4,116
Algeria,June,1998,3,32
Algeria,July,1998,3,21
Algeria,August,1998,3,30
Algeria,September,1998,1,22
Algeria,October,1998,0,0
Algeria,November,1998,1,7
Algeria,December,1998,4,112
Algeria,January,1999,1,14
Algeria,February,1999,0,0
Algeria,March,1999,2,15
Algeria,April,1999,0,0
Algeria,May,1999,1,9
Algeria,June,1999,1,14
Algeria,July,1999,0,0
Algeria,August,1999,1,29
Algeria,September,1999,2,10
Algeria,October,1999,4,14
Algeria,November,1999,5,50
Algeria,December,1999,14,105
Algeria,January,2000,3,18
Algeria,February,2000,16,102
Algeria,March,2000,9,32
Algeria,April,2000,3,33
Algeria,May,2000,5,43
Algeria,June,2000,1,13
Algeria,July,2000,7,40
Algeria,August,2000,1,3
Algeria,September,2000,4,31
Algeria,October,2000,7,50
Algeria,November,2000,3,12
Algeria,December,2000,10,99
Algeria,January,2001,0,0
Algeria,February,2001,4,47
Algeria,March,2001,13,64
Algeria,April,2001,3,11
Algeria,May,2001,4,51
Algeria,June,2001,3,12
Algeria,July,2001,4,32
Algeria,August,2001,12,79
Algeria,September,2001,5,45
Algeria,October,2001,1,1
Algeria,November,2001,2,0
Algeria,December,2001,5,28
Algeria,January,2002,13,25
Algeria,February,2002,7,51
Algeria,March,2002,8,25
Algeria,April,2002,7,30
Algeria,May,2002,7,79
Algeria,June,2002,12,49
Algeria,July,2002,10,89
Algeria,August,2002,6,36
Algeria,September,2002,7,26
Algeria,October,2002,7,65
Algeria,November,2002,3,10
Algeria,December,2002,6,15
Algeria,January,2003,6,26
Algeria,February,2003,2,12
Algeria,March,2003,8,24
Algeria,April,2003,4,5
Algeria,May,2003,3,23
Algeria,June,2003,8,37
Algeria,July,2003,4,9
Algeria,August,2003,1,3
Algeria,September,2003,1,1
Algeria,October,2003,4,6
Algeria,November,2003,6,13
Algeria,December,2003,2,4
Algeria,January,2004,0,0
Algeria,February,2004,1,1
Algeria,March,2004,0,0
Algeria,April,2004,0,0
Algeria,May,2004,4,7
Algeria,June,2004,6,13
Algeria,July,2004,0,0
Algeria,August,2004,2,5
Algeria,September,2004,2,9
Algeria,October,2004,2,17
Algeria,November,2004,8,14
Algeria,December,2004,2,3
Algeria,January,2005,1,1
Algeria,February,2005,0,0
Algeria,March,2005,0,0
Algeria,April,2005,1,14
Algeria,May,2005,0,0
Algeria,June,2005,0,0
Algeria,July,2005,1,1
Algeria,August,2005,3,10
Algeria,September,2005,2,3
Algeria,October,2005,3,6
Algeria,November,2005,0,0
Algeria,December,2005,0,0
Algeria,January,2006,2,5
Algeria,February,2006,0,0
Algeria,March,2006,5,9
Algeria,April,2006,1,7
Algeria,May,2006,7,25
Algeria,June,2006,3,7
Algeria,July,2006,4,2
Algeria,August,2006,1,2
Algeria,September,2006,4,0
Algeria,October,2006,4,5
Algeria,November,2006,4,23
Algeria,December,2006,4,2
Algeria,January,2007,1,1
Algeria,February,2007,4,2
Algeria,March,2007,3,9
Algeria,April,2007,2,18
Algeria,May,2007,1,1
Algeria,June,2007,4,0
Algeria,July,2007,3,1
Algeria,August,2007,5,2
Algeria,September,2007,8,25
Algeria,October,2007,0,0
Algeria,November,2007,0,0
Algeria,December,2007,3,37
Algeria,January,2008,2,3
Algeria,February,2008,2,4
Algeria,March,2008,2,2
Algeria,April,2008,3,2
Algeria,May,2008,2,4
Algeria,June,2008,2,14
Algeria,July,2008,3,3
Algeria,August,2008,9,81
Algeria,September,2008,3,1
Algeria,October,2008,2,2
Algeria,November,2008,4,3
Algeria,December,2008,1,0
Algeria,January,2009,2,1
Algeria,February,2009,2,7
Algeria,March,2009,2,7
Algeria,April,2009,1,1
Algeria,May,2009,0,0
Algeria,June,2009,0,0
Algeria,July,2009,1,0
Algeria,August,2009,3,9
Algeria,September,2009,0,0
Algeria,October,2009,2,0
Algeria,November,2009,1,1
Algeria,December,2009,0,0
Algeria,January,2010,1,2
Algeria,February,2010,0,0
Algeria,March,2010,1,2
Algeria,April,2010,1,2
Algeria,May,2010,2,2
Algeria,June,2010,3,15
Algeria,July,2010,3,7
Algeria,August,2010,4,5
Algeria,September,2010,1,2
Algeria,October,2010,0,0
Algeria,November,2010,4,3
Algeria,December,2010,0,0
Algeria,January,2011,2,1
Algeria,February,2011,7,1
Algeria,March,2011,3,7
Algeria,April,2011,0,0
Algeria,May,2011,5,1
Algeria,June,2011,1,1
Algeria,July,2011,1,2
Algeria,August,2011,5,7
Algeria,September,2011,2,0
Algeria,October,2011,3,1
Algeria,November,2011,2,2
Algeria,December,2011,0,0
Algeria,January,2012,3,0
Algeria,February,2012,1,4
Algeria,March,2012,2,1
Algeria,April,2012,0,0
Algeria,May,2012,3,1
Algeria,June,2012,0,0
Algeria,July,2012,4,2
Algeria,August,2012,1,0
Algeria,September,2012,1,0
Algeria,October,2012,2,1
Algeria,November,2012,4,0
Algeria,December,2012,1,2
Algeria,January,2013,1,2
Algeria,February,2013,3,0
Algeria,March,2013,0,0
Algeria,April,2013,0,0
Algeria,May,2013,4,0
Algeria,June,2013,2,5
Algeria,July,2013,3,6
Algeria,August,2013,2,5
Algeria,September,2013,4,1
Algeria,October,2013,2,0
Algeria,November,2013,1,0
Algeria,December,2013,0,0
Algeria,January,2014,2,3
Algeria,February,2014,2,3
Algeria,March,2014,5,1
Algeria,April,2014,5,1
Algeria,May,2014,0,0
Algeria,June,2014,1,1
Algeria,July,2014,3,7
Algeria,August,2014,1,1
Algeria,September,2014,3,1
Algeria,October,2014,0,0
Algeria,November,2014,1,0
Algeria,December,2014,1,1
Algeria,January,2015,0,0
Algeria,February,2015,0,0
Algeria,March,2015,1,1
Algeria,April,2015,0,0
Algeria,May,2015,0,0
Algeria,June,2015,2,1
Algeria,July,2015,1,0
Algeria,August,2015,0,0
Algeria,September,2015,0,0
Algeria,October,2015,0,0
Algeria,November,2015,0,0
Algeria,December,2015,1,0
Algeria,January,2016,2,0
Algeria,February,2016,0,0
Algeria,March,2016,2,0
Algeria,April,2016,3,0
Algeria,May,2016,0,0
Algeria,June,2016,0,0
Algeria,July,2016,0,0
Algeria,August,2016,0,0
Algeria,September,2016,2,0
Algeria,October,2016,2,1
Algeria,November,2016,1,3
Algeria,December,2016,0,0
Algeria,January,2017,1,1
Algeria,February,2017,3,1
Algeria,March,2017,3,1
Algeria,April,2017,4,6
Algeria,May,2017,6,1
Algeria,June,2017,3,1
Algeria,July,2017,1,1
Algeria,August,2017,1,1
Algeria,September,2017,2,1
Algeria,October,2017,5,2
Algeria,November,2017,8,2
Algeria,December,2017,4,1
Algeria,January,2018,1,1
Algeria,February,2018,1,1
Algeria,March,2018,1,0
Algeria,April,2018,2,0
Algeria,May,2018,2,2
Algeria,June,2018,8,2
Algeria,July,2018,0,0
Algeria,August,2018,4,4
Algeria,September,2018,1,0
Algeria,October,2018,2,2
Algeria,November,2018,9,1
Algeria,December,2018,4,1
Algeria,January,2019,2,2
Algeria,February,2019,0,0
Algeria,March,2019,0,0
Algeria,April,2019,1,0
Algeria,May,2019,1,0
Algeria,June,2019,1,0
Algeria,July,2019,0,0
Algeria,August,2019,0,0
Algeria,September,2019,0,0
Algeria,October,2019,0,0
Algeria,November,2019,1,0
Algeria,December,2019,0,0
Algeria,January,2020,0,0
Algeria,February,2020,0,0
Algeria,March,2020,1,0
Algeria,April,2020,0,0
Algeria,May,2020,2,3
Algeria,June,2020,2,0
Algeria,July,2020,2,0
Algeria,August,2020,0,0
Algeria,September,2020,0,0
Algeria,October,2020,1,2
Algeria,November,2020,1,0
Algeria,December,2020,0,0
Algeria,January,2021,1,5
Algeria,February,2021,0,0
Algeria,March,2021,0,0
Algeria,April,2021,0,0
Algeria,May,2021,2,1
Algeria,June,2021,1,0
Algeria,July,2021,0,0
Algeria,August,2021,1,1
Algeria,September,2021,0,0
Algeria,October,2021,1,0
Algeria,November,2021,1,1
Algeria,December,2021,1,0
Algeria,January,2022,0,0
Algeria,February,2022,1,0
Algeria,March,2022,1,0
Algeria,April,2022,0,0
Algeria,May,2022,0,0
Algeria,June,2022,0,0
Algeria,July,2022,0,0
Algeria,August,2022,0,0
Algeria,September,2022,1,0
Algeria,October,2022,2,8
Algeria,November,2022,0,0
Algeria,December,2022,0,0
Algeria,January,2023,2,5
Algeria,February,2023,2,2
Algeria,March,2023,1,0
Algeria,April,2023,0,0
Algeria,May,2023,1,0
Algeria,June,2023,0,0
Algeria,July,2023,1,0
Algeria,August,2023,1,2
Algeria,September,2023,0,0
Algeria,October,2023,1,2
Algeria,November,2023,1,0
Algeria,December,2023,0,0
Algeria,January,2024,0,0
Algeria,February,2024,0,0
Algeria,March,2024,0,0
Algeria,April,2024,1,3
Algeria,May,2024,1,10
Algeria,June,2024,0,0
Algeria,July,2024,0,0
Algeria,August,2024,1,1
Algeria,September,2024,1,2
Algeria,October,2024,1,1
Algeria,November,2024,1,4
Algeria,December,2024,1,0
Algeria,January,2025,1,0
Algeria,February,2025,2,1
Algeria,March,2025,0,0
Algeria,April,2025,4,3
Algeria,May,2025,0,0
Algeria,June,2025,0,0
Algeria,July,2025,1,0
Algeria,August,2025,1,4
Algeria,September,2025,0,0
Algeria,October,2025,2,0
Algeria,November,2025,1,2
Algeria,December,2025,0,0
Algeria,January,2026,2,4
