Country,Month,Year,Events,Fatalities
Aruba,January,2018,0,0
Aruba,February,2018,0,0
Aruba,March,2018,0,0
Aruba,April,2018,0,0
Aruba,May,2018,0,0
Aruba,June,2018,0,0
Aruba,July,2018,0,0
Aruba,August,2018,0,0
Aruba,September,2018,0,0
Aruba,October,2018,0,0
Aruba,November,2018,0,0
Aruba,December,2018,0,0
Aruba,January,2019,0,0
Aruba,February,2019,0,0
Aruba,March,2019,0,0
Aruba,April,2019,0,0
Aruba,May,2019,0,0
Aruba,June,2019,0,0
Aruba,July,2019,0,0
Aruba,August,2019,0,0
Aruba,September,2019,0,0
Aruba,October,2019,0,0
Aruba,November,2019,0,0
Aruba,December,2019,0,0
Aruba,January,2020,0,0
Aruba,February,2020,0,0
Aruba,March,2020,0,0
Aruba,April,2020,0,0
Aruba,May,2020,0,0
Aruba,June,2020,0,0
Aruba,July,2020,0,0
Aruba,August,2020,0,0
Aruba,September,2020,0,0
Aruba,October,2020,0,0
Aruba,November,2020,0,0
Aruba,December,2020,0,0
Aruba,January,2021,0,0
Aruba,February,2021,0,0
Aruba,March,2021,0,0
Aruba,April,2021,0,0
Aruba,May,2021,0,0
Aruba,June,2021,0,0
Aruba,July,2021,0,0
Aruba,August,2021,0,0
Aruba,September,2021,0,0
Aruba,October,2021,0,0
Aruba,November,2021,0,0
Aruba,December,2021,0,0
Aruba,January,2022,0,0
Aruba,February,2022,0,0
Aruba,March,2022,0,0
Aruba,April,2022,0,0
Aruba,May,2022,0,0
Aruba,June,2022,0,0
Aruba,July,2022,0,0
Aruba,August,2022,0,0
Aruba,September,2022,0,0
Aruba,October,2022,0,0
Aruba,November,2022,0,0
Aruba,December,2022,0,0
Aruba,January,2023,0,0
Aruba,February,2023,0,0
Aruba,March,2023,0,0
Aruba,April,2023,0,0
Aruba,May,2023,0,0
Aruba,June,2023,0,0
Aruba,July,2023,0,0
Aruba,August,2023,0,0
Aruba,September,2023,0,0
Aruba,October,2023,0,0
Aruba,November,2023,0,0
Aruba,December,2023,0,0
Aruba,January,2024,0,0
Aruba,February,2024,0,0
Aruba,March,2024,0,0
Aruba,April,2024,0,0
Aruba,May,2024,0,0
Aruba,June,2024,0,0
Aruba,July,2024,0,0
Aruba,August,2024,0,0
Aruba,September,2024,0,0
Aruba,October,2024,0,0
Aruba,November,2024,0,0
Aruba,December,2024,0,0
Aruba,January,2025,0,0
Aruba,February,2025,1,1
Aruba,March,2025,0,0
Aruba,April,2025,0,0
Aruba,May,2025,0,0
Aruba,June,2025,0,0
Aruba,July,2025,0,0
Aruba,August,2025,0,0
Aruba,September,2025,0,0
Aruba,October,2025,0,0
Aruba,November,2025,0,0
Aruba,December,2025,0,0
Aruba,January,2026,0,0
Aruba,February,2026,0,0
Aruba,March,2026,0,0
Aruba,April,2026,0,0
