Country,Month,Year,Events,Fatalities
Bahrain,January,2016,3,0
Bahrain,February,2016,2,0
Bahrain,March,2016,5,0
Bahrain,April,2016,1,0
Bahrain,May,2016,0,0
Bahrain,June,2016,2,0
Bahrain,July,2016,0,0
Bahrain,August,2016,0,0
Bahrain,September,2016,0,0
Bahrain,October,2016,0,0
Bahrain,November,2016,0,0
Bahrain,December,2016,0,0
Bahrain,January,2017,4,4
Bahrain,February,2017,2,1
Bahrain,March,2017,1,0
Bahrain,April,2017,0,0
Bahrain,May,2017,1,0
Bahrain,June,2017,0,0
Bahrain,July,2017,0,0
Bahrain,August,2017,3,0
Bahrain,September,2017,1,0
Bahrain,October,2017,1,0
Bahrain,November,2017,0,0
Bahrain,December,2017,0,0
Bahrain,January,2018,0,0
Bahrain,February,2018,0,0
Bahrain,March,2018,0,0
Bahrain,April,2018,0,0
Bahrain,May,2018,7,0
Bahrain,June,2018,0,0
Bahrain,July,2018,0,0
Bahrain,August,2018,0,0
Bahrain,September,2018,0,0
Bahrain,October,2018,0,0
Bahrain,November,2018,0,0
Bahrain,December,2018,0,0
Bahrain,January,2019,0,0
Bahrain,February,2019,0,0
Bahrain,March,2019,0,0
Bahrain,April,2019,1,0
Bahrain,May,2019,0,0
Bahrain,June,2019,0,0
Bahrain,July,2019,1,1
Bahrain,August,2019,2,0
Bahrain,September,2019,0,0
Bahrain,October,2019,0,0
Bahrain,November,2019,0,0
Bahrain,December,2019,1,0
Bahrain,January,2020,0,0
Bahrain,February,2020,0,0
Bahrain,March,2020,0,0
Bahrain,April,2020,0,0
Bahrain,May,2020,0,0
Bahrain,June,2020,1,0
Bahrain,July,2020,1,0
Bahrain,August,2020,1,0
Bahrain,September,2020,1,0
Bahrain,October,2020,2,0
Bahrain,November,2020,0,0
Bahrain,December,2020,0,0
Bahrain,January,2021,0,0
Bahrain,February,2021,3,0
Bahrain,March,2021,2,0
Bahrain,April,2021,2,0
Bahrain,May,2021,0,0
Bahrain,June,2021,1,0
Bahrain,July,2021,1,0
Bahrain,August,2021,1,0
Bahrain,September,2021,1,0
Bahrain,October,2021,3,0
Bahrain,November,2021,5,0
Bahrain,December,2021,0,0
Bahrain,January,2022,1,0
Bahrain,February,2022,0,0
Bahrain,March,2022,0,0
Bahrain,April,2022,1,0
Bahrain,May,2022,1,0
Bahrain,June,2022,0,0
Bahrain,July,2022,0,0
Bahrain,August,2022,1,0
Bahrain,September,2022,1,0
Bahrain,October,2022,2,0
Bahrain,November,2022,1,0
Bahrain,December,2022,1,0
Bahrain,January,2023,1,0
Bahrain,February,2023,0,0
Bahrain,March,2023,0,0
Bahrain,April,2023,0,0
Bahrain,May,2023,2,0
Bahrain,June,2023,0,0
Bahrain,July,2023,0,0
Bahrain,August,2023,1,0
Bahrain,September,2023,0,0
Bahrain,October,2023,0,0
Bahrain,November,2023,0,0
Bahrain,December,2023,0,0
Bahrain,January,2024,1,0
Bahrain,February,2024,1,0
Bahrain,March,2024,0,0
Bahrain,April,2024,1,0
Bahrain,May,2024,0,0
Bahrain,June,2024,0,0
Bahrain,July,2024,1,0
Bahrain,August,2024,0,0
Bahrain,September,2024,0,0
Bahrain,October,2024,1,0
Bahrain,November,2024,0,0
Bahrain,December,2024,1,0
Bahrain,January,2025,0,0
Bahrain,February,2025,0,0
Bahrain,March,2025,3,0
Bahrain,April,2025,1,0
Bahrain,May,2025,1,0
Bahrain,June,2025,1,0
Bahrain,July,2025,0,0
Bahrain,August,2025,1,0
Bahrain,September,2025,0,0
Bahrain,October,2025,0,0
Bahrain,November,2025,2,0
Bahrain,December,2025,1,0
Bahrain,January,2026,1,0
Bahrain,February,2026,2,0
Bahrain,March,2026,11,2
Bahrain,April,2026,2,0
