Country,Month,Year,Events,Fatalities
Bailiwick of Guernsey,January,2020,0,0
Bailiwick of Guernsey,February,2020,0,0
Bailiwick of Guernsey,March,2020,0,0
Bailiwick of Guernsey,April,2020,0,0
Bailiwick of Guernsey,May,2020,0,0
Bailiwick of Guernsey,June,2020,0,0
Bailiwick of Guernsey,July,2020,0,0
Bailiwick of Guernsey,August,2020,0,0
Bailiwick of Guernsey,September,2020,0,0
Bailiwick of Guernsey,October,2020,0,0
Bailiwick of Guernsey,November,2020,0,0
Bailiwick of Guernsey,December,2020,0,0
Bailiwick of Guernsey,January,2021,0,0
Bailiwick of Guernsey,February,2021,0,0
Bailiwick of Guernsey,March,2021,0,0
Bailiwick of Guernsey,April,2021,0,0
Bailiwick of Guernsey,May,2021,0,0
Bailiwick of Guernsey,June,2021,0,0
Bailiwick of Guernsey,July,2021,0,0
Bailiwick of Guernsey,August,2021,0,0
Bailiwick of Guernsey,September,2021,0,0
Bailiwick of Guernsey,October,2021,0,0
Bailiwick of Guernsey,November,2021,0,0
Bailiwick of Guernsey,December,2021,0,0
Bailiwick of Guernsey,January,2022,0,0
Bailiwick of Guernsey,February,2022,0,0
Bailiwick of Guernsey,March,2022,0,0
Bailiwick of Guernsey,April,2022,0,0
Bailiwick of Guernsey,May,2022,0,0
Bailiwick of Guernsey,June,2022,0,0
Bailiwick of Guernsey,July,2022,0,0
Bailiwick of Guernsey,August,2022,0,0
Bailiwick of Guernsey,September,2022,0,0
Bailiwick of Guernsey,October,2022,0,0
Bailiwick of Guernsey,November,2022,0,0
Bailiwick of Guernsey,December,2022,0,0
Bailiwick of Guernsey,January,2023,0,0
Bailiwick of Guernsey,February,2023,0,0
Bailiwick of Guernsey,March,2023,0,0
Bailiwick of Guernsey,April,2023,0,0
Bailiwick of Guernsey,May,2023,0,0
Bailiwick of Guernsey,June,2023,0,0
Bailiwick of Guernsey,July,2023,0,0
Bailiwick of Guernsey,August,2023,0,0
Bailiwick of Guernsey,September,2023,0,0
Bailiwick of Guernsey,October,2023,0,0
Bailiwick of Guernsey,November,2023,0,0
Bailiwick of Guernsey,December,2023,0,0
Bailiwick of Guernsey,January,2024,0,0
Bailiwick of Guernsey,February,2024,0,0
Bailiwick of Guernsey,March,2024,0,0
Bailiwick of Guernsey,April,2024,0,0
Bailiwick of Guernsey,May,2024,0,0
Bailiwick of Guernsey,June,2024,0,0
Bailiwick of Guernsey,July,2024,0,0
Bailiwick of Guernsey,August,2024,0,0
Bailiwick of Guernsey,September,2024,0,0
Bailiwick of Guernsey,October,2024,0,0
Bailiwick of Guernsey,November,2024,0,0
Bailiwick of Guernsey,December,2024,0,0
Bailiwick of Guernsey,January,2025,0,0
Bailiwick of Guernsey,February,2025,0,0
Bailiwick of Guernsey,March,2025,0,0
Bailiwick of Guernsey,April,2025,0,0
Bailiwick of Guernsey,May,2025,0,0
Bailiwick of Guernsey,June,2025,0,0
Bailiwick of Guernsey,July,2025,0,0
Bailiwick of Guernsey,August,2025,0,0
Bailiwick of Guernsey,September,2025,0,0
Bailiwick of Guernsey,October,2025,0,0
Bailiwick of Guernsey,November,2025,0,0
Bailiwick of Guernsey,December,2025,0,0
Bailiwick of Guernsey,January,2026,0,0
Bailiwick of Guernsey,February,2026,0,0
Bailiwick of Guernsey,March,2026,0,0
Bailiwick of Guernsey,April,2026,0,0
