Country,Month,Year,Events,Fatalities
Bailiwick of Jersey,January,2020,0,0
Bailiwick of Jersey,February,2020,0,0
Bailiwick of Jersey,March,2020,0,0
Bailiwick of Jersey,April,2020,0,0
Bailiwick of Jersey,May,2020,0,0
Bailiwick of Jersey,June,2020,0,0
Bailiwick of Jersey,July,2020,0,0
Bailiwick of Jersey,August,2020,0,0
Bailiwick of Jersey,September,2020,0,0
Bailiwick of Jersey,October,2020,0,0
Bailiwick of Jersey,November,2020,0,0
Bailiwick of Jersey,December,2020,0,0
Bailiwick of Jersey,January,2021,0,0
Bailiwick of Jersey,February,2021,0,0
Bailiwick of Jersey,March,2021,0,0
Bailiwick of Jersey,April,2021,0,0
Bailiwick of Jersey,May,2021,0,0
Bailiwick of Jersey,June,2021,0,0
Bailiwick of Jersey,July,2021,0,0
Bailiwick of Jersey,August,2021,0,0
Bailiwick of Jersey,September,2021,0,0
Bailiwick of Jersey,October,2021,0,0
Bailiwick of Jersey,November,2021,0,0
Bailiwick of Jersey,December,2021,0,0
Bailiwick of Jersey,January,2022,0,0
Bailiwick of Jersey,February,2022,0,0
Bailiwick of Jersey,March,2022,0,0
Bailiwick of Jersey,April,2022,0,0
Bailiwick of Jersey,May,2022,0,0
Bailiwick of Jersey,June,2022,0,0
Bailiwick of Jersey,July,2022,0,0
Bailiwick of Jersey,August,2022,0,0
Bailiwick of Jersey,September,2022,0,0
Bailiwick of Jersey,October,2022,0,0
Bailiwick of Jersey,November,2022,0,0
Bailiwick of Jersey,December,2022,0,0
Bailiwick of Jersey,January,2023,0,0
Bailiwick of Jersey,February,2023,0,0
Bailiwick of Jersey,March,2023,0,0
Bailiwick of Jersey,April,2023,0,0
Bailiwick of Jersey,May,2023,0,0
Bailiwick of Jersey,June,2023,0,0
Bailiwick of Jersey,July,2023,0,0
Bailiwick of Jersey,August,2023,0,0
Bailiwick of Jersey,September,2023,0,0
Bailiwick of Jersey,October,2023,0,0
Bailiwick of Jersey,November,2023,0,0
Bailiwick of Jersey,December,2023,0,0
Bailiwick of Jersey,January,2024,0,0
Bailiwick of Jersey,February,2024,0,0
Bailiwick of Jersey,March,2024,0,0
Bailiwick of Jersey,April,2024,0,0
Bailiwick of Jersey,May,2024,0,0
Bailiwick of Jersey,June,2024,0,0
Bailiwick of Jersey,July,2024,0,0
Bailiwick of Jersey,August,2024,0,0
Bailiwick of Jersey,September,2024,0,0
Bailiwick of Jersey,October,2024,0,0
Bailiwick of Jersey,November,2024,0,0
Bailiwick of Jersey,December,2024,0,0
Bailiwick of Jersey,January,2025,0,0
Bailiwick of Jersey,February,2025,0,0
Bailiwick of Jersey,March,2025,0,0
Bailiwick of Jersey,April,2025,0,0
Bailiwick of Jersey,May,2025,0,0
Bailiwick of Jersey,June,2025,0,0
Bailiwick of Jersey,July,2025,0,0
Bailiwick of Jersey,August,2025,0,0
Bailiwick of Jersey,September,2025,0,0
Bailiwick of Jersey,October,2025,0,0
Bailiwick of Jersey,November,2025,0,0
Bailiwick of Jersey,December,2025,0,0
Bailiwick of Jersey,January,2026,0,0
Bailiwick of Jersey,February,2026,0,0
Bailiwick of Jersey,March,2026,0,0
Bailiwick of Jersey,April,2026,0,0
