Country,Month,Year,Events,Fatalities
Belarus,January,2018,0,0
Belarus,February,2018,1,0
Belarus,March,2018,1,0
Belarus,April,2018,0,0
Belarus,May,2018,2,0
Belarus,June,2018,4,0
Belarus,July,2018,3,0
Belarus,August,2018,0,0
Belarus,September,2018,1,0
Belarus,October,2018,0,0
Belarus,November,2018,0,0
Belarus,December,2018,0,0
Belarus,January,2019,1,0
Belarus,February,2019,1,0
Belarus,March,2019,0,0
Belarus,April,2019,0,0
Belarus,May,2019,0,0
Belarus,June,2019,0,0
Belarus,July,2019,1,0
Belarus,August,2019,1,0
Belarus,September,2019,0,0
Belarus,October,2019,1,0
Belarus,November,2019,1,0
Belarus,December,2019,0,0
Belarus,January,2020,0,0
Belarus,February,2020,0,0
Belarus,March,2020,0,0
Belarus,April,2020,0,0
Belarus,May,2020,0,0
Belarus,June,2020,1,0
Belarus,July,2020,0,0
Belarus,August,2020,46,3
Belarus,September,2020,15,1
Belarus,October,2020,8,0
Belarus,November,2020,9,1
Belarus,December,2020,1,0
Belarus,January,2021,3,0
Belarus,February,2021,1,0
Belarus,March,2021,3,0
Belarus,April,2021,0,0
Belarus,May,2021,2,0
Belarus,June,2021,0,0
Belarus,July,2021,2,0
Belarus,August,2021,4,0
Belarus,September,2021,3,0
Belarus,October,2021,5,1
Belarus,November,2021,8,1
Belarus,December,2021,6,1
Belarus,January,2022,2,0
Belarus,February,2022,10,0
Belarus,March,2022,9,1
Belarus,April,2022,4,0
Belarus,May,2022,5,1
Belarus,June,2022,4,0
Belarus,July,2022,1,0
Belarus,August,2022,2,0
Belarus,September,2022,3,0
Belarus,October,2022,1,0
Belarus,November,2022,6,0
Belarus,December,2022,3,0
Belarus,January,2023,1,0
Belarus,February,2023,1,0
Belarus,March,2023,8,0
Belarus,April,2023,2,0
Belarus,May,2023,0,0
Belarus,June,2023,5,0
Belarus,July,2023,1,0
Belarus,August,2023,2,1
Belarus,September,2023,0,0
Belarus,October,2023,2,0
Belarus,November,2023,0,0
Belarus,December,2023,0,0
Belarus,January,2024,2,0
Belarus,February,2024,0,0
Belarus,March,2024,1,0
Belarus,April,2024,1,0
Belarus,May,2024,2,0
Belarus,June,2024,0,0
Belarus,July,2024,1,1
Belarus,August,2024,1,0
Belarus,September,2024,2,0
Belarus,October,2024,2,1
Belarus,November,2024,4,0
Belarus,December,2024,3,0
Belarus,January,2025,1,1
Belarus,February,2025,0,0
Belarus,March,2025,2,0
Belarus,April,2025,0,0
Belarus,May,2025,0,0
Belarus,June,2025,1,0
Belarus,July,2025,1,0
Belarus,August,2025,0,0
Belarus,September,2025,3,1
Belarus,October,2025,0,0
Belarus,November,2025,0,0
Belarus,December,2025,0,0
Belarus,January,2026,0,0
Belarus,February,2026,0,0
Belarus,March,2026,1,0
Belarus,April,2026,0,0
