Country,Month,Year,Events,Fatalities
Belize,January,2018,12,9
Belize,February,2018,13,8
Belize,March,2018,11,8
Belize,April,2018,8,5
Belize,May,2018,6,4
Belize,June,2018,11,3
Belize,July,2018,11,5
Belize,August,2018,3,4
Belize,September,2018,13,7
Belize,October,2018,8,4
Belize,November,2018,9,6
Belize,December,2018,6,5
Belize,January,2019,16,10
Belize,February,2019,8,4
Belize,March,2019,11,4
Belize,April,2019,7,5
Belize,May,2019,16,8
Belize,June,2019,11,13
Belize,July,2019,10,8
Belize,August,2019,13,8
Belize,September,2019,11,6
Belize,October,2019,8,7
Belize,November,2019,12,6
Belize,December,2019,9,6
Belize,January,2020,12,6
Belize,February,2020,17,8
Belize,March,2020,9,7
Belize,April,2020,8,3
Belize,May,2020,8,4
Belize,June,2020,5,2
Belize,July,2020,9,9
Belize,August,2020,1,1
Belize,September,2020,8,4
Belize,October,2020,9,5
Belize,November,2020,11,8
Belize,December,2020,8,4
Belize,January,2021,11,4
Belize,February,2021,4,4
Belize,March,2021,10,7
Belize,April,2021,8,2
Belize,May,2021,15,12
Belize,June,2021,4,2
Belize,July,2021,9,2
Belize,August,2021,8,8
Belize,September,2021,10,7
Belize,October,2021,8,4
Belize,November,2021,8,5
Belize,December,2021,5,1
Belize,January,2022,9,6
Belize,February,2022,7,4
Belize,March,2022,2,1
Belize,April,2022,3,1
Belize,May,2022,6,2
Belize,June,2022,6,4
Belize,July,2022,4,3
Belize,August,2022,1,1
Belize,September,2022,4,2
Belize,October,2022,2,1
Belize,November,2022,6,6
Belize,December,2022,7,7
Belize,January,2023,5,3
Belize,February,2023,4,2
Belize,March,2023,4,2
Belize,April,2023,3,2
Belize,May,2023,6,2
Belize,June,2023,5,2
Belize,July,2023,8,5
Belize,August,2023,4,1
Belize,September,2023,1,1
Belize,October,2023,1,3
Belize,November,2023,1,0
Belize,December,2023,6,5
Belize,January,2024,4,0
Belize,February,2024,3,1
Belize,March,2024,4,2
Belize,April,2024,0,0
Belize,May,2024,4,2
Belize,June,2024,7,3
Belize,July,2024,2,1
Belize,August,2024,0,0
Belize,September,2024,2,2
Belize,October,2024,3,0
Belize,November,2024,3,1
Belize,December,2024,4,4
Belize,January,2025,1,0
Belize,February,2025,4,2
Belize,March,2025,6,4
Belize,April,2025,3,2
Belize,May,2025,2,2
Belize,June,2025,0,0
Belize,July,2025,5,2
Belize,August,2025,4,0
Belize,September,2025,8,2
Belize,October,2025,2,2
Belize,November,2025,3,1
Belize,December,2025,4,5
Belize,January,2026,5,3
Belize,February,2026,5,5
Belize,March,2026,4,0
Belize,April,2026,4,1
