Country,Month,Year,Events,Fatalities
Bermuda,January,2018,0,0
Bermuda,February,2018,0,0
Bermuda,March,2018,0,0
Bermuda,April,2018,0,0
Bermuda,May,2018,0,0
Bermuda,June,2018,0,0
Bermuda,July,2018,0,0
Bermuda,August,2018,0,0
Bermuda,September,2018,0,0
Bermuda,October,2018,0,0
Bermuda,November,2018,0,0
Bermuda,December,2018,0,0
Bermuda,January,2019,0,0
Bermuda,February,2019,0,0
Bermuda,March,2019,0,0
Bermuda,April,2019,0,0
Bermuda,May,2019,0,0
Bermuda,June,2019,0,0
Bermuda,July,2019,0,0
Bermuda,August,2019,0,0
Bermuda,September,2019,0,0
Bermuda,October,2019,0,0
Bermuda,November,2019,0,0
Bermuda,December,2019,0,0
Bermuda,January,2020,0,0
Bermuda,February,2020,0,0
Bermuda,March,2020,0,0
Bermuda,April,2020,0,0
Bermuda,May,2020,0,0
Bermuda,June,2020,0,0
Bermuda,July,2020,0,0
Bermuda,August,2020,0,0
Bermuda,September,2020,0,0
Bermuda,October,2020,0,0
Bermuda,November,2020,0,0
Bermuda,December,2020,0,0
Bermuda,January,2021,0,0
Bermuda,February,2021,0,0
Bermuda,March,2021,0,0
Bermuda,April,2021,0,0
Bermuda,May,2021,0,0
Bermuda,June,2021,0,0
Bermuda,July,2021,0,0
Bermuda,August,2021,0,0
Bermuda,September,2021,0,0
Bermuda,October,2021,0,0
Bermuda,November,2021,0,0
Bermuda,December,2021,0,0
Bermuda,January,2022,0,0
Bermuda,February,2022,0,0
Bermuda,March,2022,0,0
Bermuda,April,2022,0,0
Bermuda,May,2022,0,0
Bermuda,June,2022,0,0
Bermuda,July,2022,0,0
Bermuda,August,2022,0,0
Bermuda,September,2022,0,0
Bermuda,October,2022,0,0
Bermuda,November,2022,0,0
Bermuda,December,2022,0,0
Bermuda,January,2023,0,0
Bermuda,February,2023,0,0
Bermuda,March,2023,0,0
Bermuda,April,2023,0,0
Bermuda,May,2023,0,0
Bermuda,June,2023,0,0
Bermuda,July,2023,0,0
Bermuda,August,2023,0,0
Bermuda,September,2023,0,0
Bermuda,October,2023,0,0
Bermuda,November,2023,0,0
Bermuda,December,2023,0,0
Bermuda,January,2024,0,0
Bermuda,February,2024,0,0
Bermuda,March,2024,0,0
Bermuda,April,2024,0,0
Bermuda,May,2024,0,0
Bermuda,June,2024,0,0
Bermuda,July,2024,0,0
Bermuda,August,2024,0,0
Bermuda,September,2024,0,0
Bermuda,October,2024,0,0
Bermuda,November,2024,0,0
Bermuda,December,2024,0,0
Bermuda,January,2025,0,0
Bermuda,February,2025,0,0
Bermuda,March,2025,0,0
Bermuda,April,2025,0,0
Bermuda,May,2025,0,0
Bermuda,June,2025,0,0
Bermuda,July,2025,0,0
Bermuda,August,2025,0,0
Bermuda,September,2025,0,0
Bermuda,October,2025,0,0
Bermuda,November,2025,0,0
Bermuda,December,2025,0,0
Bermuda,January,2026,0,0
Bermuda,February,2026,0,0
Bermuda,March,2026,0,0
Bermuda,April,2026,0,0
