Country,Month,Year,Events,Fatalities
British Virgin Islands,January,2018,0,0
British Virgin Islands,February,2018,0,0
British Virgin Islands,March,2018,0,0
British Virgin Islands,April,2018,0,0
British Virgin Islands,May,2018,0,0
British Virgin Islands,June,2018,0,0
British Virgin Islands,July,2018,0,0
British Virgin Islands,August,2018,0,0
British Virgin Islands,September,2018,0,0
British Virgin Islands,October,2018,0,0
British Virgin Islands,November,2018,0,0
British Virgin Islands,December,2018,0,0
British Virgin Islands,January,2019,0,0
British Virgin Islands,February,2019,0,0
British Virgin Islands,March,2019,0,0
British Virgin Islands,April,2019,0,0
British Virgin Islands,May,2019,0,0
British Virgin Islands,June,2019,0,0
British Virgin Islands,July,2019,0,0
British Virgin Islands,August,2019,0,0
British Virgin Islands,September,2019,0,0
British Virgin Islands,October,2019,0,0
British Virgin Islands,November,2019,0,0
British Virgin Islands,December,2019,0,0
British Virgin Islands,January,2020,0,0
British Virgin Islands,February,2020,0,0
British Virgin Islands,March,2020,0,0
British Virgin Islands,April,2020,0,0
British Virgin Islands,May,2020,0,0
British Virgin Islands,June,2020,0,0
British Virgin Islands,July,2020,0,0
British Virgin Islands,August,2020,0,0
British Virgin Islands,September,2020,0,0
British Virgin Islands,October,2020,0,0
British Virgin Islands,November,2020,0,0
British Virgin Islands,December,2020,0,0
British Virgin Islands,January,2021,0,0
British Virgin Islands,February,2021,0,0
British Virgin Islands,March,2021,0,0
British Virgin Islands,April,2021,0,0
British Virgin Islands,May,2021,0,0
British Virgin Islands,June,2021,0,0
British Virgin Islands,July,2021,0,0
British Virgin Islands,August,2021,0,0
British Virgin Islands,September,2021,0,0
British Virgin Islands,October,2021,0,0
British Virgin Islands,November,2021,0,0
British Virgin Islands,December,2021,0,0
British Virgin Islands,January,2022,0,0
British Virgin Islands,February,2022,0,0
British Virgin Islands,March,2022,0,0
British Virgin Islands,April,2022,0,0
British Virgin Islands,May,2022,0,0
British Virgin Islands,June,2022,0,0
British Virgin Islands,July,2022,0,0
British Virgin Islands,August,2022,0,0
British Virgin Islands,September,2022,0,0
British Virgin Islands,October,2022,0,0
British Virgin Islands,November,2022,0,0
British Virgin Islands,December,2022,0,0
British Virgin Islands,January,2023,0,0
British Virgin Islands,February,2023,0,0
British Virgin Islands,March,2023,0,0
British Virgin Islands,April,2023,0,0
British Virgin Islands,May,2023,0,0
British Virgin Islands,June,2023,0,0
British Virgin Islands,July,2023,0,0
British Virgin Islands,August,2023,0,0
British Virgin Islands,September,2023,0,0
British Virgin Islands,October,2023,0,0
British Virgin Islands,November,2023,0,0
British Virgin Islands,December,2023,0,0
British Virgin Islands,January,2024,0,0
British Virgin Islands,February,2024,0,0
British Virgin Islands,March,2024,0,0
British Virgin Islands,April,2024,0,0
British Virgin Islands,May,2024,0,0
British Virgin Islands,June,2024,0,0
British Virgin Islands,July,2024,0,0
British Virgin Islands,August,2024,0,0
British Virgin Islands,September,2024,0,0
British Virgin Islands,October,2024,0,0
British Virgin Islands,November,2024,0,0
British Virgin Islands,December,2024,0,0
British Virgin Islands,January,2025,0,0
British Virgin Islands,February,2025,0,0
British Virgin Islands,March,2025,0,0
British Virgin Islands,April,2025,0,0
British Virgin Islands,May,2025,0,0
British Virgin Islands,June,2025,0,0
British Virgin Islands,July,2025,0,0
British Virgin Islands,August,2025,0,0
British Virgin Islands,September,2025,0,0
British Virgin Islands,October,2025,0,0
British Virgin Islands,November,2025,0,0
British Virgin Islands,December,2025,0,0
British Virgin Islands,January,2026,0,0
British Virgin Islands,February,2026,0,0
British Virgin Islands,March,2026,0,0
British Virgin Islands,April,2026,0,0
