Country,Month,Year,Events,Fatalities
Bulgaria,January,2018,0,0
Bulgaria,February,2018,0,0
Bulgaria,March,2018,0,0
Bulgaria,April,2018,0,0
Bulgaria,May,2018,0,0
Bulgaria,June,2018,0,0
Bulgaria,July,2018,0,0
Bulgaria,August,2018,0,0
Bulgaria,September,2018,0,0
Bulgaria,October,2018,0,0
Bulgaria,November,2018,0,0
Bulgaria,December,2018,0,0
Bulgaria,January,2019,1,0
Bulgaria,February,2019,0,0
Bulgaria,March,2019,0,0
Bulgaria,April,2019,0,0
Bulgaria,May,2019,3,0
Bulgaria,June,2019,0,0
Bulgaria,July,2019,0,0
Bulgaria,August,2019,0,0
Bulgaria,September,2019,0,0
Bulgaria,October,2019,0,0
Bulgaria,November,2019,0,0
Bulgaria,December,2019,0,0
Bulgaria,January,2020,1,0
Bulgaria,February,2020,0,0
Bulgaria,March,2020,1,0
Bulgaria,April,2020,0,0
Bulgaria,May,2020,0,0
Bulgaria,June,2020,0,0
Bulgaria,July,2020,2,0
Bulgaria,August,2020,1,0
Bulgaria,September,2020,1,0
Bulgaria,October,2020,0,0
Bulgaria,November,2020,0,0
Bulgaria,December,2020,0,0
Bulgaria,January,2021,0,0
Bulgaria,February,2021,0,0
Bulgaria,March,2021,0,0
Bulgaria,April,2021,2,0
Bulgaria,May,2021,0,0
Bulgaria,June,2021,0,0
Bulgaria,July,2021,0,0
Bulgaria,August,2021,0,0
Bulgaria,September,2021,0,0
Bulgaria,October,2021,1,0
Bulgaria,November,2021,0,0
Bulgaria,December,2021,0,0
Bulgaria,January,2022,0,0
Bulgaria,February,2022,0,0
Bulgaria,March,2022,0,0
Bulgaria,April,2022,0,0
Bulgaria,May,2022,1,0
Bulgaria,June,2022,0,0
Bulgaria,July,2022,0,0
Bulgaria,August,2022,0,0
Bulgaria,September,2022,0,0
Bulgaria,October,2022,0,0
Bulgaria,November,2022,0,0
Bulgaria,December,2022,0,0
Bulgaria,January,2023,0,0
Bulgaria,February,2023,0,0
Bulgaria,March,2023,0,0
Bulgaria,April,2023,0,0
Bulgaria,May,2023,0,0
Bulgaria,June,2023,0,0
Bulgaria,July,2023,0,0
Bulgaria,August,2023,0,0
Bulgaria,September,2023,0,0
Bulgaria,October,2023,0,0
Bulgaria,November,2023,0,0
Bulgaria,December,2023,0,0
Bulgaria,January,2024,0,0
Bulgaria,February,2024,0,0
Bulgaria,March,2024,0,0
Bulgaria,April,2024,1,0
Bulgaria,May,2024,0,0
Bulgaria,June,2024,0,0
Bulgaria,July,2024,0,0
Bulgaria,August,2024,0,0
Bulgaria,September,2024,0,0
Bulgaria,October,2024,1,0
Bulgaria,November,2024,1,0
Bulgaria,December,2024,0,0
Bulgaria,January,2025,0,0
Bulgaria,February,2025,1,1
Bulgaria,March,2025,0,0
Bulgaria,April,2025,0,0
Bulgaria,May,2025,0,0
Bulgaria,June,2025,0,0
Bulgaria,July,2025,1,0
Bulgaria,August,2025,0,0
Bulgaria,September,2025,0,0
Bulgaria,October,2025,0,0
Bulgaria,November,2025,0,0
Bulgaria,December,2025,0,0
Bulgaria,January,2026,0,0
Bulgaria,February,2026,0,0
Bulgaria,March,2026,0,0
Bulgaria,April,2026,0,0
