Country,Month,Year,Events,Fatalities
Cape Verde,January,2020,0,0
Cape Verde,February,2020,0,0
Cape Verde,March,2020,1,0
Cape Verde,April,2020,0,0
Cape Verde,May,2020,0,0
Cape Verde,June,2020,0,0
Cape Verde,July,2020,0,0
Cape Verde,August,2020,0,0
Cape Verde,September,2020,0,0
Cape Verde,October,2020,1,0
Cape Verde,November,2020,0,0
Cape Verde,December,2020,0,0
Cape Verde,January,2021,0,0
Cape Verde,February,2021,0,0
Cape Verde,March,2021,1,0
Cape Verde,April,2021,0,0
Cape Verde,May,2021,0,0
Cape Verde,June,2021,0,0
Cape Verde,July,2021,0,0
Cape Verde,August,2021,0,0
Cape Verde,September,2021,0,0
Cape Verde,October,2021,0,0
Cape Verde,November,2021,0,0
Cape Verde,December,2021,0,0
Cape Verde,January,2022,0,0
Cape Verde,February,2022,0,0
Cape Verde,March,2022,0,0
Cape Verde,April,2022,0,0
Cape Verde,May,2022,0,0
Cape Verde,June,2022,0,0
Cape Verde,July,2022,0,0
Cape Verde,August,2022,0,0
Cape Verde,September,2022,0,0
Cape Verde,October,2022,0,0
Cape Verde,November,2022,0,0
Cape Verde,December,2022,0,0
Cape Verde,January,2023,0,0
Cape Verde,February,2023,0,0
Cape Verde,March,2023,0,0
Cape Verde,April,2023,0,0
Cape Verde,May,2023,1,0
Cape Verde,June,2023,0,0
Cape Verde,July,2023,0,0
Cape Verde,August,2023,0,0
Cape Verde,September,2023,0,0
Cape Verde,October,2023,0,0
Cape Verde,November,2023,0,0
Cape Verde,December,2023,0,0
Cape Verde,January,2024,0,0
Cape Verde,February,2024,0,0
Cape Verde,March,2024,0,0
Cape Verde,April,2024,0,0
Cape Verde,May,2024,0,0
Cape Verde,June,2024,0,0
Cape Verde,July,2024,0,0
Cape Verde,August,2024,0,0
Cape Verde,September,2024,0,0
Cape Verde,October,2024,0,0
Cape Verde,November,2024,0,0
Cape Verde,December,2024,0,0
Cape Verde,January,2025,0,0
Cape Verde,February,2025,0,0
Cape Verde,March,2025,0,0
Cape Verde,April,2025,0,0
Cape Verde,May,2025,0,0
Cape Verde,June,2025,0,0
Cape Verde,July,2025,0,0
Cape Verde,August,2025,0,0
Cape Verde,September,2025,0,0
Cape Verde,October,2025,0,0
Cape Verde,November,2025,0,0
Cape Verde,December,2025,0,0
Cape Verde,January,2026,0,0
Cape Verde,February,2026,0,0
Cape Verde,March,2026,0,0
Cape Verde,April,2026,0,0
