Country,Month,Year,Events,Fatalities
Chile,January,2018,3,0
Chile,February,2018,3,0
Chile,March,2018,6,0
Chile,April,2018,3,0
Chile,May,2018,5,1
Chile,June,2018,5,0
Chile,July,2018,2,0
Chile,August,2018,4,0
Chile,September,2018,4,0
Chile,October,2018,5,1
Chile,November,2018,11,1
Chile,December,2018,6,1
Chile,January,2019,5,1
Chile,February,2019,7,1
Chile,March,2019,6,1
Chile,April,2019,2,0
Chile,May,2019,2,0
Chile,June,2019,1,0
Chile,July,2019,4,1
Chile,August,2019,6,1
Chile,September,2019,3,0
Chile,October,2019,48,4
Chile,November,2019,27,1
Chile,December,2019,18,2
Chile,January,2020,9,1
Chile,February,2020,7,1
Chile,March,2020,13,2
Chile,April,2020,9,0
Chile,May,2020,15,2
Chile,June,2020,11,2
Chile,July,2020,9,0
Chile,August,2020,11,0
Chile,September,2020,17,4
Chile,October,2020,14,2
Chile,November,2020,8,1
Chile,December,2020,7,2
Chile,January,2021,11,1
Chile,February,2021,11,1
Chile,March,2021,16,0
Chile,April,2021,11,0
Chile,May,2021,8,1
Chile,June,2021,9,1
Chile,July,2021,13,0
Chile,August,2021,12,4
Chile,September,2021,10,1
Chile,October,2021,13,1
Chile,November,2021,6,0
Chile,December,2021,12,1
Chile,January,2022,11,5
Chile,February,2022,11,0
Chile,March,2022,15,2
Chile,April,2022,32,1
Chile,May,2022,25,9
Chile,June,2022,9,3
Chile,July,2022,8,0
Chile,August,2022,20,2
Chile,September,2022,10,0
Chile,October,2022,7,2
Chile,November,2022,5,2
Chile,December,2022,7,2
Chile,January,2023,6,2
Chile,February,2023,7,2
Chile,March,2023,13,3
Chile,April,2023,8,1
Chile,May,2023,16,0
Chile,June,2023,11,6
Chile,July,2023,12,2
Chile,August,2023,7,0
Chile,September,2023,6,1
Chile,October,2023,12,0
Chile,November,2023,5,1
Chile,December,2023,16,5
Chile,January,2024,13,8
Chile,February,2024,11,4
Chile,March,2024,8,0
Chile,April,2024,10,2
Chile,May,2024,4,3
Chile,June,2024,8,4
Chile,July,2024,11,1
Chile,August,2024,10,4
Chile,September,2024,6,2
Chile,October,2024,8,1
Chile,November,2024,10,2
Chile,December,2024,10,3
Chile,January,2025,5,1
Chile,February,2025,6,0
Chile,March,2025,13,3
Chile,April,2025,10,4
Chile,May,2025,12,1
Chile,June,2025,11,1
Chile,July,2025,7,0
Chile,August,2025,7,2
Chile,September,2025,9,0
Chile,October,2025,16,1
Chile,November,2025,4,0
Chile,December,2025,8,0
Chile,January,2026,9,0
Chile,February,2026,8,0
Chile,March,2026,15,2
Chile,April,2026,8,3
