Country,Month,Year,Events,Fatalities
Costa Rica,January,2018,0,0
Costa Rica,February,2018,0,0
Costa Rica,March,2018,0,0
Costa Rica,April,2018,0,0
Costa Rica,May,2018,0,0
Costa Rica,June,2018,0,0
Costa Rica,July,2018,0,0
Costa Rica,August,2018,0,0
Costa Rica,September,2018,3,2
Costa Rica,October,2018,0,0
Costa Rica,November,2018,0,0
Costa Rica,December,2018,0,0
Costa Rica,January,2019,0,0
Costa Rica,February,2019,0,0
Costa Rica,March,2019,2,2
Costa Rica,April,2019,0,0
Costa Rica,May,2019,1,0
Costa Rica,June,2019,6,0
Costa Rica,July,2019,0,0
Costa Rica,August,2019,4,5
Costa Rica,September,2019,1,0
Costa Rica,October,2019,2,2
Costa Rica,November,2019,0,0
Costa Rica,December,2019,0,0
Costa Rica,January,2020,2,2
Costa Rica,February,2020,1,0
Costa Rica,March,2020,3,5
Costa Rica,April,2020,0,0
Costa Rica,May,2020,0,0
Costa Rica,June,2020,0,0
Costa Rica,July,2020,1,0
Costa Rica,August,2020,0,0
Costa Rica,September,2020,0,0
Costa Rica,October,2020,2,0
Costa Rica,November,2020,0,0
Costa Rica,December,2020,2,1
Costa Rica,January,2021,1,1
Costa Rica,February,2021,0,0
Costa Rica,March,2021,0,0
Costa Rica,April,2021,0,0
Costa Rica,May,2021,0,0
Costa Rica,June,2021,0,0
Costa Rica,July,2021,0,0
Costa Rica,August,2021,0,0
Costa Rica,September,2021,2,1
Costa Rica,October,2021,2,0
Costa Rica,November,2021,2,1
Costa Rica,December,2021,0,0
Costa Rica,January,2022,1,0
Costa Rica,February,2022,0,0
Costa Rica,March,2022,0,0
Costa Rica,April,2022,1,0
Costa Rica,May,2022,2,0
Costa Rica,June,2022,0,0
Costa Rica,July,2022,2,1
Costa Rica,August,2022,3,0
Costa Rica,September,2022,1,0
Costa Rica,October,2022,1,0
Costa Rica,November,2022,0,0
Costa Rica,December,2022,0,0
Costa Rica,January,2023,0,0
Costa Rica,February,2023,1,1
Costa Rica,March,2023,0,0
Costa Rica,April,2023,0,0
Costa Rica,May,2023,0,0
Costa Rica,June,2023,0,0
Costa Rica,July,2023,0,0
Costa Rica,August,2023,2,0
Costa Rica,September,2023,0,0
Costa Rica,October,2023,1,0
Costa Rica,November,2023,1,0
Costa Rica,December,2023,0,0
Costa Rica,January,2024,1,0
Costa Rica,February,2024,1,1
Costa Rica,March,2024,2,1
Costa Rica,April,2024,3,1
Costa Rica,May,2024,1,1
Costa Rica,June,2024,0,0
Costa Rica,July,2024,0,0
Costa Rica,August,2024,2,1
Costa Rica,September,2024,0,0
Costa Rica,October,2024,2,1
Costa Rica,November,2024,0,0
Costa Rica,December,2024,2,3
Costa Rica,January,2025,1,1
Costa Rica,February,2025,2,1
Costa Rica,March,2025,1,0
Costa Rica,April,2025,2,1
Costa Rica,May,2025,2,1
Costa Rica,June,2025,1,1
Costa Rica,July,2025,0,0
Costa Rica,August,2025,2,0
Costa Rica,September,2025,2,0
Costa Rica,October,2025,0,0
Costa Rica,November,2025,0,0
Costa Rica,December,2025,0,0
Costa Rica,January,2026,0,0
Costa Rica,February,2026,0,0
Costa Rica,March,2026,1,0
Costa Rica,April,2026,1,0
