Country,Month,Year,Events,Fatalities
Curacao,January,2018,0,0
Curacao,February,2018,0,0
Curacao,March,2018,0,0
Curacao,April,2018,0,0
Curacao,May,2018,0,0
Curacao,June,2018,0,0
Curacao,July,2018,0,0
Curacao,August,2018,0,0
Curacao,September,2018,0,0
Curacao,October,2018,0,0
Curacao,November,2018,0,0
Curacao,December,2018,0,0
Curacao,January,2019,0,0
Curacao,February,2019,0,0
Curacao,March,2019,0,0
Curacao,April,2019,0,0
Curacao,May,2019,0,0
Curacao,June,2019,0,0
Curacao,July,2019,0,0
Curacao,August,2019,0,0
Curacao,September,2019,0,0
Curacao,October,2019,0,0
Curacao,November,2019,0,0
Curacao,December,2019,0,0
Curacao,January,2020,0,0
Curacao,February,2020,0,0
Curacao,March,2020,0,0
Curacao,April,2020,0,0
Curacao,May,2020,0,0
Curacao,June,2020,0,0
Curacao,July,2020,0,0
Curacao,August,2020,0,0
Curacao,September,2020,0,0
Curacao,October,2020,0,0
Curacao,November,2020,0,0
Curacao,December,2020,0,0
Curacao,January,2021,0,0
Curacao,February,2021,0,0
Curacao,March,2021,0,0
Curacao,April,2021,0,0
Curacao,May,2021,0,0
Curacao,June,2021,0,0
Curacao,July,2021,0,0
Curacao,August,2021,0,0
Curacao,September,2021,0,0
Curacao,October,2021,0,0
Curacao,November,2021,0,0
Curacao,December,2021,0,0
Curacao,January,2022,0,0
Curacao,February,2022,0,0
Curacao,March,2022,0,0
Curacao,April,2022,0,0
Curacao,May,2022,0,0
Curacao,June,2022,0,0
Curacao,July,2022,0,0
Curacao,August,2022,0,0
Curacao,September,2022,0,0
Curacao,October,2022,0,0
Curacao,November,2022,0,0
Curacao,December,2022,0,0
Curacao,January,2023,0,0
Curacao,February,2023,0,0
Curacao,March,2023,0,0
Curacao,April,2023,0,0
Curacao,May,2023,0,0
Curacao,June,2023,0,0
Curacao,July,2023,0,0
Curacao,August,2023,0,0
Curacao,September,2023,0,0
Curacao,October,2023,0,0
Curacao,November,2023,0,0
Curacao,December,2023,0,0
Curacao,January,2024,0,0
Curacao,February,2024,0,0
Curacao,March,2024,0,0
Curacao,April,2024,0,0
Curacao,May,2024,0,0
Curacao,June,2024,0,0
Curacao,July,2024,0,0
Curacao,August,2024,0,0
Curacao,September,2024,0,0
Curacao,October,2024,0,0
Curacao,November,2024,0,0
Curacao,December,2024,0,0
Curacao,January,2025,0,0
Curacao,February,2025,0,0
Curacao,March,2025,0,0
Curacao,April,2025,0,0
Curacao,May,2025,0,0
Curacao,June,2025,0,0
Curacao,July,2025,0,0
Curacao,August,2025,0,0
Curacao,September,2025,0,0
Curacao,October,2025,0,0
Curacao,November,2025,0,0
Curacao,December,2025,0,0
Curacao,January,2026,0,0
Curacao,February,2026,0,0
Curacao,March,2026,0,0
Curacao,April,2026,0,0
