Country,Month,Year,Events,Fatalities
Denmark,January,2020,0,0
Denmark,February,2020,0,0
Denmark,March,2020,2,0
Denmark,April,2020,1,0
Denmark,May,2020,0,0
Denmark,June,2020,2,1
Denmark,July,2020,2,0
Denmark,August,2020,1,0
Denmark,September,2020,1,0
Denmark,October,2020,0,0
Denmark,November,2020,0,0
Denmark,December,2020,0,0
Denmark,January,2021,0,0
Denmark,February,2021,0,0
Denmark,March,2021,0,0
Denmark,April,2021,0,0
Denmark,May,2021,0,0
Denmark,June,2021,1,0
Denmark,July,2021,0,0
Denmark,August,2021,1,0
Denmark,September,2021,0,0
Denmark,October,2021,0,0
Denmark,November,2021,0,0
Denmark,December,2021,0,0
Denmark,January,2022,0,0
Denmark,February,2022,0,0
Denmark,March,2022,0,0
Denmark,April,2022,0,0
Denmark,May,2022,0,0
Denmark,June,2022,0,0
Denmark,July,2022,0,0
Denmark,August,2022,0,0
Denmark,September,2022,0,0
Denmark,October,2022,0,0
Denmark,November,2022,0,0
Denmark,December,2022,2,0
Denmark,January,2023,0,0
Denmark,February,2023,0,0
Denmark,March,2023,0,0
Denmark,April,2023,0,0
Denmark,May,2023,0,0
Denmark,June,2023,0,0
Denmark,July,2023,0,0
Denmark,August,2023,0,0
Denmark,September,2023,0,0
Denmark,October,2023,0,0
Denmark,November,2023,0,0
Denmark,December,2023,0,0
Denmark,January,2024,0,0
Denmark,February,2024,0,0
Denmark,March,2024,0,0
Denmark,April,2024,0,0
Denmark,May,2024,0,0
Denmark,June,2024,1,0
Denmark,July,2024,0,0
Denmark,August,2024,0,0
Denmark,September,2024,1,0
Denmark,October,2024,1,0
Denmark,November,2024,0,0
Denmark,December,2024,0,0
Denmark,January,2025,0,0
Denmark,February,2025,0,0
Denmark,March,2025,0,0
Denmark,April,2025,0,0
Denmark,May,2025,0,0
Denmark,June,2025,0,0
Denmark,July,2025,0,0
Denmark,August,2025,0,0
Denmark,September,2025,0,0
Denmark,October,2025,0,0
Denmark,November,2025,0,0
Denmark,December,2025,0,0
Denmark,January,2026,0,0
Denmark,February,2026,0,0
Denmark,March,2026,0,0
Denmark,April,2026,0,0
