Country,Month,Year,Events,Fatalities
El Salvador,January,2018,47,57
El Salvador,February,2018,40,49
El Salvador,March,2018,38,59
El Salvador,April,2018,21,28
El Salvador,May,2018,21,21
El Salvador,June,2018,30,40
El Salvador,July,2018,35,47
El Salvador,August,2018,32,34
El Salvador,September,2018,29,34
El Salvador,October,2018,50,55
El Salvador,November,2018,45,57
El Salvador,December,2018,29,40
El Salvador,January,2019,65,92
El Salvador,February,2019,27,32
El Salvador,March,2019,29,34
El Salvador,April,2019,43,47
El Salvador,May,2019,46,44
El Salvador,June,2019,54,62
El Salvador,July,2019,29,30
El Salvador,August,2019,25,27
El Salvador,September,2019,48,48
El Salvador,October,2019,28,32
El Salvador,November,2019,38,41
El Salvador,December,2019,17,18
El Salvador,January,2020,21,25
El Salvador,February,2020,16,17
El Salvador,March,2020,12,9
El Salvador,April,2020,70,68
El Salvador,May,2020,9,9
El Salvador,June,2020,14,13
El Salvador,July,2020,13,13
El Salvador,August,2020,16,20
El Salvador,September,2020,20,20
El Salvador,October,2020,22,28
El Salvador,November,2020,17,16
El Salvador,December,2020,14,14
El Salvador,January,2021,33,32
El Salvador,February,2021,31,31
El Salvador,March,2021,24,20
El Salvador,April,2021,28,22
El Salvador,May,2021,37,35
El Salvador,June,2021,20,18
El Salvador,July,2021,24,23
El Salvador,August,2021,15,12
El Salvador,September,2021,13,12
El Salvador,October,2021,21,18
El Salvador,November,2021,32,35
El Salvador,December,2021,16,14
El Salvador,January,2022,19,18
El Salvador,February,2022,16,16
El Salvador,March,2022,73,80
El Salvador,April,2022,6,7
El Salvador,May,2022,2,2
El Salvador,June,2022,7,8
El Salvador,July,2022,1,1
El Salvador,August,2022,1,2
El Salvador,September,2022,6,4
El Salvador,October,2022,7,6
El Salvador,November,2022,5,4
El Salvador,December,2022,4,4
El Salvador,January,2023,2,2
El Salvador,February,2023,2,1
El Salvador,March,2023,4,3
El Salvador,April,2023,3,2
El Salvador,May,2023,1,1
El Salvador,June,2023,6,5
El Salvador,July,2023,2,3
El Salvador,August,2023,3,1
El Salvador,September,2023,4,2
El Salvador,October,2023,3,1
El Salvador,November,2023,2,2
El Salvador,December,2023,1,1
El Salvador,January,2024,1,1
El Salvador,February,2024,2,1
El Salvador,March,2024,3,3
El Salvador,April,2024,3,3
El Salvador,May,2024,0,0
El Salvador,June,2024,0,0
El Salvador,July,2024,0,0
El Salvador,August,2024,1,2
El Salvador,September,2024,1,1
El Salvador,October,2024,1,1
El Salvador,November,2024,1,0
El Salvador,December,2024,0,0
El Salvador,January,2025,0,0
El Salvador,February,2025,0,0
El Salvador,March,2025,0,0
El Salvador,April,2025,0,0
El Salvador,May,2025,2,2
El Salvador,June,2025,1,1
El Salvador,July,2025,1,0
El Salvador,August,2025,1,0
El Salvador,September,2025,2,1
El Salvador,October,2025,2,2
El Salvador,November,2025,1,1
El Salvador,December,2025,1,1
El Salvador,January,2026,1,1
El Salvador,February,2026,2,1
El Salvador,March,2026,1,1
El Salvador,April,2026,0,0
