Country,Month,Year,Events,Fatalities
Estonia,January,2020,0,0
Estonia,February,2020,0,0
Estonia,March,2020,0,0
Estonia,April,2020,0,0
Estonia,May,2020,0,0
Estonia,June,2020,0,0
Estonia,July,2020,0,0
Estonia,August,2020,0,0
Estonia,September,2020,0,0
Estonia,October,2020,0,0
Estonia,November,2020,0,0
Estonia,December,2020,0,0
Estonia,January,2021,0,0
Estonia,February,2021,0,0
Estonia,March,2021,0,0
Estonia,April,2021,0,0
Estonia,May,2021,0,0
Estonia,June,2021,0,0
Estonia,July,2021,0,0
Estonia,August,2021,1,1
Estonia,September,2021,0,0
Estonia,October,2021,0,0
Estonia,November,2021,0,0
Estonia,December,2021,0,0
Estonia,January,2022,0,0
Estonia,February,2022,0,0
Estonia,March,2022,0,0
Estonia,April,2022,0,0
Estonia,May,2022,0,0
Estonia,June,2022,0,0
Estonia,July,2022,0,0
Estonia,August,2022,0,0
Estonia,September,2022,0,0
Estonia,October,2022,0,0
Estonia,November,2022,0,0
Estonia,December,2022,0,0
Estonia,January,2023,0,0
Estonia,February,2023,0,0
Estonia,March,2023,0,0
Estonia,April,2023,0,0
Estonia,May,2023,0,0
Estonia,June,2023,0,0
Estonia,July,2023,0,0
Estonia,August,2023,0,0
Estonia,September,2023,0,0
Estonia,October,2023,0,0
Estonia,November,2023,0,0
Estonia,December,2023,0,0
Estonia,January,2024,0,0
Estonia,February,2024,0,0
Estonia,March,2024,0,0
Estonia,April,2024,0,0
Estonia,May,2024,0,0
Estonia,June,2024,0,0
Estonia,July,2024,0,0
Estonia,August,2024,0,0
Estonia,September,2024,0,0
Estonia,October,2024,0,0
Estonia,November,2024,0,0
Estonia,December,2024,0,0
Estonia,January,2025,0,0
Estonia,February,2025,0,0
Estonia,March,2025,0,0
Estonia,April,2025,0,0
Estonia,May,2025,0,0
Estonia,June,2025,0,0
Estonia,July,2025,0,0
Estonia,August,2025,0,0
Estonia,September,2025,0,0
Estonia,October,2025,0,0
Estonia,November,2025,0,0
Estonia,December,2025,1,0
Estonia,January,2026,0,0
Estonia,February,2026,0,0
Estonia,March,2026,0,0
Estonia,April,2026,0,0
