Country,Month,Year,Events,Fatalities
France,January,2020,5,1
France,February,2020,0,0
France,March,2020,4,0
France,April,2020,4,2
France,May,2020,4,0
France,June,2020,6,0
France,July,2020,2,0
France,August,2020,1,0
France,September,2020,2,0
France,October,2020,4,6
France,November,2020,2,0
France,December,2020,0,0
France,January,2021,1,0
France,February,2021,3,0
France,March,2021,1,0
France,April,2021,5,1
France,May,2021,8,0
France,June,2021,3,0
France,July,2021,1,0
France,August,2021,2,0
France,September,2021,9,0
France,October,2021,5,0
France,November,2021,2,0
France,December,2021,8,0
France,January,2022,3,0
France,February,2022,4,0
France,March,2022,6,2
France,April,2022,10,2
France,May,2022,8,1
France,June,2022,6,1
France,July,2022,8,1
France,August,2022,5,3
France,September,2022,2,0
France,October,2022,3,1
France,November,2022,0,0
France,December,2022,6,3
France,January,2023,3,0
France,February,2023,0,0
France,March,2023,9,0
France,April,2023,3,0
France,May,2023,3,0
France,June,2023,8,2
France,July,2023,8,1
France,August,2023,0,0
France,September,2023,3,0
France,October,2023,1,1
France,November,2023,4,0
France,December,2023,3,1
France,January,2024,3,2
France,February,2024,2,0
France,March,2024,4,2
France,April,2024,4,0
France,May,2024,1,0
France,June,2024,12,1
France,July,2024,11,2
France,August,2024,2,1
France,September,2024,4,1
France,October,2024,3,0
France,November,2024,0,0
France,December,2024,0,0
France,January,2025,4,0
France,February,2025,6,1
France,March,2025,6,0
France,April,2025,6,2
France,May,2025,4,1
France,June,2025,2,0
France,July,2025,5,0
France,August,2025,7,4
France,September,2025,7,1
France,October,2025,1,0
France,November,2025,3,1
France,December,2025,2,0
France,January,2026,5,2
France,February,2026,5,1
France,March,2026,3,0
France,April,2026,0,0
