Country,Month,Year,Events,Fatalities
Gabon,January,1997,0,0
Gabon,February,1997,0,0
Gabon,March,1997,0,0
Gabon,April,1997,0,0
Gabon,May,1997,0,0
Gabon,June,1997,0,0
Gabon,July,1997,0,0
Gabon,August,1997,0,0
Gabon,September,1997,0,0
Gabon,October,1997,0,0
Gabon,November,1997,0,0
Gabon,December,1997,0,0
Gabon,January,1998,0,0
Gabon,February,1998,0,0
Gabon,March,1998,0,0
Gabon,April,1998,0,0
Gabon,May,1998,0,0
Gabon,June,1998,0,0
Gabon,July,1998,0,0
Gabon,August,1998,0,0
Gabon,September,1998,0,0
Gabon,October,1998,0,0
Gabon,November,1998,0,0
Gabon,December,1998,0,0
Gabon,January,1999,0,0
Gabon,February,1999,0,0
Gabon,March,1999,0,0
Gabon,April,1999,0,0
Gabon,May,1999,0,0
Gabon,June,1999,0,0
Gabon,July,1999,1,2
Gabon,August,1999,0,0
Gabon,September,1999,0,0
Gabon,October,1999,0,0
Gabon,November,1999,0,0
Gabon,December,1999,0,0
Gabon,January,2000,0,0
Gabon,February,2000,0,0
Gabon,March,2000,0,0
Gabon,April,2000,0,0
Gabon,May,2000,0,0
Gabon,June,2000,0,0
Gabon,July,2000,0,0
Gabon,August,2000,0,0
Gabon,September,2000,0,0
Gabon,October,2000,0,0
Gabon,November,2000,0,0
Gabon,December,2000,0,0
Gabon,January,2001,0,0
Gabon,February,2001,0,0
Gabon,March,2001,0,0
Gabon,April,2001,0,0
Gabon,May,2001,0,0
Gabon,June,2001,0,0
Gabon,July,2001,0,0
Gabon,August,2001,0,0
Gabon,September,2001,0,0
Gabon,October,2001,0,0
Gabon,November,2001,0,0
Gabon,December,2001,1,0
Gabon,January,2002,0,0
Gabon,February,2002,0,0
Gabon,March,2002,0,0
Gabon,April,2002,1,0
Gabon,May,2002,0,0
Gabon,June,2002,0,0
Gabon,July,2002,0,0
Gabon,August,2002,0,0
Gabon,September,2002,0,0
Gabon,October,2002,0,0
Gabon,November,2002,0,0
Gabon,December,2002,0,0
Gabon,January,2003,0,0
Gabon,February,2003,0,0
Gabon,March,2003,0,0
Gabon,April,2003,0,0
Gabon,May,2003,0,0
Gabon,June,2003,0,0
Gabon,July,2003,0,0
Gabon,August,2003,0,0
Gabon,September,2003,0,0
Gabon,October,2003,0,0
