Country,Month,Year,Events,Fatalities
Germany,January,2020,7,0
Germany,February,2020,9,11
Germany,March,2020,3,0
Germany,April,2020,4,1
Germany,May,2020,8,0
Germany,June,2020,7,0
Germany,July,2020,5,0
Germany,August,2020,11,0
Germany,September,2020,11,0
Germany,October,2020,5,1
Germany,November,2020,6,0
Germany,December,2020,0,0
Germany,January,2021,2,0
Germany,February,2021,2,0
Germany,March,2021,4,0
Germany,April,2021,3,0
Germany,May,2021,4,0
Germany,June,2021,5,3
Germany,July,2021,9,0
Germany,August,2021,4,0
Germany,September,2021,4,1
Germany,October,2021,3,0
Germany,November,2021,0,0
Germany,December,2021,1,5
Germany,January,2022,2,0
Germany,February,2022,2,0
Germany,March,2022,0,0
Germany,April,2022,0,0
Germany,May,2022,3,1
Germany,June,2022,2,0
Germany,July,2022,0,0
Germany,August,2022,2,0
Germany,September,2022,1,0
Germany,October,2022,5,0
Germany,November,2022,0,0
Germany,December,2022,0,0
Germany,January,2023,5,0
Germany,February,2023,1,0
Germany,March,2023,2,8
Germany,April,2023,1,0
Germany,May,2023,4,0
Germany,June,2023,2,0
Germany,July,2023,7,0
Germany,August,2023,9,0
Germany,September,2023,4,0
Germany,October,2023,3,0
Germany,November,2023,4,0
Germany,December,2023,2,0
Germany,January,2024,2,0
Germany,February,2024,7,0
Germany,March,2024,4,4
Germany,April,2024,3,0
Germany,May,2024,11,1
Germany,June,2024,5,0
Germany,July,2024,7,0
Germany,August,2024,2,3
Germany,September,2024,4,2
Germany,October,2024,2,0
Germany,November,2024,2,0
Germany,December,2024,7,6
Germany,January,2025,8,2
Germany,February,2025,5,2
Germany,March,2025,4,2
Germany,April,2025,4,0
Germany,May,2025,15,0
Germany,June,2025,3,1
Germany,July,2025,4,0
Germany,August,2025,9,0
Germany,September,2025,2,0
Germany,October,2025,2,0
Germany,November,2025,5,0
Germany,December,2025,3,0
Germany,January,2026,5,0
Germany,February,2026,5,0
Germany,March,2026,1,0
Germany,April,2026,0,0
