Country,Month,Year,Events,Fatalities
Indonesia,January,2015,13,6
Indonesia,February,2015,7,3
Indonesia,March,2015,9,5
Indonesia,April,2015,2,0
Indonesia,May,2015,9,1
Indonesia,June,2015,7,3
Indonesia,July,2015,5,4
Indonesia,August,2015,6,5
Indonesia,September,2015,9,7
Indonesia,October,2015,8,3
Indonesia,November,2015,6,2
Indonesia,December,2015,11,11
Indonesia,January,2016,8,3
Indonesia,February,2016,6,0
Indonesia,March,2016,6,8
Indonesia,April,2016,4,1
Indonesia,May,2016,12,1
Indonesia,June,2016,3,0
Indonesia,July,2016,4,0
Indonesia,August,2016,8,2
Indonesia,September,2016,4,0
Indonesia,October,2016,4,1
Indonesia,November,2016,3,1
Indonesia,December,2016,5,1
Indonesia,January,2017,5,3
Indonesia,February,2017,1,1
Indonesia,March,2017,2,1
Indonesia,April,2017,4,1
Indonesia,May,2017,12,8
Indonesia,June,2017,5,1
Indonesia,July,2017,2,0
Indonesia,August,2017,7,1
Indonesia,September,2017,4,0
Indonesia,October,2017,13,1
Indonesia,November,2017,10,2
Indonesia,December,2017,4,1
Indonesia,January,2018,4,1
Indonesia,February,2018,5,2
Indonesia,March,2018,5,0
Indonesia,April,2018,11,6
Indonesia,May,2018,5,32
Indonesia,June,2018,11,5
Indonesia,July,2018,8,15
Indonesia,August,2018,5,0
Indonesia,September,2018,4,1
Indonesia,October,2018,4,4
Indonesia,November,2018,5,2
Indonesia,December,2018,19,29
Indonesia,January,2019,5,0
Indonesia,February,2019,13,4
Indonesia,March,2019,11,9
Indonesia,April,2019,15,4
Indonesia,May,2019,7,0
Indonesia,June,2019,8,9
Indonesia,July,2019,10,6
Indonesia,August,2019,16,6
Indonesia,September,2019,17,30
Indonesia,October,2019,9,7
Indonesia,November,2019,11,4
Indonesia,December,2019,7,1
Indonesia,January,2020,10,1
Indonesia,February,2020,6,4
Indonesia,March,2020,4,2
Indonesia,April,2020,19,9
Indonesia,May,2020,16,9
Indonesia,June,2020,11,2
Indonesia,July,2020,17,3
Indonesia,August,2020,19,13
Indonesia,September,2020,12,8
Indonesia,October,2020,13,4
Indonesia,November,2020,8,9
Indonesia,December,2020,10,3
Indonesia,January,2021,5,2
Indonesia,February,2021,17,8
Indonesia,March,2021,7,4
Indonesia,April,2021,12,5
Indonesia,May,2021,15,9
Indonesia,June,2021,9,10
Indonesia,July,2021,16,1
Indonesia,August,2021,7,3
Indonesia,September,2021,8,1
Indonesia,October,2021,10,10
Indonesia,November,2021,6,1
Indonesia,December,2021,2,2
Indonesia,January,2022,8,1
Indonesia,February,2022,8,5
Indonesia,March,2022,9,12
Indonesia,April,2022,13,5
Indonesia,May,2022,12,8
Indonesia,June,2022,13,7
Indonesia,July,2022,10,18
Indonesia,August,2022,11,7
Indonesia,September,2022,18,8
Indonesia,October,2022,10,2
Indonesia,November,2022,11,5
Indonesia,December,2022,6,4
Indonesia,January,2023,13,6
Indonesia,February,2023,12,4
Indonesia,March,2023,13,11
Indonesia,April,2023,25,14
Indonesia,May,2023,16,4
Indonesia,June,2023,7,4
Indonesia,July,2023,17,9
Indonesia,August,2023,21,15
Indonesia,September,2023,16,6
Indonesia,October,2023,14,20
Indonesia,November,2023,12,18
Indonesia,December,2023,9,2
Indonesia,January,2024,13,7
Indonesia,February,2024,29,3
Indonesia,March,2024,18,2
Indonesia,April,2024,8,4
Indonesia,May,2024,18,10
Indonesia,June,2024,13,11
Indonesia,July,2024,9,5
Indonesia,August,2024,19,7
Indonesia,September,2024,24,13
Indonesia,October,2024,23,9
Indonesia,November,2024,30,12
Indonesia,December,2024,36,7
Indonesia,January,2025,19,5
Indonesia,February,2025,31,4
Indonesia,March,2025,30,7
Indonesia,April,2025,39,30
Indonesia,May,2025,26,3
Indonesia,June,2025,28,10
Indonesia,July,2025,34,12
Indonesia,August,2025,39,7
Indonesia,September,2025,20,16
Indonesia,October,2025,34,8
Indonesia,November,2025,26,7
Indonesia,December,2025,32,10
Indonesia,January,2026,44,4
Indonesia,February,2026,51,14
Indonesia,March,2026,84,17
Indonesia,April,2026,31,8
