Country,Month,Year,Events,Fatalities
Italy,January,2020,5,0
Italy,February,2020,10,0
Italy,March,2020,2,0
Italy,April,2020,8,0
Italy,May,2020,6,0
Italy,June,2020,3,0
Italy,July,2020,11,0
Italy,August,2020,7,0
Italy,September,2020,7,0
Italy,October,2020,2,0
Italy,November,2020,2,0
Italy,December,2020,1,0
Italy,January,2021,4,0
Italy,February,2021,4,0
Italy,March,2021,5,0
Italy,April,2021,5,0
Italy,May,2021,5,0
Italy,June,2021,13,1
Italy,July,2021,7,0
Italy,August,2021,4,0
Italy,September,2021,3,0
Italy,October,2021,7,0
Italy,November,2021,3,0
Italy,December,2021,2,0
Italy,January,2022,1,0
Italy,February,2022,4,0
Italy,March,2022,2,0
Italy,April,2022,3,0
Italy,May,2022,4,0
Italy,June,2022,6,0
Italy,July,2022,3,0
Italy,August,2022,2,0
Italy,September,2022,1,0
Italy,October,2022,2,0
Italy,November,2022,0,0
Italy,December,2022,2,0
Italy,January,2023,1,0
Italy,February,2023,2,0
Italy,March,2023,0,0
Italy,April,2023,1,0
Italy,May,2023,2,0
Italy,June,2023,4,0
Italy,July,2023,2,0
Italy,August,2023,1,0
Italy,September,2023,1,0
Italy,October,2023,2,0
Italy,November,2023,1,0
Italy,December,2023,0,0
Italy,January,2024,2,0
Italy,February,2024,1,0
Italy,March,2024,1,0
Italy,April,2024,1,0
Italy,May,2024,3,0
Italy,June,2024,4,0
Italy,July,2024,2,0
Italy,August,2024,3,0
Italy,September,2024,2,0
Italy,October,2024,2,0
Italy,November,2024,2,0
Italy,December,2024,1,0
Italy,January,2025,3,0
Italy,February,2025,3,0
Italy,March,2025,0,0
Italy,April,2025,4,0
Italy,May,2025,4,0
Italy,June,2025,1,0
Italy,July,2025,2,0
Italy,August,2025,0,0
Italy,September,2025,1,0
Italy,October,2025,3,0
Italy,November,2025,1,0
Italy,December,2025,0,0
Italy,January,2026,0,0
Italy,February,2026,0,0
Italy,March,2026,0,0
Italy,April,2026,0,0
