Country,Month,Year,Events,Fatalities
Jamaica,January,2018,18,22
Jamaica,February,2018,11,13
Jamaica,March,2018,16,18
Jamaica,April,2018,12,13
Jamaica,May,2018,8,9
Jamaica,June,2018,8,7
Jamaica,July,2018,7,12
Jamaica,August,2018,15,13
Jamaica,September,2018,9,10
Jamaica,October,2018,10,11
Jamaica,November,2018,9,14
Jamaica,December,2018,8,9
Jamaica,January,2019,28,35
Jamaica,February,2019,18,24
Jamaica,March,2019,13,17
Jamaica,April,2019,17,21
Jamaica,May,2019,16,14
Jamaica,June,2019,15,19
Jamaica,July,2019,18,22
Jamaica,August,2019,16,23
Jamaica,September,2019,14,16
Jamaica,October,2019,10,7
Jamaica,November,2019,20,24
Jamaica,December,2019,14,20
Jamaica,January,2020,17,17
Jamaica,February,2020,21,21
Jamaica,March,2020,8,12
Jamaica,April,2020,13,17
Jamaica,May,2020,10,14
Jamaica,June,2020,14,13
Jamaica,July,2020,15,15
Jamaica,August,2020,7,5
Jamaica,September,2020,20,24
Jamaica,October,2020,19,19
Jamaica,November,2020,7,9
Jamaica,December,2020,15,23
Jamaica,January,2021,24,28
Jamaica,February,2021,22,21
Jamaica,March,2021,17,20
Jamaica,April,2021,14,15
Jamaica,May,2021,13,12
Jamaica,June,2021,27,25
Jamaica,July,2021,21,29
Jamaica,August,2021,14,17
Jamaica,September,2021,20,30
Jamaica,October,2021,11,11
Jamaica,November,2021,11,14
Jamaica,December,2021,20,18
Jamaica,January,2022,17,15
Jamaica,February,2022,15,17
Jamaica,March,2022,24,32
Jamaica,April,2022,21,20
Jamaica,May,2022,31,30
Jamaica,June,2022,27,33
Jamaica,July,2022,20,26
Jamaica,August,2022,28,25
Jamaica,September,2022,31,39
Jamaica,October,2022,26,20
Jamaica,November,2022,22,20
Jamaica,December,2022,19,18
Jamaica,January,2023,26,23
Jamaica,February,2023,21,14
Jamaica,March,2023,34,28
Jamaica,April,2023,24,24
Jamaica,May,2023,27,30
Jamaica,June,2023,25,22
Jamaica,July,2023,34,38
Jamaica,August,2023,29,28
Jamaica,September,2023,31,40
Jamaica,October,2023,29,38
Jamaica,November,2023,16,17
Jamaica,December,2023,22,21
Jamaica,January,2024,24,22
Jamaica,February,2024,19,11
Jamaica,March,2024,27,29
Jamaica,April,2024,17,13
Jamaica,May,2024,30,26
Jamaica,June,2024,17,21
Jamaica,July,2024,15,11
Jamaica,August,2024,16,21
Jamaica,September,2024,15,16
Jamaica,October,2024,25,25
Jamaica,November,2024,15,21
Jamaica,December,2024,11,9
Jamaica,January,2025,17,17
Jamaica,February,2025,10,7
Jamaica,March,2025,16,14
Jamaica,April,2025,17,11
Jamaica,May,2025,11,7
Jamaica,June,2025,10,7
Jamaica,July,2025,8,8
Jamaica,August,2025,9,7
Jamaica,September,2025,20,20
Jamaica,October,2025,6,11
Jamaica,November,2025,11,9
Jamaica,December,2025,5,6
Jamaica,January,2026,5,3
Jamaica,February,2026,16,19
Jamaica,March,2026,9,8
Jamaica,April,2026,11,10
