Country,Month,Year,Events,Fatalities
Kenya,January,1997,3,6
Kenya,February,1997,3,9
Kenya,March,1997,3,147
Kenya,April,1997,3,1
Kenya,May,1997,0,0
Kenya,June,1997,1,0
Kenya,July,1997,5,22
Kenya,August,1997,13,49
Kenya,September,1997,9,62
Kenya,October,1997,3,7
Kenya,November,1997,10,1
Kenya,December,1997,3,5
Kenya,January,1998,12,7
Kenya,February,1998,2,0
Kenya,March,1998,2,2
Kenya,April,1998,7,1
Kenya,May,1998,3,1
Kenya,June,1998,1,0
Kenya,July,1998,2,1
Kenya,August,1998,1,213
Kenya,September,1998,2,2
Kenya,October,1998,24,281
Kenya,November,1998,0,0
Kenya,December,1998,4,0
Kenya,January,1999,8,1
Kenya,February,1999,2,0
Kenya,March,1999,9,101
Kenya,April,1999,4,1
Kenya,May,1999,5,0
Kenya,June,1999,4,8
Kenya,July,1999,2,0
Kenya,August,1999,2,0
Kenya,September,1999,1,0
Kenya,October,1999,6,0
Kenya,November,1999,7,13
Kenya,December,1999,5,15
Kenya,January,2000,6,18
Kenya,February,2000,4,87
Kenya,March,2000,6,20
Kenya,April,2000,6,28
Kenya,May,2000,7,17
Kenya,June,2000,7,17
Kenya,July,2000,4,60
Kenya,August,2000,14,14
Kenya,September,2000,4,18
Kenya,October,2000,9,15
Kenya,November,2000,8,12
Kenya,December,2000,6,6
Kenya,January,2001,6,26
Kenya,February,2001,8,11
Kenya,March,2001,6,124
Kenya,April,2001,3,8
Kenya,May,2001,5,9
Kenya,June,2001,0,0
Kenya,July,2001,4,9
Kenya,August,2001,4,9
Kenya,September,2001,1,8
Kenya,October,2001,2,4
Kenya,November,2001,3,9
Kenya,December,2001,4,52
Kenya,January,2002,8,9
Kenya,February,2002,3,7
Kenya,March,2002,8,93
Kenya,April,2002,5,6
Kenya,May,2002,7,3
Kenya,June,2002,3,10
Kenya,July,2002,8,22
Kenya,August,2002,4,4
Kenya,September,2002,19,83
Kenya,October,2002,12,16
Kenya,November,2002,12,43
Kenya,December,2002,10,18
Kenya,January,2003,9,15
Kenya,February,2003,4,1
Kenya,March,2003,4,5
Kenya,April,2003,4,6
Kenya,May,2003,3,7
Kenya,June,2003,4,6
Kenya,July,2003,7,18
Kenya,August,2003,3,3
Kenya,September,2003,1,1
Kenya,October,2003,3,3
Kenya,November,2003,7,11
Kenya,December,2003,4,0
Kenya,January,2004,3,7
Kenya,February,2004,3,14
Kenya,March,2004,3,1
Kenya,April,2004,3,12
Kenya,May,2004,1,3
Kenya,June,2004,7,3
Kenya,July,2004,6,72
Kenya,August,2004,4,12
Kenya,September,2004,7,1
Kenya,October,2004,2,1
Kenya,November,2004,3,0
Kenya,December,2004,6,0
Kenya,January,2005,18,27
Kenya,February,2005,4,1
Kenya,March,2005,5,36
Kenya,April,2005,11,37
Kenya,May,2005,7,10
Kenya,June,2005,4,9
Kenya,July,2005,13,70
Kenya,August,2005,1,1
Kenya,September,2005,0,0
Kenya,October,2005,3,4
Kenya,November,2005,4,5
Kenya,December,2005,2,4
Kenya,January,2006,3,2
Kenya,February,2006,3,6
Kenya,March,2006,4,5
Kenya,April,2006,8,10
Kenya,May,2006,7,10
Kenya,June,2006,4,12
Kenya,July,2006,7,8
Kenya,August,2006,7,14
Kenya,September,2006,8,13
Kenya,October,2006,2,2
Kenya,November,2006,4,8
Kenya,December,2006,5,30
Kenya,January,2007,3,7
Kenya,February,2007,2,2
Kenya,March,2007,5,7
Kenya,April,2007,11,39
Kenya,May,2007,11,42
Kenya,June,2007,14,43
Kenya,July,2007,9,33
Kenya,August,2007,14,26
Kenya,September,2007,3,0
Kenya,October,2007,3,1
Kenya,November,2007,20,15
Kenya,December,2007,49,99
Kenya,January,2008,91,302
Kenya,February,2008,5,16
Kenya,March,2008,24,109
Kenya,April,2008,7,10
Kenya,May,2008,6,10
Kenya,June,2008,3,0
Kenya,July,2008,2,7
Kenya,August,2008,5,129
Kenya,September,2008,6,24
Kenya,October,2008,2,0
Kenya,November,2008,8,7
Kenya,December,2008,5,3
Kenya,January,2009,5,12
Kenya,February,2009,2,5
Kenya,March,2009,2,3
Kenya,April,2009,2,0
Kenya,May,2009,1,2
Kenya,June,2009,3,5
Kenya,July,2009,5,3
Kenya,August,2009,7,31
Kenya,September,2009,5,0
Kenya,October,2009,5,2
Kenya,November,2009,3,1
Kenya,December,2009,7,0
Kenya,January,2010,7,12
Kenya,February,2010,4,0
Kenya,March,2010,2,3
Kenya,April,2010,2,2
Kenya,May,2010,3,2
Kenya,June,2010,8,12
Kenya,July,2010,4,5
Kenya,August,2010,3,9
Kenya,September,2010,5,4
Kenya,October,2010,5,0
Kenya,November,2010,3,16
Kenya,December,2010,14,20
Kenya,January,2011,10,8
Kenya,February,2011,13,6
Kenya,March,2011,5,1
Kenya,April,2011,2,4
Kenya,May,2011,10,65
Kenya,June,2011,8,25
Kenya,July,2011,0,0
Kenya,August,2011,1,1
Kenya,September,2011,1,1
Kenya,October,2011,5,6
Kenya,November,2011,6,17
Kenya,December,2011,3,3
Kenya,January,2012,7,9
Kenya,February,2012,8,9
Kenya,March,2012,10,23
Kenya,April,2012,6,3
Kenya,May,2012,10,11
Kenya,June,2012,16,7
Kenya,July,2012,16,25
Kenya,August,2012,15,85
Kenya,September,2012,18,58
Kenya,October,2012,19,24
Kenya,November,2012,13,19
Kenya,December,2012,21,74
Kenya,January,2013,37,38
Kenya,February,2013,27,32
Kenya,March,2013,35,24
Kenya,April,2013,31,42
Kenya,May,2013,25,40
Kenya,June,2013,19,51
