Country,Month,Year,Events,Fatalities
Kiribati,January,2021,0,0
Kiribati,February,2021,0,0
Kiribati,March,2021,0,0
Kiribati,April,2021,0,0
Kiribati,May,2021,0,0
Kiribati,June,2021,0,0
Kiribati,July,2021,0,0
Kiribati,August,2021,0,0
Kiribati,September,2021,0,0
Kiribati,October,2021,0,0
Kiribati,November,2021,0,0
Kiribati,December,2021,0,0
Kiribati,January,2022,0,0
Kiribati,February,2022,0,0
Kiribati,March,2022,0,0
Kiribati,April,2022,0,0
Kiribati,May,2022,0,0
Kiribati,June,2022,0,0
Kiribati,July,2022,0,0
Kiribati,August,2022,0,0
Kiribati,September,2022,0,0
Kiribati,October,2022,0,0
Kiribati,November,2022,0,0
Kiribati,December,2022,0,0
Kiribati,January,2023,0,0
Kiribati,February,2023,0,0
Kiribati,March,2023,0,0
Kiribati,April,2023,0,0
Kiribati,May,2023,0,0
Kiribati,June,2023,0,0
Kiribati,July,2023,0,0
Kiribati,August,2023,0,0
Kiribati,September,2023,0,0
Kiribati,October,2023,0,0
Kiribati,November,2023,0,0
Kiribati,December,2023,0,0
Kiribati,January,2024,0,0
Kiribati,February,2024,0,0
Kiribati,March,2024,0,0
Kiribati,April,2024,0,0
Kiribati,May,2024,0,0
Kiribati,June,2024,0,0
Kiribati,July,2024,0,0
Kiribati,August,2024,0,0
Kiribati,September,2024,0,0
Kiribati,October,2024,0,0
Kiribati,November,2024,0,0
Kiribati,December,2024,0,0
Kiribati,January,2025,0,0
Kiribati,February,2025,0,0
Kiribati,March,2025,0,0
Kiribati,April,2025,0,0
Kiribati,May,2025,0,0
Kiribati,June,2025,0,0
Kiribati,July,2025,0,0
Kiribati,August,2025,0,0
Kiribati,September,2025,0,0
Kiribati,October,2025,0,0
Kiribati,November,2025,0,0
Kiribati,December,2025,0,0
Kiribati,January,2026,0,0
Kiribati,February,2026,0,0
Kiribati,March,2026,0,0
Kiribati,April,2026,0,0
