Country,Month,Year,Events,Fatalities
Lithuania,January,2020,0,0
Lithuania,February,2020,0,0
Lithuania,March,2020,0,0
Lithuania,April,2020,0,0
Lithuania,May,2020,0,0
Lithuania,June,2020,0,0
Lithuania,July,2020,0,0
Lithuania,August,2020,0,0
Lithuania,September,2020,0,0
Lithuania,October,2020,0,0
Lithuania,November,2020,0,0
Lithuania,December,2020,0,0
Lithuania,January,2021,0,0
Lithuania,February,2021,0,0
Lithuania,March,2021,0,0
Lithuania,April,2021,0,0
Lithuania,May,2021,0,0
Lithuania,June,2021,0,0
Lithuania,July,2021,0,0
Lithuania,August,2021,0,0
Lithuania,September,2021,0,0
Lithuania,October,2021,0,0
Lithuania,November,2021,0,0
Lithuania,December,2021,0,0
Lithuania,January,2022,0,0
Lithuania,February,2022,0,0
Lithuania,March,2022,0,0
Lithuania,April,2022,0,0
Lithuania,May,2022,0,0
Lithuania,June,2022,0,0
Lithuania,July,2022,0,0
Lithuania,August,2022,0,0
Lithuania,September,2022,0,0
Lithuania,October,2022,0,0
Lithuania,November,2022,0,0
Lithuania,December,2022,0,0
Lithuania,January,2023,0,0
Lithuania,February,2023,0,0
Lithuania,March,2023,0,0
Lithuania,April,2023,0,0
Lithuania,May,2023,1,0
Lithuania,June,2023,0,0
Lithuania,July,2023,0,0
Lithuania,August,2023,0,0
Lithuania,September,2023,0,0
Lithuania,October,2023,0,0
Lithuania,November,2023,0,0
Lithuania,December,2023,0,0
Lithuania,January,2024,0,0
Lithuania,February,2024,0,0
Lithuania,March,2024,1,0
Lithuania,April,2024,0,0
Lithuania,May,2024,0,0
Lithuania,June,2024,1,1
Lithuania,July,2024,0,0
Lithuania,August,2024,0,0
Lithuania,September,2024,0,0
Lithuania,October,2024,0,0
Lithuania,November,2024,0,0
Lithuania,December,2024,0,0
Lithuania,January,2025,0,0
Lithuania,February,2025,0,0
Lithuania,March,2025,0,0
Lithuania,April,2025,1,0
Lithuania,May,2025,0,0
Lithuania,June,2025,0,0
Lithuania,July,2025,0,0
Lithuania,August,2025,0,0
Lithuania,September,2025,0,0
Lithuania,October,2025,0,0
Lithuania,November,2025,0,0
Lithuania,December,2025,0,0
Lithuania,January,2026,0,0
Lithuania,February,2026,0,0
Lithuania,March,2026,0,0
Lithuania,April,2026,0,0
