Country,Month,Year,Events,Fatalities
Malaysia,January,2018,1,0
Malaysia,February,2018,1,0
Malaysia,March,2018,0,0
Malaysia,April,2018,1,1
Malaysia,May,2018,1,0
Malaysia,June,2018,0,0
Malaysia,July,2018,1,1
Malaysia,August,2018,2,1
Malaysia,September,2018,3,1
Malaysia,October,2018,1,0
Malaysia,November,2018,1,1
Malaysia,December,2018,5,1
Malaysia,January,2019,4,3
Malaysia,February,2019,3,0
Malaysia,March,2019,0,0
Malaysia,April,2019,0,0
Malaysia,May,2019,2,1
Malaysia,June,2019,2,0
Malaysia,July,2019,3,1
Malaysia,August,2019,1,0
Malaysia,September,2019,3,0
Malaysia,October,2019,1,1
Malaysia,November,2019,3,2
Malaysia,December,2019,1,3
Malaysia,January,2020,1,0
Malaysia,February,2020,1,0
Malaysia,March,2020,1,0
Malaysia,April,2020,1,1
Malaysia,May,2020,0,0
Malaysia,June,2020,0,0
Malaysia,July,2020,0,0
Malaysia,August,2020,0,0
Malaysia,September,2020,0,0
Malaysia,October,2020,0,0
Malaysia,November,2020,1,0
Malaysia,December,2020,0,0
Malaysia,January,2021,2,1
Malaysia,February,2021,0,0
Malaysia,March,2021,1,0
Malaysia,April,2021,1,1
Malaysia,May,2021,2,1
Malaysia,June,2021,2,1
Malaysia,July,2021,0,0
Malaysia,August,2021,0,0
Malaysia,September,2021,0,0
Malaysia,October,2021,1,1
Malaysia,November,2021,1,0
Malaysia,December,2021,2,1
Malaysia,January,2022,2,2
Malaysia,February,2022,1,1
Malaysia,March,2022,1,1
Malaysia,April,2022,0,0
Malaysia,May,2022,0,0
Malaysia,June,2022,0,0
Malaysia,July,2022,0,0
Malaysia,August,2022,0,0
Malaysia,September,2022,0,0
Malaysia,October,2022,1,0
Malaysia,November,2022,0,0
Malaysia,December,2022,0,0
Malaysia,January,2023,0,0
Malaysia,February,2023,0,0
Malaysia,March,2023,0,0
Malaysia,April,2023,0,0
Malaysia,May,2023,0,0
Malaysia,June,2023,0,0
Malaysia,July,2023,1,0
Malaysia,August,2023,0,0
Malaysia,September,2023,0,0
Malaysia,October,2023,0,0
Malaysia,November,2023,0,0
Malaysia,December,2023,0,0
Malaysia,January,2024,1,0
Malaysia,February,2024,0,0
Malaysia,March,2024,3,0
Malaysia,April,2024,0,0
Malaysia,May,2024,0,0
Malaysia,June,2024,0,0
Malaysia,July,2024,0,0
Malaysia,August,2024,0,0
Malaysia,September,2024,0,0
Malaysia,October,2024,0,0
Malaysia,November,2024,0,0
Malaysia,December,2024,0,0
Malaysia,January,2025,1,1
Malaysia,February,2025,1,0
Malaysia,March,2025,1,0
Malaysia,April,2025,0,0
Malaysia,May,2025,0,0
Malaysia,June,2025,0,0
Malaysia,July,2025,0,0
Malaysia,August,2025,1,0
Malaysia,September,2025,0,0
Malaysia,October,2025,0,0
Malaysia,November,2025,3,3
Malaysia,December,2025,0,0
Malaysia,January,2026,0,0
Malaysia,February,2026,0,0
Malaysia,March,2026,1,0
Malaysia,April,2026,0,0
