Country,Month,Year,Events,Fatalities
Mauritius,January,2020,0,0
Mauritius,February,2020,1,0
Mauritius,March,2020,4,0
Mauritius,April,2020,1,0
Mauritius,May,2020,1,1
Mauritius,June,2020,1,0
Mauritius,July,2020,0,0
Mauritius,August,2020,0,0
Mauritius,September,2020,0,0
Mauritius,October,2020,1,1
Mauritius,November,2020,0,0
Mauritius,December,2020,1,0
Mauritius,January,2021,2,1
Mauritius,February,2021,0,0
Mauritius,March,2021,0,0
Mauritius,April,2021,0,0
Mauritius,May,2021,0,0
Mauritius,June,2021,2,0
Mauritius,July,2021,0,0
Mauritius,August,2021,2,0
Mauritius,September,2021,1,0
Mauritius,October,2021,1,1
Mauritius,November,2021,1,0
Mauritius,December,2021,4,0
Mauritius,January,2022,1,0
Mauritius,February,2022,2,2
Mauritius,March,2022,3,1
Mauritius,April,2022,3,0
Mauritius,May,2022,4,0
Mauritius,June,2022,4,0
Mauritius,July,2022,0,0
Mauritius,August,2022,5,0
Mauritius,September,2022,2,0
Mauritius,October,2022,1,0
Mauritius,November,2022,0,0
Mauritius,December,2022,1,0
Mauritius,January,2023,1,1
Mauritius,February,2023,1,0
Mauritius,March,2023,0,0
Mauritius,April,2023,1,0
Mauritius,May,2023,3,1
Mauritius,June,2023,1,0
Mauritius,July,2023,1,0
Mauritius,August,2023,2,0
Mauritius,September,2023,0,0
Mauritius,October,2023,1,0
Mauritius,November,2023,0,0
Mauritius,December,2023,0,0
Mauritius,January,2024,1,1
Mauritius,February,2024,1,0
Mauritius,March,2024,0,0
Mauritius,April,2024,4,0
Mauritius,May,2024,2,0
Mauritius,June,2024,0,0
Mauritius,July,2024,2,0
Mauritius,August,2024,0,0
Mauritius,September,2024,1,0
Mauritius,October,2024,4,0
Mauritius,November,2024,3,0
Mauritius,December,2024,3,1
Mauritius,January,2025,0,0
Mauritius,February,2025,0,0
Mauritius,March,2025,3,0
Mauritius,April,2025,3,0
Mauritius,May,2025,2,0
Mauritius,June,2025,1,0
Mauritius,July,2025,1,0
Mauritius,August,2025,0,0
Mauritius,September,2025,0,0
Mauritius,October,2025,0,0
Mauritius,November,2025,2,0
Mauritius,December,2025,1,1
Mauritius,January,2026,3,0
Mauritius,February,2026,1,0
Mauritius,March,2026,0,0
Mauritius,April,2026,0,0
