Country,Month,Year,Events,Fatalities
Mayotte,January,2020,0,0
Mayotte,February,2020,0,0
Mayotte,March,2020,0,0
Mayotte,April,2020,0,0
Mayotte,May,2020,0,0
Mayotte,June,2020,0,0
Mayotte,July,2020,0,0
Mayotte,August,2020,0,0
Mayotte,September,2020,0,0
Mayotte,October,2020,0,0
Mayotte,November,2020,0,0
Mayotte,December,2020,0,0
Mayotte,January,2021,0,0
Mayotte,February,2021,1,0
Mayotte,March,2021,0,0
Mayotte,April,2021,0,0
Mayotte,May,2021,0,0
Mayotte,June,2021,2,0
Mayotte,July,2021,0,0
Mayotte,August,2021,0,0
Mayotte,September,2021,0,0
Mayotte,October,2021,1,1
Mayotte,November,2021,0,0
Mayotte,December,2021,1,0
Mayotte,January,2022,0,0
Mayotte,February,2022,3,0
Mayotte,March,2022,2,0
Mayotte,April,2022,0,0
Mayotte,May,2022,0,0
Mayotte,June,2022,0,0
Mayotte,July,2022,1,1
Mayotte,August,2022,0,0
Mayotte,September,2022,0,0
Mayotte,October,2022,0,0
Mayotte,November,2022,0,0
Mayotte,December,2022,0,0
Mayotte,January,2023,1,0
Mayotte,February,2023,1,0
Mayotte,March,2023,0,0
Mayotte,April,2023,0,0
Mayotte,May,2023,2,0
Mayotte,June,2023,0,0
Mayotte,July,2023,0,0
Mayotte,August,2023,0,0
Mayotte,September,2023,0,0
Mayotte,October,2023,0,0
Mayotte,November,2023,0,0
Mayotte,December,2023,0,0
Mayotte,January,2024,1,0
Mayotte,February,2024,0,0
Mayotte,March,2024,0,0
Mayotte,April,2024,4,0
Mayotte,May,2024,1,0
Mayotte,June,2024,1,0
Mayotte,July,2024,2,0
Mayotte,August,2024,0,0
Mayotte,September,2024,0,0
Mayotte,October,2024,0,0
Mayotte,November,2024,1,0
Mayotte,December,2024,1,0
Mayotte,January,2025,0,0
Mayotte,February,2025,0,0
Mayotte,March,2025,0,0
Mayotte,April,2025,1,0
Mayotte,May,2025,0,0
Mayotte,June,2025,0,0
Mayotte,July,2025,2,0
Mayotte,August,2025,0,0
Mayotte,September,2025,0,0
Mayotte,October,2025,0,0
Mayotte,November,2025,0,0
Mayotte,December,2025,0,0
Mayotte,January,2026,0,0
Mayotte,February,2026,0,0
Mayotte,March,2026,2,1
Mayotte,April,2026,0,0
