Country,Month,Year,Events,Fatalities
Mexico,January,2018,492,628
Mexico,February,2018,470,615
Mexico,March,2018,480,610
Mexico,April,2018,433,526
Mexico,May,2018,535,598
Mexico,June,2018,495,547
Mexico,July,2018,542,650
Mexico,August,2018,579,722
Mexico,September,2018,549,607
Mexico,October,2018,665,722
Mexico,November,2018,532,596
Mexico,December,2018,563,671
Mexico,January,2019,599,801
Mexico,February,2019,651,801
Mexico,March,2019,426,518
Mexico,April,2019,503,607
Mexico,May,2019,432,532
Mexico,June,2019,503,606
Mexico,July,2019,505,626
Mexico,August,2019,512,636
Mexico,September,2019,481,542
Mexico,October,2019,537,596
Mexico,November,2019,499,623
Mexico,December,2019,433,484
Mexico,January,2020,501,603
Mexico,February,2020,492,574
Mexico,March,2020,483,568
Mexico,April,2020,499,539
Mexico,May,2020,563,657
Mexico,June,2020,519,674
Mexico,July,2020,508,590
Mexico,August,2020,488,544
Mexico,September,2020,441,527
Mexico,October,2020,403,530
Mexico,November,2020,495,536
Mexico,December,2020,433,519
Mexico,January,2021,530,620
Mexico,February,2021,475,564
Mexico,March,2021,544,562
Mexico,April,2021,528,558
Mexico,May,2021,557,551
Mexico,June,2021,590,611
Mexico,July,2021,500,584
Mexico,August,2021,448,564
Mexico,September,2021,430,531
Mexico,October,2021,482,535
Mexico,November,2021,460,567
Mexico,December,2021,464,517
Mexico,January,2022,490,568
Mexico,February,2022,442,511
Mexico,March,2022,495,559
Mexico,April,2022,460,503
Mexico,May,2022,558,604
Mexico,June,2022,538,629
Mexico,July,2022,477,530
Mexico,August,2022,530,547
Mexico,September,2022,450,546
Mexico,October,2022,547,615
Mexico,November,2022,467,516
Mexico,December,2022,458,518
Mexico,January,2023,487,511
Mexico,February,2023,393,453
Mexico,March,2023,432,482
Mexico,April,2023,463,512
Mexico,May,2023,484,526
Mexico,June,2023,408,421
Mexico,July,2023,482,564
Mexico,August,2023,513,588
Mexico,September,2023,435,502
Mexico,October,2023,420,452
Mexico,November,2023,365,372
Mexico,December,2023,355,395
Mexico,January,2024,389,456
Mexico,February,2024,424,513
Mexico,March,2024,450,493
Mexico,April,2024,521,564
Mexico,May,2024,528,569
Mexico,June,2024,580,622
Mexico,July,2024,558,617
Mexico,August,2024,511,533
Mexico,September,2024,492,580
Mexico,October,2024,609,677
Mexico,November,2024,531,633
Mexico,December,2024,455,489
Mexico,January,2025,545,543
Mexico,February,2025,530,562
Mexico,March,2025,511,575
Mexico,April,2025,564,584
Mexico,May,2025,502,524
Mexico,June,2025,600,660
Mexico,July,2025,561,603
Mexico,August,2025,533,518
Mexico,September,2025,491,521
Mexico,October,2025,507,512
Mexico,November,2025,475,465
Mexico,December,2025,443,483
Mexico,January,2026,491,508
Mexico,February,2026,416,388
Mexico,March,2026,436,427
Mexico,April,2026,266,277
