Country,Month,Year,Events,Fatalities
Monaco,January,2020,0,0
Monaco,February,2020,0,0
Monaco,March,2020,0,0
Monaco,April,2020,0,0
Monaco,May,2020,0,0
Monaco,June,2020,0,0
Monaco,July,2020,0,0
Monaco,August,2020,0,0
Monaco,September,2020,0,0
Monaco,October,2020,0,0
Monaco,November,2020,0,0
Monaco,December,2020,0,0
Monaco,January,2021,0,0
Monaco,February,2021,0,0
Monaco,March,2021,0,0
Monaco,April,2021,0,0
Monaco,May,2021,0,0
Monaco,June,2021,0,0
Monaco,July,2021,0,0
Monaco,August,2021,0,0
Monaco,September,2021,0,0
Monaco,October,2021,0,0
Monaco,November,2021,0,0
Monaco,December,2021,0,0
Monaco,January,2022,0,0
Monaco,February,2022,0,0
Monaco,March,2022,0,0
Monaco,April,2022,0,0
Monaco,May,2022,0,0
Monaco,June,2022,0,0
Monaco,July,2022,0,0
Monaco,August,2022,0,0
Monaco,September,2022,0,0
Monaco,October,2022,0,0
Monaco,November,2022,0,0
Monaco,December,2022,0,0
Monaco,January,2023,0,0
Monaco,February,2023,0,0
Monaco,March,2023,0,0
Monaco,April,2023,0,0
Monaco,May,2023,0,0
Monaco,June,2023,0,0
Monaco,July,2023,0,0
Monaco,August,2023,0,0
Monaco,September,2023,0,0
Monaco,October,2023,0,0
Monaco,November,2023,0,0
Monaco,December,2023,0,0
Monaco,January,2024,0,0
Monaco,February,2024,0,0
Monaco,March,2024,0,0
Monaco,April,2024,0,0
Monaco,May,2024,0,0
Monaco,June,2024,0,0
Monaco,July,2024,0,0
Monaco,August,2024,0,0
Monaco,September,2024,0,0
Monaco,October,2024,0,0
Monaco,November,2024,0,0
Monaco,December,2024,0,0
Monaco,January,2025,0,0
Monaco,February,2025,0,0
Monaco,March,2025,0,0
Monaco,April,2025,0,0
Monaco,May,2025,0,0
Monaco,June,2025,0,0
Monaco,July,2025,0,0
Monaco,August,2025,0,0
Monaco,September,2025,0,0
Monaco,October,2025,0,0
Monaco,November,2025,0,0
Monaco,December,2025,0,0
Monaco,January,2026,0,0
Monaco,February,2026,0,0
Monaco,March,2026,0,0
Monaco,April,2026,0,0
