Country,Month,Year,Events,Fatalities
Montserrat,January,2018,0,0
Montserrat,February,2018,0,0
Montserrat,March,2018,0,0
Montserrat,April,2018,0,0
Montserrat,May,2018,0,0
Montserrat,June,2018,0,0
Montserrat,July,2018,0,0
Montserrat,August,2018,0,0
Montserrat,September,2018,0,0
Montserrat,October,2018,0,0
Montserrat,November,2018,0,0
Montserrat,December,2018,0,0
Montserrat,January,2019,0,0
Montserrat,February,2019,0,0
Montserrat,March,2019,0,0
Montserrat,April,2019,0,0
Montserrat,May,2019,0,0
Montserrat,June,2019,0,0
Montserrat,July,2019,0,0
Montserrat,August,2019,0,0
Montserrat,September,2019,0,0
Montserrat,October,2019,0,0
Montserrat,November,2019,0,0
Montserrat,December,2019,0,0
Montserrat,January,2020,0,0
Montserrat,February,2020,0,0
Montserrat,March,2020,0,0
Montserrat,April,2020,0,0
Montserrat,May,2020,0,0
Montserrat,June,2020,0,0
Montserrat,July,2020,0,0
Montserrat,August,2020,0,0
Montserrat,September,2020,0,0
Montserrat,October,2020,0,0
Montserrat,November,2020,0,0
Montserrat,December,2020,0,0
Montserrat,January,2021,0,0
Montserrat,February,2021,0,0
Montserrat,March,2021,0,0
Montserrat,April,2021,0,0
Montserrat,May,2021,0,0
Montserrat,June,2021,0,0
Montserrat,July,2021,0,0
Montserrat,August,2021,0,0
Montserrat,September,2021,0,0
Montserrat,October,2021,0,0
Montserrat,November,2021,0,0
Montserrat,December,2021,0,0
Montserrat,January,2022,0,0
Montserrat,February,2022,0,0
Montserrat,March,2022,0,0
Montserrat,April,2022,0,0
Montserrat,May,2022,0,0
Montserrat,June,2022,0,0
Montserrat,July,2022,0,0
Montserrat,August,2022,0,0
Montserrat,September,2022,0,0
Montserrat,October,2022,0,0
Montserrat,November,2022,0,0
Montserrat,December,2022,0,0
Montserrat,January,2023,0,0
Montserrat,February,2023,0,0
Montserrat,March,2023,0,0
Montserrat,April,2023,0,0
Montserrat,May,2023,0,0
Montserrat,June,2023,0,0
Montserrat,July,2023,0,0
Montserrat,August,2023,0,0
Montserrat,September,2023,0,0
Montserrat,October,2023,0,0
Montserrat,November,2023,0,0
Montserrat,December,2023,0,0
Montserrat,January,2024,0,0
Montserrat,February,2024,0,0
Montserrat,March,2024,0,0
Montserrat,April,2024,0,0
Montserrat,May,2024,0,0
Montserrat,June,2024,0,0
Montserrat,July,2024,0,0
Montserrat,August,2024,0,0
Montserrat,September,2024,0,0
Montserrat,October,2024,0,0
Montserrat,November,2024,0,0
Montserrat,December,2024,0,0
Montserrat,January,2025,0,0
Montserrat,February,2025,0,0
Montserrat,March,2025,0,0
Montserrat,April,2025,0,0
Montserrat,May,2025,0,0
Montserrat,June,2025,0,0
Montserrat,July,2025,0,0
Montserrat,August,2025,0,0
Montserrat,September,2025,0,0
Montserrat,October,2025,0,0
Montserrat,November,2025,0,0
Montserrat,December,2025,0,0
Montserrat,January,2026,0,0
Montserrat,February,2026,0,0
Montserrat,March,2026,0,0
Montserrat,April,2026,0,0
