Country,Month,Year,Events,Fatalities
Nauru,January,2021,0,0
Nauru,February,2021,0,0
Nauru,March,2021,0,0
Nauru,April,2021,0,0
Nauru,May,2021,0,0
Nauru,June,2021,0,0
Nauru,July,2021,0,0
Nauru,August,2021,0,0
Nauru,September,2021,0,0
Nauru,October,2021,0,0
Nauru,November,2021,0,0
Nauru,December,2021,0,0
Nauru,January,2022,0,0
Nauru,February,2022,0,0
Nauru,March,2022,0,0
Nauru,April,2022,0,0
Nauru,May,2022,0,0
Nauru,June,2022,0,0
Nauru,July,2022,0,0
Nauru,August,2022,0,0
Nauru,September,2022,0,0
Nauru,October,2022,0,0
Nauru,November,2022,0,0
Nauru,December,2022,0,0
Nauru,January,2023,0,0
Nauru,February,2023,0,0
Nauru,March,2023,0,0
Nauru,April,2023,0,0
Nauru,May,2023,0,0
Nauru,June,2023,0,0
Nauru,July,2023,0,0
Nauru,August,2023,0,0
Nauru,September,2023,0,0
Nauru,October,2023,0,0
Nauru,November,2023,0,0
Nauru,December,2023,0,0
Nauru,January,2024,0,0
Nauru,February,2024,0,0
Nauru,March,2024,0,0
Nauru,April,2024,0,0
Nauru,May,2024,0,0
Nauru,June,2024,0,0
Nauru,July,2024,0,0
Nauru,August,2024,0,0
Nauru,September,2024,0,0
Nauru,October,2024,0,0
Nauru,November,2024,0,0
Nauru,December,2024,0,0
Nauru,January,2025,0,0
Nauru,February,2025,0,0
Nauru,March,2025,0,0
Nauru,April,2025,0,0
Nauru,May,2025,0,0
Nauru,June,2025,0,0
Nauru,July,2025,0,0
Nauru,August,2025,0,0
Nauru,September,2025,0,0
Nauru,October,2025,0,0
Nauru,November,2025,0,0
Nauru,December,2025,0,0
Nauru,January,2026,0,0
Nauru,February,2026,0,0
Nauru,March,2026,0,0
Nauru,April,2026,0,0
