Country,Month,Year,Events,Fatalities
New Zealand,January,2021,0,0
New Zealand,February,2021,1,0
New Zealand,March,2021,0,0
New Zealand,April,2021,0,0
New Zealand,May,2021,0,0
New Zealand,June,2021,0,0
New Zealand,July,2021,0,0
New Zealand,August,2021,0,0
New Zealand,September,2021,1,1
New Zealand,October,2021,0,0
New Zealand,November,2021,0,0
New Zealand,December,2021,0,0
New Zealand,January,2022,0,0
New Zealand,February,2022,0,0
New Zealand,March,2022,0,0
New Zealand,April,2022,0,0
New Zealand,May,2022,0,0
New Zealand,June,2022,0,0
New Zealand,July,2022,0,0
New Zealand,August,2022,0,0
New Zealand,September,2022,0,0
New Zealand,October,2022,0,0
New Zealand,November,2022,0,0
New Zealand,December,2022,0,0
New Zealand,January,2023,0,0
New Zealand,February,2023,0,0
New Zealand,March,2023,0,0
New Zealand,April,2023,0,0
New Zealand,May,2023,0,0
New Zealand,June,2023,0,0
New Zealand,July,2023,0,0
New Zealand,August,2023,0,0
New Zealand,September,2023,0,0
New Zealand,October,2023,0,0
New Zealand,November,2023,0,0
New Zealand,December,2023,0,0
New Zealand,January,2024,0,0
New Zealand,February,2024,0,0
New Zealand,March,2024,0,0
New Zealand,April,2024,0,0
New Zealand,May,2024,0,0
New Zealand,June,2024,0,0
New Zealand,July,2024,0,0
New Zealand,August,2024,0,0
New Zealand,September,2024,0,0
New Zealand,October,2024,0,0
New Zealand,November,2024,0,0
New Zealand,December,2024,0,0
New Zealand,January,2025,0,0
New Zealand,February,2025,0,0
New Zealand,March,2025,0,0
New Zealand,April,2025,0,0
New Zealand,May,2025,0,0
New Zealand,June,2025,0,0
New Zealand,July,2025,0,0
New Zealand,August,2025,0,0
New Zealand,September,2025,0,0
New Zealand,October,2025,0,0
New Zealand,November,2025,0,0
New Zealand,December,2025,0,0
New Zealand,January,2026,0,0
New Zealand,February,2026,0,0
New Zealand,March,2026,0,0
New Zealand,April,2026,0,0
