Country,Month,Year,Events,Fatalities
Nicaragua,January,2018,0,0
Nicaragua,February,2018,0,0
Nicaragua,March,2018,0,0
Nicaragua,April,2018,30,55
Nicaragua,May,2018,50,56
Nicaragua,June,2018,60,77
Nicaragua,July,2018,37,30
Nicaragua,August,2018,6,1
Nicaragua,September,2018,6,2
Nicaragua,October,2018,2,1
Nicaragua,November,2018,2,0
Nicaragua,December,2018,3,0
Nicaragua,January,2019,4,2
Nicaragua,February,2019,7,1
Nicaragua,March,2019,2,0
Nicaragua,April,2019,1,0
Nicaragua,May,2019,4,2
Nicaragua,June,2019,13,2
Nicaragua,July,2019,10,3
Nicaragua,August,2019,8,1
Nicaragua,September,2019,10,3
Nicaragua,October,2019,2,8
Nicaragua,November,2019,6,6
Nicaragua,December,2019,5,0
Nicaragua,January,2020,5,10
Nicaragua,February,2020,7,1
Nicaragua,March,2020,9,7
Nicaragua,April,2020,6,2
Nicaragua,May,2020,1,0
Nicaragua,June,2020,2,0
Nicaragua,July,2020,7,2
Nicaragua,August,2020,2,1
Nicaragua,September,2020,4,0
Nicaragua,October,2020,3,3
Nicaragua,November,2020,3,1
Nicaragua,December,2020,9,1
Nicaragua,January,2021,5,1
Nicaragua,February,2021,2,0
Nicaragua,March,2021,3,2
Nicaragua,April,2021,9,0
Nicaragua,May,2021,8,1
Nicaragua,June,2021,4,1
Nicaragua,July,2021,3,0
Nicaragua,August,2021,2,16
Nicaragua,September,2021,0,0
Nicaragua,October,2021,3,5
Nicaragua,November,2021,2,0
Nicaragua,December,2021,1,3
Nicaragua,January,2022,0,0
Nicaragua,February,2022,1,0
Nicaragua,March,2022,2,1
Nicaragua,April,2022,2,0
Nicaragua,May,2022,1,0
Nicaragua,June,2022,2,0
Nicaragua,July,2022,0,0
Nicaragua,August,2022,2,1
Nicaragua,September,2022,1,0
Nicaragua,October,2022,0,0
Nicaragua,November,2022,1,1
Nicaragua,December,2022,0,0
Nicaragua,January,2023,1,0
Nicaragua,February,2023,0,0
Nicaragua,March,2023,3,5
Nicaragua,April,2023,2,2
Nicaragua,May,2023,0,0
Nicaragua,June,2023,0,0
Nicaragua,July,2023,3,3
Nicaragua,August,2023,0,0
Nicaragua,September,2023,1,1
Nicaragua,October,2023,0,0
Nicaragua,November,2023,0,0
Nicaragua,December,2023,0,0
Nicaragua,January,2024,1,1
Nicaragua,February,2024,0,0
Nicaragua,March,2024,1,0
Nicaragua,April,2024,2,1
Nicaragua,May,2024,1,1
Nicaragua,June,2024,0,0
Nicaragua,July,2024,1,1
Nicaragua,August,2024,0,0
Nicaragua,September,2024,0,0
Nicaragua,October,2024,0,0
Nicaragua,November,2024,2,3
Nicaragua,December,2024,1,1
Nicaragua,January,2025,0,0
Nicaragua,February,2025,1,0
Nicaragua,March,2025,1,1
Nicaragua,April,2025,1,0
Nicaragua,May,2025,0,0
Nicaragua,June,2025,0,0
Nicaragua,July,2025,0,0
Nicaragua,August,2025,0,0
Nicaragua,September,2025,3,3
Nicaragua,October,2025,0,0
Nicaragua,November,2025,1,1
Nicaragua,December,2025,1,1
Nicaragua,January,2026,2,0
Nicaragua,February,2026,0,0
Nicaragua,March,2026,2,1
Nicaragua,April,2026,0,0
