Country,Month,Year,Events,Fatalities
Niue,January,2021,0,0
Niue,February,2021,0,0
Niue,March,2021,0,0
Niue,April,2021,0,0
Niue,May,2021,0,0
Niue,June,2021,0,0
Niue,July,2021,0,0
Niue,August,2021,0,0
Niue,September,2021,0,0
Niue,October,2021,0,0
Niue,November,2021,0,0
Niue,December,2021,0,0
Niue,January,2022,0,0
Niue,February,2022,0,0
Niue,March,2022,0,0
Niue,April,2022,0,0
Niue,May,2022,0,0
Niue,June,2022,0,0
Niue,July,2022,0,0
Niue,August,2022,0,0
Niue,September,2022,0,0
Niue,October,2022,0,0
Niue,November,2022,0,0
Niue,December,2022,0,0
Niue,January,2023,0,0
Niue,February,2023,0,0
Niue,March,2023,0,0
Niue,April,2023,0,0
Niue,May,2023,0,0
Niue,June,2023,0,0
Niue,July,2023,0,0
Niue,August,2023,0,0
Niue,September,2023,0,0
Niue,October,2023,0,0
Niue,November,2023,0,0
Niue,December,2023,0,0
Niue,January,2024,0,0
Niue,February,2024,0,0
Niue,March,2024,0,0
Niue,April,2024,0,0
Niue,May,2024,0,0
Niue,June,2024,0,0
Niue,July,2024,0,0
Niue,August,2024,0,0
Niue,September,2024,0,0
Niue,October,2024,0,0
Niue,November,2024,0,0
Niue,December,2024,0,0
Niue,January,2025,0,0
Niue,February,2025,0,0
Niue,March,2025,0,0
Niue,April,2025,0,0
Niue,May,2025,0,0
Niue,June,2025,0,0
Niue,July,2025,0,0
Niue,August,2025,0,0
Niue,September,2025,0,0
Niue,October,2025,0,0
Niue,November,2025,0,0
Niue,December,2025,0,0
Niue,January,2026,0,0
Niue,February,2026,0,0
Niue,March,2026,0,0
Niue,April,2026,0,0
