Country,Month,Year,Events,Fatalities
North Macedonia,January,2018,0,0
North Macedonia,February,2018,0,0
North Macedonia,March,2018,0,0
North Macedonia,April,2018,0,0
North Macedonia,May,2018,0,0
North Macedonia,June,2018,0,0
North Macedonia,July,2018,0,0
North Macedonia,August,2018,0,0
North Macedonia,September,2018,0,0
North Macedonia,October,2018,0,0
North Macedonia,November,2018,0,0
North Macedonia,December,2018,1,0
North Macedonia,January,2019,1,0
North Macedonia,February,2019,0,0
North Macedonia,March,2019,0,0
North Macedonia,April,2019,1,0
North Macedonia,May,2019,0,0
North Macedonia,June,2019,2,0
North Macedonia,July,2019,0,0
North Macedonia,August,2019,0,0
North Macedonia,September,2019,0,0
North Macedonia,October,2019,0,0
North Macedonia,November,2019,0,0
North Macedonia,December,2019,0,0
North Macedonia,January,2020,0,0
North Macedonia,February,2020,0,0
North Macedonia,March,2020,0,0
North Macedonia,April,2020,1,0
North Macedonia,May,2020,0,0
North Macedonia,June,2020,0,0
North Macedonia,July,2020,0,0
North Macedonia,August,2020,0,0
North Macedonia,September,2020,3,0
North Macedonia,October,2020,0,0
North Macedonia,November,2020,0,0
North Macedonia,December,2020,0,0
North Macedonia,January,2021,0,0
North Macedonia,February,2021,0,0
North Macedonia,March,2021,0,0
North Macedonia,April,2021,0,0
North Macedonia,May,2021,0,0
North Macedonia,June,2021,0,0
North Macedonia,July,2021,0,0
North Macedonia,August,2021,0,0
North Macedonia,September,2021,0,0
North Macedonia,October,2021,1,0
North Macedonia,November,2021,0,0
North Macedonia,December,2021,0,0
North Macedonia,January,2022,0,0
North Macedonia,February,2022,0,0
North Macedonia,March,2022,0,0
North Macedonia,April,2022,0,0
North Macedonia,May,2022,0,0
North Macedonia,June,2022,0,0
North Macedonia,July,2022,0,0
North Macedonia,August,2022,0,0
North Macedonia,September,2022,0,0
North Macedonia,October,2022,1,0
North Macedonia,November,2022,0,0
North Macedonia,December,2022,0,0
North Macedonia,January,2023,1,0
North Macedonia,February,2023,0,0
North Macedonia,March,2023,0,0
North Macedonia,April,2023,1,0
North Macedonia,May,2023,0,0
North Macedonia,June,2023,0,0
North Macedonia,July,2023,1,0
North Macedonia,August,2023,2,0
North Macedonia,September,2023,0,0
North Macedonia,October,2023,0,0
North Macedonia,November,2023,1,0
North Macedonia,December,2023,0,0
North Macedonia,January,2024,0,0
North Macedonia,February,2024,3,0
North Macedonia,March,2024,1,0
North Macedonia,April,2024,0,0
North Macedonia,May,2024,0,0
North Macedonia,June,2024,0,0
North Macedonia,July,2024,0,0
North Macedonia,August,2024,0,0
North Macedonia,September,2024,1,0
North Macedonia,October,2024,1,0
North Macedonia,November,2024,1,0
North Macedonia,December,2024,0,0
North Macedonia,January,2025,0,0
North Macedonia,February,2025,0,0
North Macedonia,March,2025,0,0
North Macedonia,April,2025,0,0
North Macedonia,May,2025,0,0
North Macedonia,June,2025,0,0
North Macedonia,July,2025,1,0
North Macedonia,August,2025,0,0
North Macedonia,September,2025,0,0
North Macedonia,October,2025,2,0
North Macedonia,November,2025,0,0
North Macedonia,December,2025,1,0
North Macedonia,January,2026,0,0
North Macedonia,February,2026,0,0
North Macedonia,March,2026,0,0
North Macedonia,April,2026,0,0
