Country,Month,Year,Events,Fatalities
Norway,January,2020,0,0
Norway,February,2020,1,0
Norway,March,2020,0,0
Norway,April,2020,0,0
Norway,May,2020,0,0
Norway,June,2020,1,0
Norway,July,2020,1,0
Norway,August,2020,3,0
Norway,September,2020,0,0
Norway,October,2020,1,1
Norway,November,2020,0,0
Norway,December,2020,0,0
Norway,January,2021,0,0
Norway,February,2021,0,0
Norway,March,2021,0,0
Norway,April,2021,0,0
Norway,May,2021,0,0
Norway,June,2021,0,0
Norway,July,2021,0,0
Norway,August,2021,0,0
Norway,September,2021,0,0
Norway,October,2021,1,0
Norway,November,2021,0,0
Norway,December,2021,0,0
Norway,January,2022,0,0
Norway,February,2022,0,0
Norway,March,2022,0,0
Norway,April,2022,0,0
Norway,May,2022,0,0
Norway,June,2022,1,2
Norway,July,2022,1,0
Norway,August,2022,0,0
Norway,September,2022,0,0
Norway,October,2022,0,0
Norway,November,2022,0,0
Norway,December,2022,0,0
Norway,January,2023,0,0
Norway,February,2023,0,0
Norway,March,2023,0,0
Norway,April,2023,0,0
Norway,May,2023,0,0
Norway,June,2023,0,0
Norway,July,2023,0,0
Norway,August,2023,0,0
Norway,September,2023,1,0
Norway,October,2023,0,0
Norway,November,2023,0,0
Norway,December,2023,0,0
Norway,January,2024,0,0
Norway,February,2024,0,0
Norway,March,2024,0,0
Norway,April,2024,0,0
Norway,May,2024,0,0
Norway,June,2024,0,0
Norway,July,2024,0,0
Norway,August,2024,1,0
Norway,September,2024,1,0
Norway,October,2024,0,0
Norway,November,2024,0,0
Norway,December,2024,0,0
Norway,January,2025,0,0
Norway,February,2025,0,0
Norway,March,2025,0,0
Norway,April,2025,0,0
Norway,May,2025,0,0
Norway,June,2025,0,0
Norway,July,2025,0,0
Norway,August,2025,1,1
Norway,September,2025,0,0
Norway,October,2025,1,0
Norway,November,2025,0,0
Norway,December,2025,0,0
Norway,January,2026,0,0
Norway,February,2026,0,0
Norway,March,2026,0,0
Norway,April,2026,0,0
