Country,Month,Year,Events,Fatalities
Paraguay,January,2018,3,3
Paraguay,February,2018,1,0
Paraguay,March,2018,1,0
Paraguay,April,2018,2,0
Paraguay,May,2018,0,0
Paraguay,June,2018,0,0
Paraguay,July,2018,0,0
Paraguay,August,2018,0,0
Paraguay,September,2018,1,0
Paraguay,October,2018,2,1
Paraguay,November,2018,1,0
Paraguay,December,2018,2,1
Paraguay,January,2019,0,0
Paraguay,February,2019,2,0
Paraguay,March,2019,0,0
Paraguay,April,2019,0,0
Paraguay,May,2019,2,6
Paraguay,June,2019,1,0
Paraguay,July,2019,1,1
Paraguay,August,2019,1,0
Paraguay,September,2019,1,0
Paraguay,October,2019,4,0
Paraguay,November,2019,1,0
Paraguay,December,2019,7,3
Paraguay,January,2020,2,2
Paraguay,February,2020,2,1
Paraguay,March,2020,0,0
Paraguay,April,2020,0,0
Paraguay,May,2020,4,0
Paraguay,June,2020,2,2
Paraguay,July,2020,2,0
Paraguay,August,2020,1,1
Paraguay,September,2020,4,0
Paraguay,October,2020,2,2
Paraguay,November,2020,2,2
Paraguay,December,2020,1,0
Paraguay,January,2021,0,0
Paraguay,February,2021,3,1
Paraguay,March,2021,3,0
Paraguay,April,2021,4,3
Paraguay,May,2021,1,1
Paraguay,June,2021,7,3
Paraguay,July,2021,1,0
Paraguay,August,2021,3,2
Paraguay,September,2021,4,5
Paraguay,October,2021,7,7
Paraguay,November,2021,1,1
Paraguay,December,2021,2,0
Paraguay,January,2022,2,0
Paraguay,February,2022,3,1
Paraguay,March,2022,4,1
Paraguay,April,2022,4,3
Paraguay,May,2022,1,1
Paraguay,June,2022,2,0
Paraguay,July,2022,2,1
Paraguay,August,2022,3,1
Paraguay,September,2022,2,1
Paraguay,October,2022,6,3
Paraguay,November,2022,11,4
Paraguay,December,2022,9,3
Paraguay,January,2023,6,2
Paraguay,February,2023,6,1
Paraguay,March,2023,1,0
Paraguay,April,2023,3,0
Paraguay,May,2023,2,0
Paraguay,June,2023,0,0
Paraguay,July,2023,0,0
Paraguay,August,2023,3,0
Paraguay,September,2023,0,0
Paraguay,October,2023,3,2
Paraguay,November,2023,0,0
Paraguay,December,2023,0,0
Paraguay,January,2024,0,0
Paraguay,February,2024,0,0
Paraguay,March,2024,0,0
Paraguay,April,2024,1,0
Paraguay,May,2024,0,0
Paraguay,June,2024,0,0
Paraguay,July,2024,2,0
Paraguay,August,2024,1,0
Paraguay,September,2024,0,0
Paraguay,October,2024,2,0
Paraguay,November,2024,0,0
Paraguay,December,2024,2,1
Paraguay,January,2025,0,0
Paraguay,February,2025,0,0
Paraguay,March,2025,0,0
Paraguay,April,2025,0,0
Paraguay,May,2025,0,0
Paraguay,June,2025,1,0
Paraguay,July,2025,0,0
Paraguay,August,2025,1,0
Paraguay,September,2025,0,0
Paraguay,October,2025,1,0
Paraguay,November,2025,0,0
Paraguay,December,2025,1,0
Paraguay,January,2026,0,0
Paraguay,February,2026,0,0
Paraguay,March,2026,0,0
Paraguay,April,2026,0,0
