Country,Month,Year,Events,Fatalities
Pitcairn,January,2021,0,0
Pitcairn,February,2021,0,0
Pitcairn,March,2021,0,0
Pitcairn,April,2021,0,0
Pitcairn,May,2021,0,0
Pitcairn,June,2021,0,0
Pitcairn,July,2021,0,0
Pitcairn,August,2021,0,0
Pitcairn,September,2021,0,0
Pitcairn,October,2021,0,0
Pitcairn,November,2021,0,0
Pitcairn,December,2021,0,0
Pitcairn,January,2022,0,0
Pitcairn,February,2022,0,0
Pitcairn,March,2022,0,0
Pitcairn,April,2022,0,0
Pitcairn,May,2022,0,0
Pitcairn,June,2022,0,0
Pitcairn,July,2022,0,0
Pitcairn,August,2022,0,0
Pitcairn,September,2022,0,0
Pitcairn,October,2022,0,0
Pitcairn,November,2022,0,0
Pitcairn,December,2022,0,0
Pitcairn,January,2023,0,0
Pitcairn,February,2023,0,0
Pitcairn,March,2023,0,0
Pitcairn,April,2023,0,0
Pitcairn,May,2023,0,0
Pitcairn,June,2023,0,0
Pitcairn,July,2023,0,0
Pitcairn,August,2023,0,0
Pitcairn,September,2023,0,0
Pitcairn,October,2023,0,0
Pitcairn,November,2023,0,0
Pitcairn,December,2023,0,0
Pitcairn,January,2024,0,0
Pitcairn,February,2024,0,0
Pitcairn,March,2024,0,0
Pitcairn,April,2024,0,0
Pitcairn,May,2024,0,0
Pitcairn,June,2024,0,0
Pitcairn,July,2024,0,0
Pitcairn,August,2024,0,0
Pitcairn,September,2024,0,0
Pitcairn,October,2024,0,0
Pitcairn,November,2024,0,0
Pitcairn,December,2024,0,0
Pitcairn,January,2025,0,0
Pitcairn,February,2025,0,0
Pitcairn,March,2025,0,0
Pitcairn,April,2025,0,0
Pitcairn,May,2025,0,0
Pitcairn,June,2025,0,0
Pitcairn,July,2025,0,0
Pitcairn,August,2025,0,0
Pitcairn,September,2025,0,0
Pitcairn,October,2025,0,0
Pitcairn,November,2025,0,0
Pitcairn,December,2025,0,0
Pitcairn,January,2026,0,0
Pitcairn,February,2026,0,0
Pitcairn,March,2026,0,0
Pitcairn,April,2026,0,0
