Country,Month,Year,Events,Fatalities
Seychelles,January,2020,0,0
Seychelles,February,2020,0,0
Seychelles,March,2020,0,0
Seychelles,April,2020,0,0
Seychelles,May,2020,0,0
Seychelles,June,2020,0,0
Seychelles,July,2020,0,0
Seychelles,August,2020,0,0
Seychelles,September,2020,0,0
Seychelles,October,2020,0,0
Seychelles,November,2020,0,0
Seychelles,December,2020,0,0
Seychelles,January,2021,0,0
Seychelles,February,2021,0,0
Seychelles,March,2021,0,0
Seychelles,April,2021,0,0
Seychelles,May,2021,0,0
Seychelles,June,2021,0,0
Seychelles,July,2021,0,0
Seychelles,August,2021,0,0
Seychelles,September,2021,0,0
Seychelles,October,2021,0,0
Seychelles,November,2021,0,0
Seychelles,December,2021,0,0
Seychelles,January,2022,0,0
Seychelles,February,2022,0,0
Seychelles,March,2022,0,0
Seychelles,April,2022,0,0
Seychelles,May,2022,0,0
Seychelles,June,2022,0,0
Seychelles,July,2022,0,0
Seychelles,August,2022,0,0
Seychelles,September,2022,0,0
Seychelles,October,2022,0,0
Seychelles,November,2022,0,0
Seychelles,December,2022,0,0
Seychelles,January,2023,0,0
Seychelles,February,2023,0,0
Seychelles,March,2023,0,0
Seychelles,April,2023,0,0
Seychelles,May,2023,0,0
Seychelles,June,2023,0,0
Seychelles,July,2023,0,0
Seychelles,August,2023,0,0
Seychelles,September,2023,0,0
Seychelles,October,2023,0,0
Seychelles,November,2023,0,0
Seychelles,December,2023,0,0
Seychelles,January,2024,0,0
Seychelles,February,2024,0,0
Seychelles,March,2024,0,0
Seychelles,April,2024,0,0
Seychelles,May,2024,0,0
Seychelles,June,2024,0,0
Seychelles,July,2024,0,0
Seychelles,August,2024,0,0
Seychelles,September,2024,0,0
Seychelles,October,2024,0,0
Seychelles,November,2024,0,0
Seychelles,December,2024,0,0
Seychelles,January,2025,0,0
Seychelles,February,2025,0,0
Seychelles,March,2025,0,0
Seychelles,April,2025,0,0
Seychelles,May,2025,0,0
Seychelles,June,2025,0,0
Seychelles,July,2025,0,0
Seychelles,August,2025,0,0
Seychelles,September,2025,0,0
Seychelles,October,2025,0,0
Seychelles,November,2025,0,0
Seychelles,December,2025,0,0
Seychelles,January,2026,0,0
Seychelles,February,2026,0,0
Seychelles,March,2026,0,0
Seychelles,April,2026,0,0
