Country,Month,Year,Events,Fatalities
Singapore,January,2020,0,0
Singapore,February,2020,0,0
Singapore,March,2020,0,0
Singapore,April,2020,0,0
Singapore,May,2020,0,0
Singapore,June,2020,0,0
Singapore,July,2020,0,0
Singapore,August,2020,0,0
Singapore,September,2020,0,0
Singapore,October,2020,0,0
Singapore,November,2020,0,0
Singapore,December,2020,0,0
Singapore,January,2021,0,0
Singapore,February,2021,0,0
Singapore,March,2021,0,0
Singapore,April,2021,0,0
Singapore,May,2021,0,0
Singapore,June,2021,0,0
Singapore,July,2021,0,0
Singapore,August,2021,0,0
Singapore,September,2021,0,0
Singapore,October,2021,0,0
Singapore,November,2021,0,0
Singapore,December,2021,0,0
Singapore,January,2022,0,0
Singapore,February,2022,0,0
Singapore,March,2022,0,0
Singapore,April,2022,0,0
Singapore,May,2022,0,0
Singapore,June,2022,0,0
Singapore,July,2022,0,0
Singapore,August,2022,0,0
Singapore,September,2022,0,0
Singapore,October,2022,0,0
Singapore,November,2022,0,0
Singapore,December,2022,0,0
Singapore,January,2023,0,0
Singapore,February,2023,0,0
Singapore,March,2023,0,0
Singapore,April,2023,0,0
Singapore,May,2023,0,0
Singapore,June,2023,0,0
Singapore,July,2023,0,0
Singapore,August,2023,0,0
Singapore,September,2023,0,0
Singapore,October,2023,0,0
Singapore,November,2023,0,0
Singapore,December,2023,0,0
Singapore,January,2024,0,0
Singapore,February,2024,0,0
Singapore,March,2024,0,0
Singapore,April,2024,0,0
Singapore,May,2024,0,0
Singapore,June,2024,0,0
Singapore,July,2024,0,0
Singapore,August,2024,0,0
Singapore,September,2024,0,0
Singapore,October,2024,0,0
Singapore,November,2024,0,0
Singapore,December,2024,0,0
Singapore,January,2025,0,0
Singapore,February,2025,0,0
Singapore,March,2025,0,0
Singapore,April,2025,0,0
Singapore,May,2025,0,0
Singapore,June,2025,0,0
Singapore,July,2025,0,0
Singapore,August,2025,0,0
Singapore,September,2025,0,0
Singapore,October,2025,0,0
Singapore,November,2025,0,0
Singapore,December,2025,0,0
Singapore,January,2026,0,0
Singapore,February,2026,0,0
Singapore,March,2026,0,0
Singapore,April,2026,0,0
