Country,Month,Year,Events,Fatalities
Sweden,January,2020,1,0
Sweden,February,2020,2,0
Sweden,March,2020,3,1
Sweden,April,2020,0,0
Sweden,May,2020,1,0
Sweden,June,2020,1,0
Sweden,July,2020,0,0
Sweden,August,2020,2,0
Sweden,September,2020,1,0
Sweden,October,2020,0,0
Sweden,November,2020,1,0
Sweden,December,2020,0,0
Sweden,January,2021,0,0
Sweden,February,2021,0,0
Sweden,March,2021,0,0
Sweden,April,2021,0,0
Sweden,May,2021,0,0
Sweden,June,2021,0,0
Sweden,July,2021,0,0
Sweden,August,2021,0,0
Sweden,September,2021,0,0
Sweden,October,2021,0,0
Sweden,November,2021,0,0
Sweden,December,2021,0,0
Sweden,January,2022,0,0
Sweden,February,2022,0,0
Sweden,March,2022,1,0
Sweden,April,2022,0,0
Sweden,May,2022,0,0
Sweden,June,2022,0,0
Sweden,July,2022,0,0
Sweden,August,2022,1,0
Sweden,September,2022,0,0
Sweden,October,2022,0,0
Sweden,November,2022,1,0
Sweden,December,2022,1,0
Sweden,January,2023,0,0
Sweden,February,2023,0,0
Sweden,March,2023,0,0
Sweden,April,2023,0,0
Sweden,May,2023,0,0
Sweden,June,2023,1,0
Sweden,July,2023,0,0
Sweden,August,2023,1,0
Sweden,September,2023,0,0
Sweden,October,2023,0,0
Sweden,November,2023,0,0
Sweden,December,2023,0,0
Sweden,January,2024,0,0
Sweden,February,2024,0,0
Sweden,March,2024,0,0
Sweden,April,2024,1,0
Sweden,May,2024,1,0
Sweden,June,2024,0,0
Sweden,July,2024,0,0
Sweden,August,2024,2,0
Sweden,September,2024,1,0
Sweden,October,2024,0,0
Sweden,November,2024,0,0
Sweden,December,2024,0,0
Sweden,January,2025,1,1
Sweden,February,2025,0,0
Sweden,March,2025,0,0
Sweden,April,2025,0,0
Sweden,May,2025,0,0
Sweden,June,2025,0,0
Sweden,July,2025,0,0
Sweden,August,2025,1,0
Sweden,September,2025,0,0
Sweden,October,2025,0,0
Sweden,November,2025,1,0
Sweden,December,2025,0,0
Sweden,January,2026,0,0
Sweden,February,2026,0,0
Sweden,March,2026,0,0
Sweden,April,2026,0,0
