Country,Month,Year,Events,Fatalities
Trinidad and Tobago,January,2018,20,13
Trinidad and Tobago,February,2018,17,13
Trinidad and Tobago,March,2018,14,14
Trinidad and Tobago,April,2018,14,10
Trinidad and Tobago,May,2018,29,27
Trinidad and Tobago,June,2018,17,15
Trinidad and Tobago,July,2018,18,15
Trinidad and Tobago,August,2018,18,18
Trinidad and Tobago,September,2018,19,17
Trinidad and Tobago,October,2018,12,7
Trinidad and Tobago,November,2018,17,14
Trinidad and Tobago,December,2018,19,11
Trinidad and Tobago,January,2019,29,26
Trinidad and Tobago,February,2019,15,11
Trinidad and Tobago,March,2019,13,6
Trinidad and Tobago,April,2019,16,14
Trinidad and Tobago,May,2019,11,12
Trinidad and Tobago,June,2019,17,7
Trinidad and Tobago,July,2019,21,18
Trinidad and Tobago,August,2019,17,17
Trinidad and Tobago,September,2019,16,11
Trinidad and Tobago,October,2019,2,1
Trinidad and Tobago,November,2019,15,10
Trinidad and Tobago,December,2019,9,9
Trinidad and Tobago,January,2020,17,23
Trinidad and Tobago,February,2020,10,9
Trinidad and Tobago,March,2020,9,7
Trinidad and Tobago,April,2020,11,10
Trinidad and Tobago,May,2020,11,13
Trinidad and Tobago,June,2020,20,19
Trinidad and Tobago,July,2020,5,2
Trinidad and Tobago,August,2020,9,5
Trinidad and Tobago,September,2020,8,5
Trinidad and Tobago,October,2020,11,9
Trinidad and Tobago,November,2020,12,8
Trinidad and Tobago,December,2020,10,10
Trinidad and Tobago,January,2021,12,8
Trinidad and Tobago,February,2021,12,5
Trinidad and Tobago,March,2021,20,15
Trinidad and Tobago,April,2021,13,9
Trinidad and Tobago,May,2021,21,10
Trinidad and Tobago,June,2021,18,10
Trinidad and Tobago,July,2021,17,18
Trinidad and Tobago,August,2021,22,15
Trinidad and Tobago,September,2021,21,21
Trinidad and Tobago,October,2021,18,17
Trinidad and Tobago,November,2021,21,21
Trinidad and Tobago,December,2021,10,10
Trinidad and Tobago,January,2022,23,20
Trinidad and Tobago,February,2022,17,19
Trinidad and Tobago,March,2022,22,9
Trinidad and Tobago,April,2022,15,19
Trinidad and Tobago,May,2022,19,12
Trinidad and Tobago,June,2022,22,17
Trinidad and Tobago,July,2022,22,26
Trinidad and Tobago,August,2022,43,32
Trinidad and Tobago,September,2022,28,23
Trinidad and Tobago,October,2022,29,25
Trinidad and Tobago,November,2022,20,16
Trinidad and Tobago,December,2022,28,24
Trinidad and Tobago,January,2023,23,27
Trinidad and Tobago,February,2023,23,25
Trinidad and Tobago,March,2023,21,17
Trinidad and Tobago,April,2023,29,29
Trinidad and Tobago,May,2023,36,27
Trinidad and Tobago,June,2023,32,25
Trinidad and Tobago,July,2023,35,23
Trinidad and Tobago,August,2023,41,32
Trinidad and Tobago,September,2023,30,27
Trinidad and Tobago,October,2023,14,11
Trinidad and Tobago,November,2023,26,22
Trinidad and Tobago,December,2023,26,17
Trinidad and Tobago,January,2024,33,21
Trinidad and Tobago,February,2024,28,26
Trinidad and Tobago,March,2024,20,21
Trinidad and Tobago,April,2024,25,19
Trinidad and Tobago,May,2024,30,27
Trinidad and Tobago,June,2024,24,11
Trinidad and Tobago,July,2024,37,35
Trinidad and Tobago,August,2024,40,30
Trinidad and Tobago,September,2024,28,32
Trinidad and Tobago,October,2024,34,16
Trinidad and Tobago,November,2024,28,22
Trinidad and Tobago,December,2024,27,18
Trinidad and Tobago,January,2025,20,12
Trinidad and Tobago,February,2025,13,9
Trinidad and Tobago,March,2025,23,14
Trinidad and Tobago,April,2025,15,9
Trinidad and Tobago,May,2025,22,11
Trinidad and Tobago,June,2025,18,10
Trinidad and Tobago,July,2025,20,14
Trinidad and Tobago,August,2025,9,6
Trinidad and Tobago,September,2025,10,7
Trinidad and Tobago,October,2025,19,11
Trinidad and Tobago,November,2025,19,11
Trinidad and Tobago,December,2025,19,13
Trinidad and Tobago,January,2026,23,17
Trinidad and Tobago,February,2026,18,16
Trinidad and Tobago,March,2026,16,11
Trinidad and Tobago,April,2026,4,3
