Country,Month,Year,Events,Fatalities
Turkey,January,2016,29,75
Turkey,February,2016,18,61
Turkey,March,2016,14,54
Turkey,April,2016,15,18
Turkey,May,2016,19,27
Turkey,June,2016,19,58
Turkey,July,2016,35,21
Turkey,August,2016,24,68
Turkey,September,2016,14,10
Turkey,October,2016,14,14
Turkey,November,2016,9,12
Turkey,December,2016,17,28
Turkey,January,2017,19,42
Turkey,February,2017,20,9
Turkey,March,2017,23,4
Turkey,April,2017,2,2
Turkey,May,2017,4,6
Turkey,June,2017,2,1
Turkey,July,2017,15,15
Turkey,August,2017,9,10
Turkey,September,2017,10,12
Turkey,October,2017,22,10
Turkey,November,2017,5,3
Turkey,December,2017,0,0
Turkey,January,2018,16,6
Turkey,February,2018,17,2
Turkey,March,2018,13,10
Turkey,April,2018,5,2
Turkey,May,2018,16,4
Turkey,June,2018,71,6
Turkey,July,2018,11,7
Turkey,August,2018,3,0
Turkey,September,2018,18,5
Turkey,October,2018,16,1
Turkey,November,2018,17,1
Turkey,December,2018,19,3
Turkey,January,2019,14,0
Turkey,February,2019,19,0
Turkey,March,2019,38,1
Turkey,April,2019,22,2
Turkey,May,2019,26,4
Turkey,June,2019,30,10
Turkey,July,2019,32,9
Turkey,August,2019,24,4
Turkey,September,2019,16,8
Turkey,October,2019,28,23
Turkey,November,2019,15,0
Turkey,December,2019,23,1
Turkey,January,2020,17,1
Turkey,February,2020,23,0
Turkey,March,2020,15,5
Turkey,April,2020,19,7
Turkey,May,2020,21,2
Turkey,June,2020,12,8
Turkey,July,2020,18,10
Turkey,August,2020,13,0
Turkey,September,2020,8,3
Turkey,October,2020,14,4
Turkey,November,2020,3,4
Turkey,December,2020,13,0
Turkey,January,2021,8,0
Turkey,February,2021,2,0
Turkey,March,2021,4,2
Turkey,April,2021,6,2
Turkey,May,2021,13,0
Turkey,June,2021,7,3
Turkey,July,2021,14,8
Turkey,August,2021,10,2
Turkey,September,2021,11,3
Turkey,October,2021,6,2
Turkey,November,2021,5,4
Turkey,December,2021,6,1
Turkey,January,2022,8,2
Turkey,February,2022,5,2
Turkey,March,2022,10,2
Turkey,April,2022,12,1
Turkey,May,2022,12,4
Turkey,June,2022,9,3
Turkey,July,2022,10,1
Turkey,August,2022,9,1
Turkey,September,2022,4,1
Turkey,October,2022,8,3
Turkey,November,2022,6,9
Turkey,December,2022,7,3
Turkey,January,2023,8,7
Turkey,February,2023,16,4
Turkey,March,2023,11,3
Turkey,April,2023,18,2
Turkey,May,2023,79,4
Turkey,June,2023,9,1
Turkey,July,2023,13,2
Turkey,August,2023,8,0
Turkey,September,2023,6,1
Turkey,October,2023,7,0
Turkey,November,2023,3,0
Turkey,December,2023,9,0
Turkey,January,2024,8,1
Turkey,February,2024,2,0
Turkey,March,2024,25,2
Turkey,April,2024,7,0
Turkey,May,2024,10,1
Turkey,June,2024,2,0
Turkey,July,2024,12,3
Turkey,August,2024,11,1
Turkey,September,2024,7,3
Turkey,October,2024,11,1
Turkey,November,2024,7,0
Turkey,December,2024,1,0
Turkey,January,2025,0,0
Turkey,February,2025,3,0
Turkey,March,2025,4,0
Turkey,April,2025,3,0
Turkey,May,2025,2,0
Turkey,June,2025,1,0
Turkey,July,2025,5,0
Turkey,August,2025,1,0
Turkey,September,2025,2,1
Turkey,October,2025,5,2
Turkey,November,2025,4,0
Turkey,December,2025,1,0
Turkey,January,2026,3,0
Turkey,February,2026,1,0
Turkey,March,2026,1,0
Turkey,April,2026,2,0
