Country,Month,Year,Events,Fatalities
Vietnam,January,2010,7,1
Vietnam,February,2010,0,0
Vietnam,March,2010,0,0
Vietnam,April,2010,0,0
Vietnam,May,2010,3,3
Vietnam,June,2010,4,2
Vietnam,July,2010,2,2
Vietnam,August,2010,1,1
Vietnam,September,2010,2,1
Vietnam,October,2010,0,0
Vietnam,November,2010,0,0
Vietnam,December,2010,2,2
Vietnam,January,2011,2,1
Vietnam,February,2011,1,0
Vietnam,March,2011,2,1
Vietnam,April,2011,2,1
Vietnam,May,2011,3,63
Vietnam,June,2011,0,0
Vietnam,July,2011,0,0
Vietnam,August,2011,0,0
Vietnam,September,2011,0,0
Vietnam,October,2011,0,0
Vietnam,November,2011,0,0
Vietnam,December,2011,0,0
Vietnam,January,2012,0,0
Vietnam,February,2012,0,0
Vietnam,March,2012,1,1
Vietnam,April,2012,3,2
Vietnam,May,2012,1,0
Vietnam,June,2012,1,0
Vietnam,July,2012,2,0
Vietnam,August,2012,2,0
Vietnam,September,2012,1,0
Vietnam,October,2012,0,0
Vietnam,November,2012,0,0
Vietnam,December,2012,0,0
Vietnam,January,2013,1,1
Vietnam,February,2013,0,0
Vietnam,March,2013,0,0
Vietnam,April,2013,2,1
Vietnam,May,2013,1,0
Vietnam,June,2013,1,0
Vietnam,July,2013,3,0
Vietnam,August,2013,0,0
Vietnam,September,2013,3,2
Vietnam,October,2013,0,0
Vietnam,November,2013,0,0
Vietnam,December,2013,2,0
Vietnam,January,2014,1,0
Vietnam,February,2014,4,1
Vietnam,March,2014,0,0
Vietnam,April,2014,2,0
Vietnam,May,2014,4,21
Vietnam,June,2014,0,0
Vietnam,July,2014,0,0
Vietnam,August,2014,1,0
Vietnam,September,2014,0,0
Vietnam,October,2014,2,0
Vietnam,November,2014,1,0
Vietnam,December,2014,0,0
Vietnam,January,2015,2,0
Vietnam,February,2015,2,1
Vietnam,March,2015,1,0
Vietnam,April,2015,1,0
Vietnam,May,2015,2,0
Vietnam,June,2015,5,0
Vietnam,July,2015,1,0
Vietnam,August,2015,5,0
Vietnam,September,2015,5,0
Vietnam,October,2015,2,1
Vietnam,November,2015,5,0
Vietnam,December,2015,3,1
Vietnam,January,2016,3,0
Vietnam,February,2016,1,0
Vietnam,March,2016,2,1
Vietnam,April,2016,1,0
Vietnam,May,2016,3,0
Vietnam,June,2016,2,1
Vietnam,July,2016,2,0
Vietnam,August,2016,0,0
Vietnam,September,2016,2,0
Vietnam,October,2016,0,0
Vietnam,November,2016,1,0
Vietnam,December,2016,1,0
Vietnam,January,2017,2,0
Vietnam,February,2017,2,0
Vietnam,March,2017,0,0
Vietnam,April,2017,1,0
Vietnam,May,2017,3,1
Vietnam,June,2017,3,0
Vietnam,July,2017,5,1
Vietnam,August,2017,0,0
Vietnam,September,2017,2,1
Vietnam,October,2017,0,0
Vietnam,November,2017,0,0
Vietnam,December,2017,1,0
Vietnam,January,2018,0,0
Vietnam,February,2018,0,0
Vietnam,March,2018,2,0
Vietnam,April,2018,0,0
Vietnam,May,2018,0,0
Vietnam,June,2018,1,0
Vietnam,July,2018,1,0
Vietnam,August,2018,5,2
Vietnam,September,2018,1,0
Vietnam,October,2018,0,0
Vietnam,November,2018,0,0
Vietnam,December,2018,1,1
Vietnam,January,2019,7,0
Vietnam,February,2019,1,0
Vietnam,March,2019,0,0
Vietnam,April,2019,0,0
Vietnam,May,2019,2,0
Vietnam,June,2019,1,0
Vietnam,July,2019,1,0
Vietnam,August,2019,0,0
Vietnam,September,2019,1,0
Vietnam,October,2019,3,0
Vietnam,November,2019,0,0
Vietnam,December,2019,1,0
Vietnam,January,2020,2,0
Vietnam,February,2020,0,0
Vietnam,March,2020,0,0
Vietnam,April,2020,0,0
Vietnam,May,2020,2,0
Vietnam,June,2020,1,0
Vietnam,July,2020,1,0
Vietnam,August,2020,0,0
Vietnam,September,2020,0,0
Vietnam,October,2020,0,0
Vietnam,November,2020,0,0
Vietnam,December,2020,0,0
Vietnam,January,2021,0,0
Vietnam,February,2021,0,0
Vietnam,March,2021,0,0
Vietnam,April,2021,0,0
Vietnam,May,2021,0,0
Vietnam,June,2021,1,0
Vietnam,July,2021,0,0
Vietnam,August,2021,0,0
Vietnam,September,2021,0,0
Vietnam,October,2021,0,0
Vietnam,November,2021,0,0
Vietnam,December,2021,0,0
Vietnam,January,2022,0,0
Vietnam,February,2022,0,0
Vietnam,March,2022,0,0
Vietnam,April,2022,0,0
Vietnam,May,2022,0,0
Vietnam,June,2022,0,0
Vietnam,July,2022,0,0
Vietnam,August,2022,0,0
Vietnam,September,2022,0,0
Vietnam,October,2022,0,0
Vietnam,November,2022,0,0
Vietnam,December,2022,0,0
Vietnam,January,2023,0,0
Vietnam,February,2023,0,0
Vietnam,March,2023,0,0
Vietnam,April,2023,1,0
Vietnam,May,2023,0,0
Vietnam,June,2023,0,0
Vietnam,July,2023,0,0
Vietnam,August,2023,0,0
Vietnam,September,2023,1,1
Vietnam,October,2023,0,0
Vietnam,November,2023,0,0
Vietnam,December,2023,0,0
Vietnam,January,2024,0,0
Vietnam,February,2024,0,0
Vietnam,March,2024,0,0
Vietnam,April,2024,0,0
Vietnam,May,2024,1,1
Vietnam,June,2024,0,0
Vietnam,July,2024,0,0
Vietnam,August,2024,0,0
Vietnam,September,2024,0,0
Vietnam,October,2024,0,0
Vietnam,November,2024,0,0
Vietnam,December,2024,0,0
Vietnam,January,2025,0,0
Vietnam,February,2025,0,0
Vietnam,March,2025,0,0
Vietnam,April,2025,0,0
Vietnam,May,2025,0,0
Vietnam,June,2025,0,0
Vietnam,July,2025,0,0
Vietnam,August,2025,0,0
Vietnam,September,2025,0,0
Vietnam,October,2025,0,0
Vietnam,November,2025,0,0
Vietnam,December,2025,0,0
Vietnam,January,2026,0,0
Vietnam,February,2026,0,0
Vietnam,March,2026,0,0
Vietnam,April,2026,0,0
