Country,Month,Year,Events,Fatalities
Wallis and Futuna,January,2021,0,0
Wallis and Futuna,February,2021,0,0
Wallis and Futuna,March,2021,0,0
Wallis and Futuna,April,2021,0,0
Wallis and Futuna,May,2021,0,0
Wallis and Futuna,June,2021,0,0
Wallis and Futuna,July,2021,0,0
Wallis and Futuna,August,2021,0,0
Wallis and Futuna,September,2021,0,0
Wallis and Futuna,October,2021,0,0
Wallis and Futuna,November,2021,0,0
Wallis and Futuna,December,2021,0,0
Wallis and Futuna,January,2022,0,0
Wallis and Futuna,February,2022,0,0
Wallis and Futuna,March,2022,0,0
Wallis and Futuna,April,2022,0,0
Wallis and Futuna,May,2022,0,0
Wallis and Futuna,June,2022,0,0
Wallis and Futuna,July,2022,0,0
Wallis and Futuna,August,2022,0,0
Wallis and Futuna,September,2022,0,0
Wallis and Futuna,October,2022,0,0
Wallis and Futuna,November,2022,0,0
Wallis and Futuna,December,2022,0,0
Wallis and Futuna,January,2023,0,0
Wallis and Futuna,February,2023,0,0
Wallis and Futuna,March,2023,0,0
Wallis and Futuna,April,2023,0,0
Wallis and Futuna,May,2023,0,0
Wallis and Futuna,June,2023,0,0
Wallis and Futuna,July,2023,0,0
Wallis and Futuna,August,2023,0,0
Wallis and Futuna,September,2023,0,0
Wallis and Futuna,October,2023,0,0
Wallis and Futuna,November,2023,0,0
Wallis and Futuna,December,2023,0,0
Wallis and Futuna,January,2024,0,0
Wallis and Futuna,February,2024,0,0
Wallis and Futuna,March,2024,0,0
Wallis and Futuna,April,2024,0,0
Wallis and Futuna,May,2024,0,0
Wallis and Futuna,June,2024,0,0
Wallis and Futuna,July,2024,0,0
Wallis and Futuna,August,2024,0,0
Wallis and Futuna,September,2024,0,0
Wallis and Futuna,October,2024,0,0
Wallis and Futuna,November,2024,0,0
Wallis and Futuna,December,2024,0,0
Wallis and Futuna,January,2025,0,0
Wallis and Futuna,February,2025,0,0
Wallis and Futuna,March,2025,0,0
Wallis and Futuna,April,2025,0,0
Wallis and Futuna,May,2025,0,0
Wallis and Futuna,June,2025,0,0
Wallis and Futuna,July,2025,0,0
Wallis and Futuna,August,2025,0,0
Wallis and Futuna,September,2025,0,0
Wallis and Futuna,October,2025,0,0
Wallis and Futuna,November,2025,0,0
Wallis and Futuna,December,2025,0,0
Wallis and Futuna,January,2026,0,0
Wallis and Futuna,February,2026,0,0
Wallis and Futuna,March,2026,0,0
Wallis and Futuna,April,2026,0,0
