name,amenity,country,iso3,source,latitude,longitude,addr_city,operator,building,near_hotspot,hotspot_info
عمر بن الخطاب,school,Lebanon,LBN,HOTOSM/OSM,33.871997,35.500379,,,yes,True,Beirut (11 events)
الأخوة اللبنانية الحدث,school,Lebanon,LBN,HOTOSM/OSM,33.828384,35.527611,,,school,True,Beirut (11 events)
Ecole Catholique,school,Burkina Faso,BFA,HOTOSM/OSM,11.099241,0.017016,,,yes,False,
B.E.P.S. Thaphern Gwin,school,Myanmar,MMR,HOTOSM/OSM,18.013657,94.497271,,,school,False,
Groupe scolaire bouyagui diarra,school,Mali,MLI,HOTOSM/OSM,12.579412,-7.971849,,,yes,False,
Ecole C,school,Burkina Faso,BFA,HOTOSM/OSM,12.487852,1.522384,,,public,False,
مدرسه اناثیه اصلاح البنات خالد بن ولید,school,Afghanistan,AFG,HOTOSM/OSM,36.268231,68.001909,,,mosque,False,
Baby World Kindergarten,kindergarten,Palestine,PSE,HOTOSM/OSM,31.925303,35.218006,,,yes,True,Al Quds (93 events)
RAGHEB BUS,bus_station,Palestine,PSE,HOTOSM/OSM,31.383138,34.353799,,,school,True,Deir El Balah (3 events)
Palestine Polyticnic University,university,Palestine,PSE,HOTOSM/OSM,31.52148,35.087649,,,yes,True,Hebron (147 events)
Modern University College-MUC,university,Palestine,PSE,HOTOSM/OSM,31.899788,35.204772,,,university,True,Al Quds (93 events)
Myanmar Excellent Stars,school,Myanmar,MMR,HOTOSM/OSM,16.804834,96.206436,,,school,False,
Cocci International Secondary School,school,Nigeria,NGA,HOTOSM/OSM,6.483071,7.51449,,,school,True,Enugu North (4 events)
အ.မ.လ.က(၂၆) B.E.H.S(26),school,Myanmar,MMR,HOTOSM/OSM,16.943256,96.07411,,,yes,False,
english teaching,school,Myanmar,MMR,HOTOSM/OSM,22.622015,97.300558,,,yes,False,
سيدة الجمهور,school,Lebanon,LBN,HOTOSM/OSM,33.832909,35.564588,,,yes,True,Beirut (11 events)
Basic Education Primary School No(13),school,Myanmar,MMR,HOTOSM/OSM,16.957663,96.083155,,,yes,False,
အမှတ်(၆) ပညာရေးကျောင်း တပ်မတော်ကြည်း,library,Myanmar,MMR,HOTOSM/OSM,16.372943,97.665767,,,school,False,
BEPS 10,school,Myanmar,MMR,HOTOSM/OSM,16.765919,96.138203,,,school,False,
Complexe scolaire Blima,school,Mali,MLI,HOTOSM/OSM,12.613361,-7.98223,,,school,False,
GUINDIGATA HORO,school,Mali,MLI,HOTOSM/OSM,16.190065,-3.806193,,,yes,False,
היברו יוניון קולג',college,Palestine,PSE,HOTOSM/OSM,31.775852,35.222475,,,school,True,Bethlehem (68 events)
Computational Science Program,college,Ethiopia,ETH,HOTOSM/OSM,9.034126,38.766369,,,office,False,
Escola Secundária Magoanine,college,Mozambique,MOZ,HOTOSM/OSM,-25.858311,32.615259,,,school,False,
النخبة,school,Lebanon,LBN,HOTOSM/OSM,33.78618,35.495604,,,yes,True,Baabda (1 events)
Al Iman Kindergarten,kindergarten,Palestine,PSE,HOTOSM/OSM,32.083809,35.362509,,,,False,
جامعة الأقصى,college,Palestine,PSE,HOTOSM/OSM,31.51113,34.440399,,,,True,Deir El Balah (3 events)
Rafidia Girls School,school,Palestine,PSE,HOTOSM/OSM,32.224175,35.233878,,,,True,Nablus (156 events)
Al-Ansar Boys Elementary School,school,Palestine,PSE,HOTOSM/OSM,31.453291,35.109729,,,,True,Hebron (147 events)
Al-Sakhra Girls Elementary School,school,Palestine,PSE,HOTOSM/OSM,31.449634,35.089588,,,,True,Hebron (147 events)
Hawah Girls High School,school,Palestine,PSE,HOTOSM/OSM,31.451089,35.084818,,,,True,Hebron (147 events)
Yatta Girls High School,school,Palestine,PSE,HOTOSM/OSM,31.452339,35.092425,,,,True,Hebron (147 events)
Ain Yabrud Elementary School,school,Palestine,PSE,HOTOSM/OSM,31.951662,35.247509,,,,True,Al Quds (93 events)
Kafr Malik Girls Secondary School,school,Palestine,PSE,HOTOSM/OSM,31.986374,35.307142,,,,False,
مدرسة بيتين الثانوية للبنات,school,Palestine,PSE,HOTOSM/OSM,31.92814,35.242452,,,,True,Al Quds (93 events)
Artas Girls Elementary School,school,Palestine,PSE,HOTOSM/OSM,31.690775,35.192002,,,,True,Bethlehem (68 events)
Sbah Abu Warda Kindergarten,kindergarten,Palestine,PSE,HOTOSM/OSM,31.309263,34.358204,,,,True,Khan Yunis (9 events)
Abu-Njeam Kindergarten,kindergarten,Palestine,PSE,HOTOSM/OSM,31.664036,35.198388,,,,True,Bethlehem (68 events)
סמינר לבנות נווה חנה,school,Palestine,PSE,HOTOSM/OSM,31.656827,35.11866,,,,True,Bethlehem (68 events)
ישיבת אור מנחם,school,Palestine,PSE,HOTOSM/OSM,31.543668,35.122915,,,,True,Hebron (147 events)
Alzahra` Girls School,school,Palestine,PSE,HOTOSM/OSM,32.463549,35.291286,,,,True,Jenin (43 events)
Kafr Laqif,school,Palestine,PSE,HOTOSM/OSM,32.179039,35.092889,,,,False,
Mughtaribi Al-Bireh School,school,Palestine,PSE,HOTOSM/OSM,31.90527,35.215281,,,,True,Al Quds (93 events)
جامعة فلسطين فرع خان يونس,school,Palestine,PSE,HOTOSM/OSM,31.35198,34.321612,,,,True,Khan Yunis (9 events)
Noor Al Huda School,school,Palestine,PSE,HOTOSM/OSM,31.818295,35.266286,,,,True,Ramallah and Al Bireh (150 events)
مدرسة خليفة بن زايد آل نهيان الابتدائية للبنين,school,Palestine,PSE,HOTOSM/OSM,31.543502,34.500662,,,,True,Gaza City (9 events)
نادي المرح,kindergarten,Palestine,PSE,HOTOSM/OSM,31.552513,35.097453,,,,True,Hebron (147 events)
