country_name,Program name,Money spent on this SFP in the most recently completed school year,Currency used for money spent on this SFP,Contribution: National program implementer,Contribution: Nongovernmental program implementer,Contribution: Subnational government,Contribution: Students' families and community',Contribution: Private sector,Contribution: Other,"Contribution: Other, specify",Was funding for this SFP part of the national budget?
Burkina Faso,EDUCO School Canteen Program (Cantine scolaire de EDUCO),70000000.0,XOF,,All,,A small amount,A small amount,,,No
Burkina Faso,National School Canteen Program (Cantine scolaire national),19000000000.0,XOF,All,,All,A small amount,Most,,,Yes
Burkina Faso,Post Primary and Secondary School Canteen Program (Cantine Scolaire du post primaire et Secondaire – CSS),1650000000.0,XOF,All,,,,Some,,,Yes
Burkina Faso,School Canteen Program of the World Food Program (Cantine scolaire du Programme Alimentaire Mondiale – PAM),2500000000.0,XOF,Most,All,A small amount,A small amount,A small amount,,,Yes
Burkina Faso,School Canteens Program MENAPLN/CATHWEL (Cantines scolaires MENAPLN/CATHWEL),20000000000.0,XOF,Most,All,A small amount,A small amount,A small amount,,,Yes
Burundi,National School Feeding Program (Programme National d'Alimentation Scolaire – PNAS),20000000.0,USD,Some,Most,A small amount,Most,,,,Yes
Cameroon,McGovern-Dole International Food for Education and Child Nutrition Program,2786100384.0,XAF,,Some,A small amount,Some,,Most,USDA,No
Cameroon,School Feeding Activity - World Food Program,500000.0,USD,,A small amount,,,,,,No
Central African Republic,Emergency School Feeding Program (Programme de cantine scolaire d'urgence – ESF),627256.0,USD,Some,A small amount,,,,,,No
Central African Republic,Home Grown School Feeding Program (Programme de cantine scolaire endogène – HGSF),1127256.0,USD,Most,Some,,,,,,No
Chad,Support program for primary education and girls' schooling (Programme d'appui à l'enseignement primaire et à la scolarisation des filles),,,A small amount,Most,,A small amount,,,,Yes
Ethiopia,Home-Grown School Feeding Programme,61884133.6,USD,,Some,Most,Some,,Some,WFP,No
Ethiopia,Traditional (In-kind) School Feeding Programme,16000000.0,USD,Some,,Some,Some,,Most,WFP,No
Haiti,National School Canteens Program (Programme National de Cantines Scolaires),,,Some,Most,,,,,,Yes
Mali,McGovern-Dole Food for Education and Child Nutrition Program of Catholic Relief Services (Programme MGD-FFE/CRS),2655849.19,USD,,Most,,A small amount,,,,No
Mali,National School Feeding Program (Programme National de l'Alimentation Scolaire),6436855742.0,XOF,All,,A small amount,A small amount,,,,Yes
Mali,School Feeding Programs of the World Food Program (Programmes Alimentation Scolaire de PAM),17481120.0,USD,,,,,,All,Bailleurs de fonds ,No
Mozambique,Home-Grown School Feeding – HGSF (Alimentação por compras locais),536073.66,USD,,Most,,,,,,No
Mozambique,National School Feeding Program (Programa Nacional de Alimentação Escolar – PRONAE),8000000.0,USD,Some,All,,,,,,No
Mozambique,Together Educating Children (Juntos Educando Crianças),1000000.0,USD,,All,,,,,,No
Niger,School Feeding Program (Programme d'Alimentation Scolaire),16257463559.91,XOF,Some,Most,A small amount,A small amount,A small amount,,,Yes
Nigeria,National Home Grown School Feeding Program (NHGSFP),,NGN,All,,,,,,,Yes
Somalia,Galmudug School Feeding Program,1760910.0,USD,,All,,,,,,No
Somalia,Puntland Home-Grown School Feeding Program,,,,,,,,,,No
Somalia,Somalia School Feeding Program,2185000.0,USD,,All,,A small amount,,,,No
Somalia,Somaliland School Feeding Program,1000000.0,USD,,All,,A small amount,,,,
South Sudan,School Feeding Program,5714241.0,USD,,All,,A small amount,,,,No
Sudan,World Food Programme (WFP) Supported School Feeding Programme,,USD,A small amount,Some,,A small amount,,,,No
Syrian Arab Republic,School Feeding Program,31229328.0,USD,,Most,,,,,,No
