"year","ISO","ISO_No","Country_N","Adm_N","GID_1","HASC","PWC_Lat","PWC_Lon","Pop","Density","Area","PWD_A","PWD_G","PWD_M","PWD_D1","PWD_D2","PWD_D3","PWD_D4","PWD_D5","PWD_D6","PWD_D7","PWD_D8","PWD_D9","PWD_D10"
"2015","RUS","643","Russia","Adygey","RUS.1_1","RU.AD","44.7630577087402","39.8215446472168","508068","65.7","7729.6","1258.9","469.8","545.2","42.3","131.7","232.9","349.8","545.2","921.2","1597.7","2367.3","3836.8","6229.5"
"2015","RUS","643","Russia","Altay","RUS.2_1","RU.AL","52.8239097595215","83.0388946533203","2362272","14.4","164028.3","1657.8","315.1","540.9","5.0","32.8","122.2","275.2","540.9","1053.8","1893.0","3115.5","5047.8","9958.2"
"2015","RUS","643","Russia","Amur","RUS.3_1","RU.AM","51.2263717651367","127.769317626953","805957","2.2","359715.5","1222.8","194.5","352.3","2.9","19.4","70.6","173.6","352.3","724.7","1276.7","2511.6","4408.3","5981.1"
"2015","RUS","643","Russia","Arkhangel'sk","RUS.4_1","RU.AR","63.4350814819336","41.7552947998047","1147817","2.9","394988.9","1796.6","284.0","722.8","3.8","22.2","78.7","239.9","722.8","1438.2","2452.2","3829.1","5501.4","8171.5"
"2015","RUS","643","Russia","Astrakhan'","RUS.5_1","RU.AS","46.6162033081055","47.7508277893066","1027975","23.1","44467.4","2806.8","635.5","1349.0","15.2","73.8","203.3","521.0","1349.0","2506.1","4048.9","6345.3","7782.0","11100.4"
"2015","RUS","643","Russia","Bashkortostan","RUS.6_1","RU.BK","54.422248840332","55.9220008850098","4135569","28.9","142972.6","2295.8","432.7","590.3","11.4","48.4","141.8","303.3","590.3","1191.6","2288.8","4408.3","8230.7","12499.0"
"2015","RUS","643","Russia","Belgorod","RUS.7_1","RU.BL","50.7502632141113","37.2331275939941","1593828","56.6","28182.2","1341.4","341.7","352.1","24.2","81.7","151.7","235.9","352.1","529.8","911.1","1908.4","4665.9","10094.0"
"2015","RUS","643","Russia","Bryansk","RUS.8_1","RU.BR","53.0405693054199","33.7065849304199","1243667","36.5","34077.2","2396.8","537.3","821.9","14.3","72.0","193.1","417.3","821.9","1693.1","2907.8","4220.5","7499.8","18425.9"
"2015","RUS","643","Russia","Buryat","RUS.9_1","RU.BU","51.9816436767578","107.610046386719","988799","3.0","329967.4","1512.5","188.9","322.6","2.4","12.6","45.2","127.7","322.6","839.1","1786.5","3047.0","5262.3","7513.7"
"2015","RUS","643","Russia","Chechnya","RUS.10_1","RU.CN","43.2694702148438","45.8266525268555","1352870","89.7","15078.4","865.2","435.0","604.3","54.2","146.5","270.4","420.8","604.3","818.9","1075.9","1426.0","2002.2","7555.1"
"2015","RUS","643","Russia","Chelyabinsk","RUS.11_1","RU.CL","54.7868270874023","60.5505790710449","3476550","40.5","85923.4","2419.0","739.0","1197.3","37.7","139.4","333.5","684.2","1197.3","1910.9","3220.9","5202.7","7416.5","9321.7"
"2015","RUS","643","Russia","Chuvash","RUS.13_1","RU.CV","55.8188285827637","47.2351455688477","1244487","69.2","17979.1","2883.6","754.1","1309.8","28.5","110.4","238.4","506.9","1309.8","2333.2","3641.0","5817.5","8579.7","13227.5"
"2015","RUS","643","Russia","City of St. Petersburg","RUS.14_1","RU.SP","59.9122772216797","30.3115673065186","4748665","2383.5","1992.3","12966.3","8745.4","11891.3","1969.8","4773.9","7119.6","9537.1","11891.3","14173.8","16948.2","20354.3","24614.5","54563.2"
"2015","RUS","643","Russia","Dagestan","RUS.15_1","RU.DA","42.7312393188477","47.3154716491699","3189539","65.5","48661.5","5588.0","787.8","957.3","28.0","81.3","232.3","505.4","957.3","1781.1","3819.7","7298.8","12878.5","106485.9"
