"year","ISO","ISO_No","Country_N","Adm_N","GID_1","HASC","PWC_Lat","PWC_Lon","Pop","Density","Area","PWD_A","PWD_G","PWD_M","PWD_D1","PWD_D2","PWD_D3","PWD_D4","PWD_D5","PWD_D6","PWD_D7","PWD_D8","PWD_D9","PWD_D10"
"2010","RUS","643","Russia","Adygey","RUS.1_1","RU.AD","44.7667274475098","39.816463470459","512841","66.3","7729.6","1272.5","450.7","531.9","36.4","102.9","187.9","312.7","531.9","1001.1","1777.3","2497.3","3759.5","6385.2"
"2010","RUS","643","Russia","Altay","RUS.2_1","RU.AL","52.8235397338867","83.0354156494141","2429659","14.8","164028.3","1513.6","305.5","515.8","6.9","33.9","105.5","251.4","515.8","1020.5","1787.3","2928.4","4775.3","9232.0"
"2010","RUS","643","Russia","Amur","RUS.3_1","RU.AM","51.2226066589355","127.768188476562","833332","2.3","359715.5","1163.4","196.2","336.7","4.2","21.5","62.9","162.2","336.7","723.0","1270.9","2304.1","4238.7","5294.5"
"2010","RUS","643","Russia","Arkhangel'sk","RUS.4_1","RU.AR","63.4293746948242","41.7528305053711","1188586","3.0","394988.9","1674.2","296.5","753.9","5.4","26.7","79.2","264.2","753.9","1461.1","2300.7","3487.5","5058.6","7494.6"
"2010","RUS","643","Russia","Astrakhan'","RUS.5_1","RU.AS","46.6145973205566","47.7490730285645","1007086","22.6","44467.4","2713.8","626.0","1351.5","19.6","68.0","185.8","480.6","1351.5","2408.2","3917.4","6188.4","7679.5","9931.8"
"2010","RUS","643","Russia","Bashkortostan","RUS.6_1","RU.BK","54.4237098693848","55.9211959838867","4080132","28.5","142972.6","2045.2","413.5","622.2","12.8","44.9","128.9","303.8","622.2","1180.2","2144.5","3801.9","6924.0","11670.0"
"2010","RUS","643","Russia","Belgorod","RUS.7_1","RU.BL","50.7518997192383","37.2300148010254","1551401","55.0","28182.2","1217.8","308.4","327.0","22.1","65.6","126.8","210.4","327.0","500.0","824.5","1722.0","4338.3","8518.5"
"2010","RUS","643","Russia","Bryansk","RUS.8_1","RU.BR","53.0405197143555","33.7050437927246","1279886","37.6","34077.2","2587.2","574.8","958.7","16.7","72.0","194.5","467.7","958.7","1827.4","3002.4","4396.0","8142.6","17107.5"
"2010","RUS","643","Russia","Buryat","RUS.9_1","RU.BU","51.9799346923828","107.611602783203","976230","3.0","329967.4","1403.1","193.2","325.2","2.7","16.3","50.8","130.0","325.2","827.2","1714.2","2796.4","5055.1","6842.0"
"2010","RUS","643","Russia","Chechnya","RUS.10_1","RU.CN","43.2694282531738","45.8233680725098","1216494","80.7","15078.4","719.0","350.8","453.5","50.4","98.8","181.8","301.5","453.5","659.2","925.6","1241.7","1737.7","5648.8"
"2010","RUS","643","Russia","Chelyabinsk","RUS.11_1","RU.CL","54.7870254516602","60.550350189209","3489512","40.6","85923.4","2285.7","692.8","1159.3","31.9","120.2","323.3","688.3","1159.3","1785.8","2789.0","4518.4","7375.3","8857.8"
"2010","RUS","643","Russia","Chuvash","RUS.13_1","RU.CV","55.8186264038086","47.2359580993652","1259153","70.0","17979.1","2508.5","662.1","1368.7","27.8","73.5","167.4","441.2","1368.7","2390.3","3401.8","4936.6","7286.4","12663.7"
"2010","RUS","643","Russia","City of St. Petersburg","RUS.14_1","RU.SP","59.9120101928711","30.3114032745361","4527330","2272.4","1992.3","12218.2","8193.0","11212.9","1823.4","4392.4","6593.9","8888.3","11212.9","13490.8","16039.7","19134.5","23178.4","50041.5"
"2010","RUS","643","Russia","Dagestan","RUS.15_1","RU.DA","42.7286148071289","47.3156433105469","2901727","59.6","48661.5","4887.9","649.0","653.3","31.1","71.6","137.4","285.5","653.3","1607.2","3834.2","6623.8","11583.6","88507.1"
"2010","RUS","643","Russia","Gorno-Altay","RUS.16_1","RU.GA","51.3449172973633","86.2585296630859","207452","2.2","92205.6","577.6","52.3","75.3","0.8","2.6","8.4","27.7","75.3","176.7","392.9","1005.8","2072.6","4596.4"
"2010","RUS","643","Russia","Ingush","RUS.17_1","RU.IN","43.2754592895508","44.931583404541","470501","146.1","3219.5","1156.8","562.6","763.6","71.7","161.6","295.5","494.6","763.6","1075.3","1405.4","1939.0","2899.1","7321.2"
"2010","RUS","643","Russia","Irkutsk","RUS.18_1","RU.IK","53.9690742492676","103.270690917969","2440935","3.3","749108.4","1605.9","338.1","708.0","10.1","40.0","118.8","317.0","708.0","1198.0","1982.3","3153.7","4932.4","7410.5"
"2010","RUS","643","Russia","Ivanovo","RUS.19_1","RU.IV","57.0432815551758","41.3424873352051","1083651","47.7","22726.1","2735.2","843.9","1836.0","25.0","122.6","406.3","1131.3","1836.0","2617.3","3742.4","5373.4","7544.6","9608.6"
"2010","RUS","643","Russia","Kabardin-Balkar","RUS.20_1","RU.KB","43.5500755310059","43.7006340026855","854530","73.1","11692.5","2209.8","650.5","764.4","40.8","116.6","228.9","410.6","764.4","1785.6","2957.3","4541.1","6373.1","10891.8"
"2010","RUS","643","Russia","Kaliningrad","RUS.21_1","RU.KN","54.7259559631348","20.830171585083","945978","70.3","13465.7","2079.6","677.8","1159.0","32.6","110.7","276.8","624.2","1159.0","1952.2","2950.5","4276.4","5888.8","8430.3"
"2010","RUS","643","Russia","Kalmyk","RUS.22_1","RU.KL","46.4036674499512","44.5642204284668","291425","4.0","73092.4","798.5","91.3","171.9","1.2","3.9","18.3","63.0","171.9","357.6","618.9","1535.0","3135.8","4469.4"
"2010","RUS","643","Russia","Kaluga","RUS.23_1","RU.KG","54.5725135803223","36.0025901794434","1023568","35.5","28817.0","1323.8","388.0","531.7","21.3","77.8","169.4","315.7","531.7","888.8","1433.8","2361.6","4400.0","7505.4"
"2010","RUS","643","Russia","Kamchatka","RUS.24_1","RU.KQ","53.6394729614258","158.874755859375","323412","0.7","451948.7","1698.9","266.1","801.7","1.2","34.9","123.5","308.1","801.7","1723.2","2697.7","3573.0","4587.1","7239.7"
"2010","RUS","643","Russia","Karachay-Cherkess","RUS.25_1","RU.KC","44.0116996765137","42.1436042785645","615111","41.0","14999.4","2190.9","627.7","887.8","28.3","117.3","248.1","441.2","887.8","1904.2","3539.3","4833.6","5654.3","10867.9"
"2010","RUS","643","Russia","Karelia","RUS.26_1","RU.KI","62.451473236084","33.6379508972168","645949","4.5","142138.2","1732.1","198.4","270.0","3.1","14.1","39.8","100.4","270.0","773.6","2186.3","3908.6","5737.3","9387.0"
"2010","RUS","643","Russia","Kemerovo","RUS.27_1","RU.KE","54.610725402832","86.6112289428711","2775498","29.2","94889.8","1892.4","670.1","1133.8","35.5","168.9","410.3","730.2","1133.8","1601.5","2216.7","3203.3","5069.0","9594.0"
"2010","RUS","643","Russia","Khabarovsk","RUS.28_1","RU.KH","49.3768882751465","136.145111083984","1357403","1.8","771475.8","2140.4","537.9","1360.3","14.5","87.9","286.2","744.6","1360.3","2068.7","3004.0","4279.4","6093.5","7274.5"
"2010","RUS","643","Russia","Khakass","RUS.29_1","RU.KK","53.5926818847656","90.7906341552734","354305","6.0","59100.7","889.0","159.1","191.6","5.9","24.0","52.5","100.5","191.6","392.0","856.4","1583.6","3090.8","5476.7"
"2010","RUS","643","Russia","Khanty-Mansiy","RUS.30_1","RU.KM","61.4317893981934","71.5743789672852","1539147","3.1","504442.6","250.2","57.3","64.3","4.0","11.3","23.6","40.0","64.3","103.8","182.3","388.7","888.6","2146.5"
"2010","RUS","643","Russia","Kirov","RUS.31_1","RU.KV","58.3654289245605","49.7623023986816","1334066","11.2","118666.7","1294.2","286.1","572.4","6.1","32.6","112.0","282.8","572.4","986.4","1534.2","2423.3","4091.0","6548.5"
"2010","RUS","643","Russia","Komi","RUS.32_1","RU.KO","63.4956283569336","54.1595649719238","905129","2.2","411724.2","1044.2","136.5","223.3","2.3","13.6","38.3","96.5","223.3","505.4","953.3","1735.4","3464.6","7873.3"
"2010","RUS","643","Russia","Kostroma","RUS.33_1","RU.KT","58.0039329528809","42.1212882995605","670616","11.3","59456.2","2028.5","396.8","892.3","7.4","38.3","132.2","380.7","892.3","1444.6","2399.3","4386.7","6618.7","8433.7"
"2010","RUS","643","Russia","Krasnodar","RUS.34_1","RU.KD","45.0893783569336","39.2711181640625","5221996","69.7","74878.6","1253.9","399.0","470.9","30.3","81.4","165.5","285.7","470.9","801.9","1358.0","2159.9","3739.5","8926.8"
