Country,Admin1,Admin2,Year,Events,Fatalities
Haiti,Artibonite,Dessalines,2018,1,0
Haiti,Artibonite,Dessalines,2019,5,1
Haiti,Artibonite,Dessalines,2020,7,5
Haiti,Artibonite,Dessalines,2021,2,6
Haiti,Artibonite,Dessalines,2022,18,76
Haiti,Artibonite,Dessalines,2023,20,28
Haiti,Artibonite,Dessalines,2024,43,332
Haiti,Artibonite,Dessalines,2025,50,217
Haiti,Artibonite,Dessalines,2026,10,61
Haiti,Artibonite,Gonaives,2018,2,1
Haiti,Artibonite,Gonaives,2019,12,8
Haiti,Artibonite,Gonaives,2020,11,4
Haiti,Artibonite,Gonaives,2021,12,9
Haiti,Artibonite,Gonaives,2022,3,0
Haiti,Artibonite,Gonaives,2023,30,10
Haiti,Artibonite,Gonaives,2024,22,20
Haiti,Artibonite,Gonaives,2025,10,24
Haiti,Artibonite,Gonaives,2026,0,0
Haiti,Artibonite,Gros Morne,2018,2,1
Haiti,Artibonite,Gros Morne,2019,1,0
Haiti,Artibonite,Gros Morne,2020,5,5
Haiti,Artibonite,Gros Morne,2021,6,0
Haiti,Artibonite,Gros Morne,2022,11,2
Haiti,Artibonite,Gros Morne,2023,7,1
Haiti,Artibonite,Gros Morne,2024,12,12
Haiti,Artibonite,Gros Morne,2025,11,32
Haiti,Artibonite,Gros Morne,2026,0,0
Haiti,Artibonite,Marmelade,2018,2,2
Haiti,Artibonite,Marmelade,2019,2,3
Haiti,Artibonite,Marmelade,2020,0,0
Haiti,Artibonite,Marmelade,2021,0,0
Haiti,Artibonite,Marmelade,2022,0,0
Haiti,Artibonite,Marmelade,2023,0,0
Haiti,Artibonite,Marmelade,2024,1,3
Haiti,Artibonite,Marmelade,2025,1,0
Haiti,Artibonite,Marmelade,2026,0,0
Haiti,Artibonite,Saint Marc,2018,0,0
Haiti,Artibonite,Saint Marc,2019,9,7
Haiti,Artibonite,Saint Marc,2020,8,7
Haiti,Artibonite,Saint Marc,2021,3,2
Haiti,Artibonite,Saint Marc,2022,9,8
Haiti,Artibonite,Saint Marc,2023,42,82
Haiti,Artibonite,Saint Marc,2024,13,149
Haiti,Artibonite,Saint Marc,2025,54,107
Haiti,Artibonite,Saint Marc,2026,9,11
Haiti,Centre,Cerca La Source,2018,1,0
Haiti,Centre,Cerca La Source,2019,0,0
Haiti,Centre,Cerca La Source,2020,1,0
Haiti,Centre,Cerca La Source,2021,0,0
Haiti,Centre,Cerca La Source,2022,1,1
Haiti,Centre,Cerca La Source,2023,2,3
Haiti,Centre,Cerca La Source,2024,0,0
Haiti,Centre,Cerca La Source,2025,0,0
Haiti,Centre,Cerca La Source,2026,0,0
Haiti,Centre,Hinche,2018,0,0
Haiti,Centre,Hinche,2019,2,0
Haiti,Centre,Hinche,2020,5,0
Haiti,Centre,Hinche,2021,6,1
Haiti,Centre,Hinche,2022,2,8
Haiti,Centre,Hinche,2023,2,2
Haiti,Centre,Hinche,2024,2,3
Haiti,Centre,Hinche,2025,7,8
Haiti,Centre,Hinche,2026,0,0
Haiti,Centre,Lascahobas,2018,0,0
Haiti,Centre,Lascahobas,2019,1,0
Haiti,Centre,Lascahobas,2020,1,4
Haiti,Centre,Lascahobas,2021,2,1
Haiti,Centre,Lascahobas,2022,1,0
Haiti,Centre,Lascahobas,2023,3,2
Haiti,Centre,Lascahobas,2024,2,2
Haiti,Centre,Lascahobas,2025,3,3
Haiti,Centre,Lascahobas,2026,3,5
Haiti,Centre,Mirebalais,2018,3,4
Haiti,Centre,Mirebalais,2019,6,3
Haiti,Centre,Mirebalais,2020,2,4
Haiti,Centre,Mirebalais,2021,0,0
Haiti,Centre,Mirebalais,2022,2,1
Haiti,Centre,Mirebalais,2023,5,22
Haiti,Centre,Mirebalais,2024,14,14
Haiti,Centre,Mirebalais,2025,37,70
Haiti,Centre,Mirebalais,2026,5,4
Haiti,Grande-Anse,Anse-d'Hainault,2018,1,1
Haiti,Grande-Anse,Anse-d'Hainault,2019,1,0
Haiti,Grande-Anse,Anse-d'Hainault,2020,1,0
Haiti,Grande-Anse,Anse-d'Hainault,2021,2,0
Haiti,Grande-Anse,Anse-d'Hainault,2022,2,2
Haiti,Grande-Anse,Anse-d'Hainault,2023,1,1
Haiti,Grande-Anse,Anse-d'Hainault,2024,3,4
Haiti,Grande-Anse,Anse-d'Hainault,2025,0,0
Haiti,Grande-Anse,Anse-d'Hainault,2026,0,0
Haiti,Grande-Anse,Corail,2018,2,2
Haiti,Grande-Anse,Corail,2019,0,0
Haiti,Grande-Anse,Corail,2020,0,0
Haiti,Grande-Anse,Corail,2021,2,0
Haiti,Grande-Anse,Corail,2022,0,0
Haiti,Grande-Anse,Corail,2023,0,0
Haiti,Grande-Anse,Corail,2024,2,1
Haiti,Grande-Anse,Corail,2025,4,6
Haiti,Grande-Anse,Corail,2026,1,1
Haiti,Grande-Anse,Jeremie,2018,1,0
Haiti,Grande-Anse,Jeremie,2019,0,0
Haiti,Grande-Anse,Jeremie,2020,8,4
Haiti,Grande-Anse,Jeremie,2021,6,4
Haiti,Grande-Anse,Jeremie,2022,1,1
Haiti,Grande-Anse,Jeremie,2023,6,3
Haiti,Grande-Anse,Jeremie,2024,6,21
Haiti,Grande-Anse,Jeremie,2025,1,1
Haiti,Grande-Anse,Jeremie,2026,0,0
Haiti,Nippes,Anse-a-Veau,2018,0,0
Haiti,Nippes,Anse-a-Veau,2019,1,0
Haiti,Nippes,Anse-a-Veau,2020,2,4
Haiti,Nippes,Anse-a-Veau,2021,1,0
Haiti,Nippes,Anse-a-Veau,2022,1,1
Haiti,Nippes,Anse-a-Veau,2023,1,0
Haiti,Nippes,Anse-a-Veau,2024,0,0
Haiti,Nippes,Anse-a-Veau,2025,0,0
Haiti,Nippes,Anse-a-Veau,2026,0,0
Haiti,Nippes,Baraderes,2018,0,0
Haiti,Nippes,Baraderes,2019,0,0
Haiti,Nippes,Baraderes,2020,0,0
Haiti,Nippes,Baraderes,2021,0,0
Haiti,Nippes,Baraderes,2022,0,0
Haiti,Nippes,Baraderes,2023,0,0
Haiti,Nippes,Baraderes,2024,0,0
Haiti,Nippes,Baraderes,2025,0,0
Haiti,Nippes,Baraderes,2026,0,0
Haiti,Nippes,Miragoane,2018,1,1
Haiti,Nippes,Miragoane,2019,3,1
Haiti,Nippes,Miragoane,2020,4,3
Haiti,Nippes,Miragoane,2021,1,1
Haiti,Nippes,Miragoane,2022,5,2
Haiti,Nippes,Miragoane,2023,5,10
Haiti,Nippes,Miragoane,2024,2,1
Haiti,Nippes,Miragoane,2025,5,4
Haiti,Nippes,Miragoane,2026,0,0
Haiti,Nord,Acul Du Nord,2018,0,0
Haiti,Nord,Acul Du Nord,2019,1,3
Haiti,Nord,Acul Du Nord,2020,3,2
Haiti,Nord,Acul Du Nord,2021,2,2
Haiti,Nord,Acul Du Nord,2022,2,3
Haiti,Nord,Acul Du Nord,2023,1,1
Haiti,Nord,Acul Du Nord,2024,2,3
Haiti,Nord,Acul Du Nord,2025,1,1
Haiti,Nord,Acul Du Nord,2026,0,0
Haiti,Nord,Borgne,2018,0,0
Haiti,Nord,Borgne,2019,0,0
Haiti,Nord,Borgne,2020,0,0
Haiti,Nord,Borgne,2021,0,0
Haiti,Nord,Borgne,2022,0,0
Haiti,Nord,Borgne,2023,0,0
Haiti,Nord,Borgne,2024,0,0
Haiti,Nord,Borgne,2025,0,0
Haiti,Nord,Borgne,2026,0,0
Haiti,Nord,Cap Haitien,2018,4,3
Haiti,Nord,Cap Haitien,2019,7,5
Haiti,Nord,Cap Haitien,2020,8,5
Haiti,Nord,Cap Haitien,2021,5,5
Haiti,Nord,Cap Haitien,2022,4,1
Haiti,Nord,Cap Haitien,2023,10,12
Haiti,Nord,Cap Haitien,2024,10,9
Haiti,Nord,Cap Haitien,2025,7,5
Haiti,Nord,Cap Haitien,2026,5,3
Haiti,Nord,Grande Riviere Du Nord,2018,0,0
Haiti,Nord,Grande Riviere Du Nord,2019,0,0
Haiti,Nord,Grande Riviere Du Nord,2020,0,0
Haiti,Nord,Grande Riviere Du Nord,2021,1,0
Haiti,Nord,Grande Riviere Du Nord,2022,0,0
Haiti,Nord,Grande Riviere Du Nord,2023,0,0
Haiti,Nord,Grande Riviere Du Nord,2024,0,0
Haiti,Nord,Grande Riviere Du Nord,2025,1,2
Haiti,Nord,Grande Riviere Du Nord,2026,0,0
Haiti,Nord,Limbe,2018,1,1
Haiti,Nord,Limbe,2019,1,0
Haiti,Nord,Limbe,2020,0,0
Haiti,Nord,Limbe,2021,1,0
Haiti,Nord,Limbe,2022,0,0
Haiti,Nord,Limbe,2023,2,1
Haiti,Nord,Limbe,2024,1,1
Haiti,Nord,Limbe,2025,4,3
Haiti,Nord,Limbe,2026,1,1
Haiti,Nord,Plaisance,2018,0,0
Haiti,Nord,Plaisance,2019,0,0
Haiti,Nord,Plaisance,2020,0,0
Haiti,Nord,Plaisance,2021,0,0
