country_name,World Bank income group,Is student attendance recorded?,Can individual students who received school feeding be linked to attendance?,Describe impacts of school feeding on students,Did your country have a national school feeding program?,total_children_fed,pct_coverage,prop_preschool_fed,prop_primary_fed,prop_secondary_fed,prop_preschool_students_fed,prop_primary_students_fed,prop_secondary_students_fed,Fatalities,Events
Andorra,High income,Yes,Yes,,Yes,,,,,,,,,,
Angola,Lower middle income,Yes,,,Yes,,,,,,,,,,
Antigua and Barbuda,High income,Yes,,"The students are able to concentrate better when they are not hungry.
",Yes,,,,,,,,,,
Argentina,Upper middle income,Yes,Yes,"Mejora enla cobertura aliemntaria, especialmente de desayunos, con aumento de frutas y especialelmente de fibra, y proteinas, que eran insuficientes.",Yes,,,,,,,,,,
Armenia,Upper middle income,Yes,,,Yes,,,,,,,,,,
Australia,High income,Yes,,,Yes,,,,,,,,,,
Austria,High income,Yes,,,Yes,,,,,,,,,,
Bangladesh,Lower middle income,Yes,Yes,Reduce the prevalence of anemia; enrollment & attendance increase; dropout rate reduced; primary cycle completion rate increased; help to stay children at schools which improved the learning hours,Yes,,,,,,,,,,
Barbados,High income,Yes,,The annual net benefit analysis of the SMP demonstrates that the SMP is justified from a social welfare perspective with a benefit-cost ratio of 1.66,Yes,,,,,,,,,,
Belgium,High income,Yes,,,Yes,,,,,,,,,,
Belize,Lower middle income,Yes,,,Yes,,,,,,,,,,
Benin,Lower middle income,Yes,Yes,Analyse Coût Bénéfice de l'Alimentation Scolaire au Bénin avec Mastercard (2018); diagnostic de l'alimentation scolaire au Bénin avec l'outil SABER (2014 et 2017); diagnostic des contraintes et recommandations pour le fonctionnement du projet d'alimentation scolaire du Gouvernement (avril 2017),Yes,835453.0,21.0760440826416,1.6117002964019775,40.31861114501953,0.0,7.372763633728027,50.67291259765625,0.0,,
Bhutan,Lower middle income,Yes,,,Yes,,,,,,,,,,
Bosnia and Herzegovina,Upper middle income,Yes,,,Yes,,,,,,,,,,
Botswana,Upper middle income,Yes,Yes,"ISSUES OF STOCK-OUTS, INADEQUATE STORAGES. These were the findings from UNICEF when undertaking a study, which were advising that, even though the feeding programme is impactful on pupils, there is need to address issues of stock-outs and storages. Studies have noted that the programme addresses hunger and keeps pupils at school i.e Botswana Institute for Development Policy Analysis study on the National Primary School Feeding Programme.",Yes,,,,,,,,,,
Brazil,Upper middle income,Yes,Yes,"As dificuldades logísticas para efetuar o PNAE fora do ambiente escolar formaram  apontadas
pelas entidades executoras do Programa, o que, por sua vez,
além dos desafios para operacionalização da distribuição, também podem afetar o custo per capita, em função da necessidade de previsão de, por exemplo, itens de higiene pessoal e
equipamentos de proteção individual.
A não oferta de alimentação escolar decorreu, nesse contexto,
em primeiro lugar, da não realização de licitações para compra de alimentos; depois, do planejamento ainda em curso para
realização da distribuição de alimentos e por último, por insegurança e medo da contaminação por Covid-19.",Yes,,,,,,,,,,
Brunei,High income,Yes,Yes,No Comment,Yes,,,,,,,,,,
Bulgaria,Upper middle income,,,"The legislative and policy measures initiated within the period 2008–2016 have led to significant improvement in the profile of foods and drinks available at the school premises, as well as higher involvement of the schools in initiatives promoting healthy lifestyles. ",Yes,,,,,,,,,,
Burkina Faso,Low income,Yes,Yes,planification de la cantine endogène,Yes,3689774.0,53.0,4.5256524085998535,99.6386489868164,3.4600322246551514,71.0143051147461,100.0,8.530033111572266,10836.0,3802.0
Burundi,Low income,Yes,Yes,ne étude d'IMPACT DE LA CANTINE SCOLAIRE vient d'être faite par le Centre d'Excellence sous Régional en Sciences de la Nutrition l'EANSI) au mois de septembre 2021.Cette étude montre que le Programme National des Cantines Scolaires au Burundi participe à l'amélioration des indicateurs scolaires et des revenus du monde rural regroupé dans les coop^ératives de production à partir desquelles des achats locaux sont faits pour approvisionner les écoles à cantine zscolaire,Yes,,,,,,,,,11172.0,6725.0
Cabo Verde,Lower middle income,Yes,,,Yes,85117.0,64.44402313232422,65.10185241699219,87.32493591308594,3.1512255668640137,66.56585693359375,84.54032135009766,3.184072971343994,,
Cambodia,Lower middle income,No,,Baseline of USDA projects (MGD and LRP) and KOICA project.,Yes,,,,,,,,,,
Cameroon,Lower middle income,Yes,,,Yes,,,,,,,,,7437.0,10521.0
Central African Republic,Low income,Yes,Yes,,Yes,,,,,,,,,9803.0,3951.0
Chad,Low income,Yes,Yes,"- augmentation de taux de scolarisation et de fréquentation des élèves durtout les filles 

- l'assiduité des élèves 

- dimunition de mariage pécoce ",Yes,,,,,,,,,2336.0,774.0
Chile,High income,Yes,,"De acuerdo al estudio de satisfacción usuaria del Programa de Alimentación Escolar (PAE) del año 2019, da cuenta de una satisfacción general alrededor del 70% con el programa y entre 56 y 62% de satisfacción con la comida, dependiendo del ciclo educativo  en el cual se encuentre. (Fuente: https://www.junaeb.cl/wp-content/uploads/2018/12/Estudio-de-Satisfacci%C3%B3n-Usuaria-del-Programa-de-Alimentaci%C3%B3n-Escolar-2019.pdf)",Yes,,,,,,,,,,
China,Upper middle income,Yes,,The number of undernourished decreased,Yes,,,,,,,,,,
Congo,Low income,Yes,Yes,,Yes,,,,,,,,,,
Cote D'Ivoire,Lower middle income,Yes,Yes,"L'impact des cantines scolaires se traduit aujourd'hui par des résultats relevants au niveau des différents indicateurs éducatifs, à savoir la réduction du taux d'abandon, le taux d'accroissement moyen des élèves, le taux d'assiduité des élèves et la réussite au CEPE, amélioration de la parité fille/garçon.",Yes,1024401.0,12.43587875366211,0.0,25.091054916381836,0.0,0.0,24.968185424804688,0.0,,
Croatia,High income,Yes,Yes,,Yes,,,,,,,,,,
Cyprus,High income,Yes,Yes,,Yes,,,,,,,,,,
Czech Republic,High income,Yes,,,Yes,,,,,,,,,,
Denmark,High income,,,,No,,,,,,,,,,
