Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities
Mozambique,Zambezia,Gile,MOZ,MZ1105,MZ11,January,1997,0,0
Mozambique,Manica,Tambara,MOZ,MZ0411,MZ04,January,1997,0,0
Mozambique,Gaza,Guija,MOZ,MZ0208,MZ02,January,1997,0,0
Mozambique,Gaza,Mandlakaze,MOZ,MZ0211,MZ02,January,1997,0,0
Mozambique,Tete,Cahora Bassa,MOZ,MZ1002,MZ10,January,1997,0,0
Mozambique,Tete,Maravia,MOZ,MZ1011,MZ10,January,1997,0,0
Mozambique,Manica,Machaze,MOZ,MZ0406,MZ04,January,1997,0,0
Mozambique,Cabo Delgado,Chiure,MOZ,MZ0103,MZ01,January,1997,0,0
Mozambique,Nampula,Nampula,MOZ,MZ0702,MZ07,January,1997,0,0
Mozambique,Gaza,Mabalane,MOZ,MZ0210,MZ02,January,1997,0,0
Mozambique,Nampula,Nacala-A-Velha,MOZ,MZ0720,MZ07,January,1997,0,0
Mozambique,Sofala,Machanga,MOZ,MZ0909,MZ09,January,1997,0,0
Mozambique,Tete,Angonia,MOZ,MZ1001,MZ10,January,1997,0,0
Mozambique,Niassa,Ngauma,MOZ,MZ0817,MZ08,January,1997,0,0
Mozambique,Nampula,Monapo,MOZ,MZ0715,MZ07,January,1997,0,0
Mozambique,Tete,Chiuta,MOZ,MZ1005,MZ10,January,1997,0,0
Mozambique,Zambezia,Lugela,MOZ,MZ1110,MZ11,January,1997,0,0
Mozambique,Inhambane,Mabote,MOZ,MZ0308,MZ03,January,1997,0,0
Mozambique,Zambezia,Maganja Da Costa,MOZ,MZ1111,MZ11,January,1997,0,0
Mozambique,Cabo Delgado,Montepuez,MOZ,MZ0111,MZ01,January,1997,0,0
Mozambique,Zambezia,Maquival,MOZ,MZ1112,MZ11,January,1997,0,0
Mozambique,Cabo Delgado,Meluco,MOZ,MZ0108,MZ01,January,1997,0,0
Mozambique,Cabo Delgado,Metuge,MOZ,MZ0109,MZ01,January,1997,0,0
Mozambique,Inhambane,Morrumbene,MOZ,MZ0311,MZ03,January,1997,0,0
Mozambique,Zambezia,Nicoadala,MOZ,MZ1122,MZ11,January,1997,0,0
Mozambique,Nampula,Moma,MOZ,MZ0714,MZ07,January,1997,0,0
Mozambique,Sofala,Chibabava,MOZ,MZ0905,MZ09,January,1997,0,0
Mozambique,Niassa,Muembe,MOZ,MZ0816,MZ08,January,1997,0,0
