Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities
Palestine,West Bank,Jenin,PSE,PS0101,PS01,January,2016,0,0
Palestine,West Bank,Jericho,PSE,PS0135,PS01,January,2016,0,0
Palestine,West Bank,Qalqilya,PSE,PS0120,PS01,January,2016,1,0
Palestine,West Bank,Salfit,PSE,PS0125,PS01,January,2016,3,2
Palestine,West Bank,Nablus,PSE,PS0115,PS01,January,2016,1,0
Palestine,West Bank,Ramallah and Al Bireh,PSE,PS0130,PS01,January,2016,4,3
Palestine,Gaza Strip,Rafah,PSE,PS0275,PS02,January,2016,0,0
Palestine,Gaza Strip,Khan Yunis,PSE,PS0270,PS02,January,2016,0,0
Palestine,West Bank,Bethlehem,PSE,PS0145,PS01,January,2016,1,1
Palestine,Gaza Strip,Gaza City,PSE,PS0260,PS02,January,2016,1,0
Palestine,Gaza Strip,Deir El Balah,PSE,PS0265,PS02,January,2016,1,0
Palestine,Gaza Strip,North Gaza,PSE,PS0255,PS02,January,2016,1,0
Palestine,West Bank,Al Quds,PSE,PS0140,PS01,January,2016,5,0
Palestine,West Bank,Hebron,PSE,PS0150,PS01,January,2016,3,2
Palestine,West Bank,Tulkarm,PSE,PS0110,PS01,January,2016,0,0
Palestine,West Bank,Tubas,PSE,PS0105,PS01,January,2016,1,0
Palestine,West Bank,Jenin,PSE,PS0101,PS01,February,2016,0,0
Palestine,West Bank,Jericho,PSE,PS0135,PS01,February,2016,1,1
Palestine,West Bank,Qalqilya,PSE,PS0120,PS01,February,2016,1,0
Palestine,West Bank,Salfit,PSE,PS0125,PS01,February,2016,0,0
Palestine,West Bank,Nablus,PSE,PS0115,PS01,February,2016,2,0
Palestine,West Bank,Ramallah and Al Bireh,PSE,PS0130,PS01,February,2016,1,0
Palestine,Gaza Strip,Rafah,PSE,PS0275,PS02,February,2016,0,0
Palestine,Gaza Strip,Khan Yunis,PSE,PS0270,PS02,February,2016,0,0
Palestine,West Bank,Bethlehem,PSE,PS0145,PS01,February,2016,4,0
Palestine,Gaza Strip,Gaza City,PSE,PS0260,PS02,February,2016,2,0
Palestine,Gaza Strip,Deir El Balah,PSE,PS0265,PS02,February,2016,0,0
Palestine,Gaza Strip,North Gaza,PSE,PS0255,PS02,February,2016,1,0
Palestine,West Bank,Al Quds,PSE,PS0140,PS01,February,2016,3,2
