Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities,Latitude,Longitude
Venezuela,Amazonas,Atures,VEN,VE0203,VE02,January,2018,0,0,,
Venezuela,Amazonas,Maroa,VEN,VE0205,VE02,January,2018,0,0,,
Venezuela,Amazonas,Rio Negro,VEN,VE0207,VE02,January,2018,0,0,,
Venezuela,Anzoategui,Jose Gregorio Monagas,VEN,VE0310,VE03,January,2018,0,0,,
Venezuela,Anzoategui,Simon Bolivar,VEN,VE0318,VE03,January,2018,0,0,10.1397008,-64.6686926
Venezuela,Anzoategui,Turistico Diego Bautista Urbaneja,VEN,VE0321,VE03,January,2018,0,0,10.1980664,-64.6938987
Venezuela,Apure,Pedro Camejo,VEN,VE0405,VE04,January,2018,0,0,,
Venezuela,Aragua,Francisco Linares Alcantara,VEN,VE0517,VE05,January,2018,0,0,,
Venezuela,Aragua,Urdaneta,VEN,VE0515,VE05,January,2018,0,0,,
Venezuela,Barinas,Ezequiel Zamora,VEN,VE0607,VE06,January,2018,0,0,,
Venezuela,Bolivar,Gran Sabana,VEN,VE0704,VE07,January,2018,0,0,4.6131299,-61.0979771
Venezuela,Bolivar,Sucre,VEN,VE0710,VE07,January,2018,0,0,4.6131299,-61.0979771
Venezuela,Carabobo,Puerto Cabello,VEN,VE0811,VE08,January,2018,0,0,,
Venezuela,Cojedes,Ezequiel Zamora,VEN,VE0908,VE09,January,2018,0,0,,
Venezuela,Cojedes,Lima Blanco,VEN,VE0904,VE09,January,2018,0,0,,
Venezuela,Cojedes,Pao de San Juan Bautista,VEN,VE0905,VE09,January,2018,0,0,,
Venezuela,Cojedes,Tinaquillo,VEN,VE0902,VE09,January,2018,0,0,,
Venezuela,Delta Amacuro,Casacoima,VEN,VE1002,VE10,January,2018,0,0,,
Venezuela,Falcon,Buchivacoa,VEN,VE1103,VE11,January,2018,0,0,,
Venezuela,Falcon,Cacique Manaure,VEN,VE1104,VE11,January,2018,0,0,,
Venezuela,Guarico,Ortiz,VEN,VE1210,VE12,January,2018,0,0,,
Venezuela,Lara,Andres Eloy Blanco,VEN,VE1301,VE13,January,2018,0,0,,
Venezuela,Lara,Crespo,VEN,VE1302,VE13,January,2018,0,0,,
Venezuela,Merida,Justo Briceno,VEN,VE1411,VE14,January,2018,0,0,,
Venezuela,Merida,Tovar,VEN,VE1421,VE14,January,2018,0,0,,
Venezuela,Miranda,Independencia,VEN,VE1511,VE15,January,2018,1,1,,
Venezuela,Miranda,Pedro Gual,VEN,VE1516,VE15,January,2018,0,0,,
Venezuela,Miranda,Plaza,VEN,VE1517,VE15,January,2018,3,3,10.4727337,-66.6158731
Venezuela,Miranda,Zamora,VEN,VE1521,VE15,January,2018,1,0,,
Venezuela,Monagas,Bolivar,VEN,VE1603,VE16,January,2018,0,0,,
Venezuela,Monagas,Cedeno,VEN,VE1605,VE16,January,2018,0,0,,
Venezuela,Sucre,Andres Mata,VEN,VE1902,VE19,January,2018,0,0,,
Venezuela,Tachira,Ayacucho,VEN,VE2003,VE20,January,2018,0,0,,
Venezuela,Tachira,Cordoba,VEN,VE2006,VE20,January,2018,0,0,,
Venezuela,Tachira,Junin,VEN,VE2014,VE20,January,2018,0,0,,
Venezuela,Tachira,Lobatera,VEN,VE2017,VE20,January,2018,0,0,,
Venezuela,Trujillo,La Ceiba,VEN,VE2109,VE21,January,2018,0,0,,
Venezuela,Trujillo,Rafael Rangel,VEN,VE2115,VE21,January,2018,0,0,,
Venezuela,Yaracuy,Bolivar,VEN,VE2202,VE22,January,2018,0,0,,
Venezuela,Yaracuy,Manuel Monge,VEN,VE2208,VE22,January,2018,0,0,,
Venezuela,Zulia,Almirante Padilla,VEN,VE2301,VE23,January,2018,0,0,,
Venezuela,Zulia,Colon,VEN,VE2305,VE23,January,2018,0,0,,
Venezuela,Zulia,Maracaibo,VEN,VE2313,VE23,January,2018,10,10,,
Venezuela,Anzoategui,Libertad,VEN,VE0311,VE03,January,2018,0,0,,
Venezuela,Anzoategui,Simon Rodriguez,VEN,VE0319,VE03,January,2018,0,0,,
Venezuela,Aragua,Camatagua,VEN,VE0502,VE05,January,2018,0,0,,
Venezuela,Aragua,Libertador,VEN,VE0507,VE05,January,2018,0,0,,
Venezuela,Aragua,Santiago Marino,VEN,VE0511,VE05,January,2018,0,0,,
Venezuela,Aragua,Sucre,VEN,VE0513,VE05,January,2018,0,0,,
Venezuela,Barinas,Alberto Arvelo Torrealba,VEN,VE0601,VE06,January,2018,0,0,,
Venezuela,Bolivar,Heres,VEN,VE0705,VE07,January,2018,2,2,,
Venezuela,Carabobo,Libertador,VEN,VE0806,VE08,January,2018,0,0,,
Venezuela,Carabobo,San Joaquin,VEN,VE0813,VE08,January,2018,0,0,,
Venezuela,Carabobo,Valencia,VEN,VE0814,VE08,January,2018,1,1,10.1717611,-67.9832375
Venezuela,Cojedes,Girardot,VEN,VE0903,VE09,January,2018,0,0,,
Venezuela,Cojedes,Tinaco,VEN,VE0909,VE09,January,2018,0,0,,
Venezuela,Distrito Capital,Libertador,VEN,VE0101,VE01,January,2018,15,19,10.4958021,-66.8814847
Venezuela,Falcon,Democracia,VEN,VE1108,VE11,January,2018,0,0,,
Venezuela,Falcon,Mauroa,VEN,VE1113,VE11,January,2018,0,0,,
Venezuela,Falcon,Miranda,VEN,VE1114,VE11,January,2018,0,0,11.4061662,-69.6788588
Venezuela,Falcon,Piritu,VEN,VE1118,VE11,January,2018,0,0,,
Venezuela,Guarico,Jose Tadeo Monagas,VEN,VE1209,VE12,January,2018,0,0,,
Venezuela,Lara,Jimenez,VEN,VE1304,VE13,January,2018,0,0,,
Venezuela,Lara,Simon Planas,VEN,VE1307,VE13,January,2018,0,0,,
Venezuela,Merida,Julio Cesar Salas,VEN,VE1410,VE14,January,2018,0,0,,
Venezuela,Merida,Zea,VEN,VE1423,VE14,January,2018,0,0,,
Venezuela,Miranda,Acevedo,VEN,VE1501,VE15,January,2018,4,4,,
Venezuela,Miranda,Brion,VEN,VE1504,VE15,January,2018,0,0,,
Venezuela,Miranda,Los Salias,VEN,VE1513,VE15,January,2018,0,0,,
Venezuela,Monagas,Punceres,VEN,VE1610,VE16,January,2018,0,0,,
Venezuela,Nueva Esparta,Marcano,VEN,VE1707,VE17,January,2018,0,0,,
Venezuela,Portuguesa,Esteller,VEN,VE1803,VE18,January,2018,0,0,,
Venezuela,Portuguesa,Papelon,VEN,VE1809,VE18,January,2018,0,0,,
Venezuela,Portuguesa,Sucre,VEN,VE1813,VE18,January,2018,0,0,,
Venezuela,Sucre,Valdez,VEN,VE1915,VE19,January,2018,0,0,,
Venezuela,Tachira,Guasimos,VEN,VE2010,VE20,January,2018,0,0,,
Venezuela,Tachira,Jose Maria Vargas,VEN,VE2013,VE20,January,2018,0,0,,
Venezuela,Tachira,Libertad,VEN,VE2015,VE20,January,2018,0,0,,
Venezuela,Tachira,Libertador,VEN,VE2016,VE20,January,2018,0,0,,
Venezuela,Tachira,Samuel Dario Maldonado,VEN,VE2022,VE20,January,2018,0,0,,
Venezuela,Tachira,Simon Rodriguez,VEN,VE2025,VE20,January,2018,0,0,,
Venezuela,Tachira,Sucre,VEN,VE2026,VE20,January,2018,0,0,,
Venezuela,Tachira,Uribante,VEN,VE2028,VE20,January,2018,0,0,,
Venezuela,Trujillo,Andres Bello,VEN,VE2101,VE21,January,2018,0,0,,
Venezuela,Trujillo,Carache,VEN,VE2105,VE21,January,2018,0,0,,
Venezuela,Trujillo,Juan Vicente Campo Elias,VEN,VE2108,VE21,January,2018,0,0,,
Venezuela,Trujillo,San Rafael de Carvajal,VEN,VE2116,VE21,January,2018,0,0,,
Venezuela,Yaracuy,Independencia,VEN,VE2205,VE22,January,2018,0,0,,
Venezuela,Yaracuy,Veroes,VEN,VE2214,VE22,January,2018,0,0,,
Venezuela,Zulia,Guajira,VEN,VE2315,VE23,January,2018,0,0,,
