Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities,Latitude,Longitude
Yemen,Abyan,Al Mahfad,YEM,YE1201,YE12,January,2015,1,1,14.01847,46.755958
Yemen,Ad Dali,Ash Shuayb,YEM,YE3004,YE30,January,2015,0,0,13.82201,44.965402
Yemen,Aden,Al Buraiqeh,YEM,YE2404,YE24,January,2015,1,1,12.833333,44.916667
Yemen,Aden,Ash Shaikh Outhman,YEM,YE2402,YE24,January,2015,0,0,12.833333,44.916667
Yemen,Aden,Dar Sad,YEM,YE2401,YE24,January,2015,0,0,12.90317,44.978429
Yemen,Al Bayda,Dhi Naim,YEM,YE1406,YE14,January,2015,0,0,14.34166,45.394422
Yemen,Al Bayda,Naman,YEM,YE1401,YE14,January,2015,0,0,14.34166,45.394422
Yemen,Al Bayda,Nati,YEM,YE1402,YE14,January,2015,0,0,14.534218,45.584955
Yemen,Al Bayda,Sabah,YEM,YE1417,YE14,January,2015,0,0,14.280138,44.670022
Yemen,Al Mahrah,Al Ghaydah,YEM,YE2804,YE28,January,2015,0,0,16.2110173,52.1828352
Yemen,Al Mahwit,Ar Rujum,YEM,YE2703,YE27,January,2015,0,0,15.440372,43.660612
Yemen,Al Mahwit,Hufash,YEM,YE2706,YE27,January,2015,0,0,15.358427,43.426491
Yemen,Amanat al Asimah,Al Wahdah,YEM,YE1306,YE13,January,2015,1,0,15.336178,44.186838
Yemen,Amran,Amran,YEM,YE2915,YE29,January,2015,0,0,15.6628336,43.942995
Yemen,Amran,Raydah,YEM,YE2911,YE29,January,2015,0,0,15.859767,43.999019
Yemen,Amran,Shaharah,YEM,YE2905,YE29,January,2015,0,0,16.179998,43.709419
Yemen,Dhamar,Al Manar,YEM,YE2012,YE20,January,2015,0,0,14.654689,44.116359
Yemen,Dhamar,Jahran,YEM,YE2002,YE20,January,2015,1,1,14.774524,44.309085
Yemen,Dhamar,Wusab Al Ali,YEM,YE2006,YE20,January,2015,0,0,14.339998,43.794704
Yemen,Hadramawt,Ash Shihr,YEM,YE1915,YE19,January,2015,1,1,14.970208,49.552621
Yemen,Hadramawt,Rumah,YEM,YE1901,YE19,January,2015,0,0,17.989286,51.075926
Yemen,Hajjah,Al Mahabishah,YEM,YE1715,YE17,January,2015,0,0,15.919786,43.477064
Yemen,Hajjah,Ash Shahil,YEM,YE1721,YE17,January,2015,0,0,15.858953,43.451598
Yemen,Hajjah,Bani Qais,YEM,YE1724,YE17,January,2015,0,0,16.0,43.25
Yemen,Hajjah,Midi,YEM,YE1703,YE17,January,2015,0,0,16.171997,42.878637
Yemen,Ibb,Al Dhihar,YEM,YE1119,YE11,January,2015,1,1,13.979093,44.163118
Yemen,Ibb,Dhi As Sufal,YEM,YE1116,YE11,January,2015,3,0,13.821374,44.077752
Yemen,Lahij,Al Had,YEM,YE2501,YE25,January,2015,1,3,13.963594,45.255297
Yemen,Lahij,Al Madaribah Wa Al Arah,YEM,YE2513,YE25,January,2015,0,0,12.840633,43.990569
Yemen,Marib,Harib,YEM,YE2609,YE26,January,2015,0,0,14.930446,45.368197
Yemen,Marib,Mahliyah,YEM,YE2610,YE26,January,2015,0,0,14.66073,45.183185
Yemen,Marib,Sirwah,YEM,YE2606,YE26,January,2015,0,0,15.451035,45.011549
Yemen,Raymah,As Salafiyah,YEM,YE3102,YE31,January,2015,0,0,14.657993,43.821647
Yemen,Raymah,Bilad At Taam,YEM,YE3101,YE31,January,2015,0,0,14.847251,43.607811
Yemen,Raymah,Kusmah,YEM,YE3105,YE31,January,2015,0,0,14.530752,43.683287
Yemen,Sadah,Razih,YEM,YE2205,YE22,January,2015,0,0,16.937041,43.260801
Yemen,Sadah,Saqayn,YEM,YE2209,YE22,January,2015,0,0,16.877077,43.471627
Yemen,Sanaa,Jihanah,YEM,YE2316,YE23,January,2015,0,0,15.195948,44.519527
Yemen,Sanaa,Safan,YEM,YE2311,YE23,January,2015,0,0,15.057308,43.632959
Yemen,Shabwah,Dhar,YEM,YE2101,YE21,January,2015,0,0,15.50953,47.605843
Yemen,Shabwah,Mayfaa,YEM,YE2116,YE21,January,2015,0,0,14.9274109,46.6084967
Yemen,Taizz,At Taiziyah,YEM,YE1520,YE15,January,2015,0,0,13.4115414,43.5570871
Yemen,Taizz,Dhubab,YEM,YE1506,YE15,January,2015,0,0,13.059672,43.511694
Yemen,Taizz,Mashraa Wa Hadnan,YEM,YE1509,YE15,January,2015,0,0,13.4115414,43.5570871
Yemen,Taizz,Mawza,YEM,YE1507,YE15,January,2015,0,0,13.268334,43.614483
Yemen,Abyan,Al Wadea,YEM,YE1208,YE12,January,2015,0,0,13.786202,46.141766
