Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities
Burkina Faso,Centre-Est,Boulgou,BFA,BF4801,BF48,January,1997,0,0
Burkina Faso,Centre-Ouest,Ziro,BFA,BF5004,BF50,January,1997,0,0
Burkina Faso,Hauts-Bassins,Tuy,BFA,BF5303,BF53,January,1997,0,0
Burkina Faso,Centre-Nord,Namentenga,BFA,BF4902,BF49,January,1997,0,0
Burkina Faso,Sahel,Oudalan,BFA,BF5601,BF56,January,1997,0,0
Burkina Faso,Centre-Sud,Bazega,BFA,BF5101,BF51,January,1997,0,0
Burkina Faso,Centre-Est,Kourittenga,BFA,BF4803,BF48,January,1997,0,0
Burkina Faso,Nord,Yatenga,BFA,BF5403,BF54,January,1997,0,0
Burkina Faso,Est,Gnagna,BFA,BF5201,BF52,January,1997,0,0
Burkina Faso,Est,Tapoa,BFA,BF5205,BF52,January,1997,0,0
Burkina Faso,Plateau-Central,Ganzourgou,BFA,BF5501,BF55,January,1997,0,0
Burkina Faso,Sud-Ouest,Poni,BFA,BF5704,BF57,January,1997,0,0
Burkina Faso,Centre-Nord,Bam,BFA,BF4901,BF49,January,1997,0,0
Burkina Faso,Est,Kompienga,BFA,BF5204,BF52,January,1997,0,0
Burkina Faso,Boucle du Mouhoun,Banwa,BFA,BF4602,BF46,January,1997,0,0
Burkina Faso,Cascades,Comoe,BFA,BF4701,BF47,January,1997,0,0
Burkina Faso,Hauts-Bassins,Kenedougou,BFA,BF5302,BF53,January,1997,0,0
Burkina Faso,Centre-Nord,Sanmatenga,BFA,BF4903,BF49,January,1997,0,0
Burkina Faso,Est,Komandjari,BFA,BF5203,BF52,January,1997,0,0
Burkina Faso,Nord,Zondoma,BFA,BF5404,BF54,January,1997,0,0
Burkina Faso,Est,Gourma,BFA,BF5202,BF52,January,1997,0,0
Burkina Faso,Nord,Passore,BFA,BF5402,BF54,January,1997,0,0
Burkina Faso,Centre-Sud,Zoundweogo,BFA,BF5103,BF51,January,1997,0,0
Burkina Faso,Boucle du Mouhoun,Mouhoun,BFA,BF4604,BF46,January,1997,0,0
Burkina Faso,Sud-Ouest,Bougouriba,BFA,BF5701,BF57,January,1997,0,0
Burkina Faso,Sahel,Seno,BFA,BF5602,BF56,January,1997,0,0
