Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities
Chad,Batha,Fitri,TCD,TD0103,TD01,January,1997,0,0
Chad,Borkou,Borkou Yala,TCD,TD0202,TD02,January,1997,0,0
Chad,Hadjer-Lamis,Haraze Al Biar,TCD,TD0503,TD05,January,1997,0,0
Chad,Logone Oriental,Kouh Est,TCD,TD0902,TD09,January,1997,0,0
Chad,Barh El Gazel,Barh El Gazel Sud,TCD,TD1901,TD19,January,1997,0,0
Chad,Ennedi Ouest,Mourtcha,TCD,TD2303,TD23,January,1997,0,0
Chad,Hadjer-Lamis,Dagana,TCD,TD0501,TD05,January,1997,0,0
Chad,Kanem,Kanem,TCD,TD0601,TD06,January,1997,0,0
Chad,Mayo Kebbi Est,Kabbia,TCD,TD1102,TD11,January,1997,0,0
Chad,Ndjamena,Ndjamena,TCD,TD1801,TD18,January,1997,0,0
Chad,Tandjile,Tandjile Centre,TCD,TD1603,TD16,January,1997,0,0
Chad,Wadi Fira,Megri,TCD,TD1704,TD17,January,1997,0,0
Chad,Lac,Kaya,TCD,TD0703,TD07,January,1997,0,0
Chad,Logone Oriental,Kouh Ouest,TCD,TD0903,TD09,January,1997,0,0
Chad,Logone Oriental,Nya Pende,TCD,TD0905,TD09,January,1997,0,0
Chad,Mandoul,Mandoul Oriental,TCD,TD1001,TD10,January,1997,0,0
Chad,Mayo Kebbi Est,Mayo Boneye,TCD,TD1101,TD11,January,1997,0,0
Chad,Mayo Kebbi Est,Mont d'Illi,TCD,TD1104,TD11,January,1997,0,0
Chad,Salamat,Aboudeia,TCD,TD1502,TD15,January,1997,0,0
Chad,Tandjile,Tandjile Est,TCD,TD1601,TD16,January,1997,0,0
Chad,Wadi Fira,Dar Tama,TCD,TD1702,TD17,January,1997,0,0
Chad,Wadi Fira,Iriba,TCD,TD1703,TD17,January,1997,0,0
Chad,Logone Occidental,Lac Wey,TCD,TD0801,TD08,January,1997,0,0
Chad,Logone Occidental,Ngourkosso,TCD,TD0804,TD08,January,1997,0,0
