Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities,Latitude,Longitude
Ukraine,Crimea,Feodosiiskyi,UKR,UA0118,UA01,January,2018,0,0,45.034,35.379
Ukraine,Crimea,Perekopskyi,UKR,UA0114,UA01,January,2018,0,0,45.967,33.8
Ukraine,Dnipropetrovsk,Kamianskyi,UKR,UA1204,UA12,January,2018,0,0,48.4812911,34.1160828
Ukraine,Dnipropetrovsk,Pavlohradskyi,UKR,UA1212,UA12,January,2018,0,0,48.662589,34.9501715
Ukraine,Kharkiv,Bohodukhivskyi,UKR,UA6302,UA63,January,2018,0,0,49.8299582,36.3788957
Ukraine,Kharkiv,Lozivskyi,UKR,UA6310,UA63,January,2018,0,0,50.1632577,35.544534
Ukraine,Kherson,Beryslavskyi,UKR,UA6502,UA65,January,2018,0,0,46.6794425,32.657599
Ukraine,Kherson,Skadovskyi,UKR,UA6508,UA65,January,2018,0,0,46.5421715,33.4079326
Ukraine,Khmelnytskyi,Kamianets-Podilskyi,UKR,UA6802,UA68,January,2018,0,0,48.6781294,26.5854027
Ukraine,Kirovograd,Oleksandriiskyi,UKR,UA3508,UA35,January,2018,0,0,48.4685795,31.3028529
Ukraine,Kyiv,Bilotserkivskyi,UKR,UA3202,UA32,January,2018,0,0,50.4500336,30.5241361
Ukraine,Kyiv,Boryspilskyi,UKR,UA3204,UA32,January,2018,0,0,50.4707975,30.9156729
Ukraine,Kyiv,Buchanskyi,UKR,UA3208,UA32,January,2018,0,0,50.4500336,30.5241361
Ukraine,Kyiv,Fastivskyi,UKR,UA3214,UA32,January,2018,0,0,50.0405839,29.8768629
Ukraine,Lviv,Drohobytskyi,UKR,UA4602,UA46,January,2018,0,0,49.6512234,23.8266948
Ukraine,Lviv,Stryiskyi,UKR,UA4610,UA46,January,2018,0,0,49.8291484,24.0324317
Ukraine,Odesa,Bilhorod-Dnistrovskyi,UKR,UA5104,UA51,January,2018,0,0,46.1909823,30.345784
Ukraine,Poltava,Kremenchutskyi,UKR,UA5302,UA53,January,2018,0,0,49.8607809,33.7498787
Ukraine,Rivne,Dubenskyi,UKR,UA5604,UA56,January,2018,0,0,51.2074112,26.5208033
