Country,Month,Year,Events,Fatalities
Albania,January,2018,0,0
Albania,February,2018,0,0
Albania,March,2018,0,0
Albania,April,2018,0,0
Albania,May,2018,0,0
Albania,June,2018,0,0
Albania,July,2018,0,0
Albania,August,2018,1,0
Albania,September,2018,0,0
Albania,October,2018,0,0
Albania,November,2018,0,0
Albania,December,2018,0,0
Albania,January,2019,0,0
Albania,February,2019,1,0
Albania,March,2019,0,0
Albania,April,2019,0,0
Albania,May,2019,0,0
Albania,June,2019,2,0
Albania,July,2019,0,0
Albania,August,2019,1,0
Albania,September,2019,0,0
Albania,October,2019,1,0
Albania,November,2019,1,0
Albania,December,2019,0,0
Albania,January,2020,0,0
Albania,February,2020,0,0
Albania,March,2020,0,0
Albania,April,2020,1,0
Albania,May,2020,1,0
Albania,June,2020,0,0
Albania,July,2020,0,0
Albania,August,2020,0,0
Albania,September,2020,0,0
Albania,October,2020,0,0
Albania,November,2020,0,0
Albania,December,2020,1,0
Albania,January,2021,0,0
Albania,February,2021,2,0
Albania,March,2021,0,0
Albania,April,2021,3,0
Albania,May,2021,2,0
Albania,June,2021,1,0
Albania,July,2021,0,0
Albania,August,2021,1,0
Albania,September,2021,1,0
Albania,October,2021,0,0
Albania,November,2021,1,0
Albania,December,2021,0,0
Albania,January,2022,0,0
Albania,February,2022,0,0
Albania,March,2022,0,0
Albania,April,2022,1,0
Albania,May,2022,0,0
Albania,June,2022,0,0
Albania,July,2022,0,0
Albania,August,2022,0,0
Albania,September,2022,0,0
Albania,October,2022,0,0
Albania,November,2022,1,0
Albania,December,2022,0,0
Albania,January,2023,1,0
Albania,February,2023,0,0
Albania,March,2023,1,1
Albania,April,2023,0,0
Albania,May,2023,0,0
Albania,June,2023,0,0
Albania,July,2023,0,0
Albania,August,2023,0,0
Albania,September,2023,0,0
Albania,October,2023,2,0
Albania,November,2023,1,0
Albania,December,2023,0,0
Albania,January,2024,0,0
Albania,February,2024,0,0
Albania,March,2024,0,0
Albania,April,2024,1,0
Albania,May,2024,2,1
Albania,June,2024,1,0
Albania,July,2024,0,0
Albania,August,2024,0,0
Albania,September,2024,1,0
Albania,October,2024,0,0
Albania,November,2024,1,0
Albania,December,2024,0,0
Albania,January,2025,0,0
Albania,February,2025,0,0
Albania,March,2025,1,0
Albania,April,2025,0,0
Albania,May,2025,1,0
Albania,June,2025,0,0
Albania,July,2025,0,0
Albania,August,2025,0,0
Albania,September,2025,1,0
Albania,October,2025,0,0
Albania,November,2025,0,0
Albania,December,2025,0,0
Albania,January,2026,0,0
Albania,February,2026,0,0
Albania,March,2026,0,0
Albania,April,2026,0,0
